0.9641165612900223		SimpleArgument(Mr. Assaf,List([0, 9)))	Relation(is,List([10, 12)))	SimpleArgument(a civil engineering student with an interest in geotechnical engineering,List([13, 85)))	Mr. Assaf is a civil engineering student with an interest in geotechnical engineering.
0.4978219019954182		SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(has worked on,List([3, 13), [14, 16)))	SimpleArgument(GIS projects,List([17, 29)))	He has worked on geotechnical engineering jobs as well as some water distribution and GIS projects.
0.45170382506656653		SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(has worked on,List([3, 13), [14, 16)))	SimpleArgument(some water distribution,List([17, 40)))	He has worked on geotechnical engineering jobs as well as some water distribution and GIS projects.
0.45170382506656653		SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(has worked on,List([3, 13), [14, 16)))	SimpleArgument(geotechnical engineering jobs,List([17, 46)))	He has worked on geotechnical engineering jobs as well as some water distribution and GIS projects.
0.8739004440254604		SimpleArgument(projects,List([118, 126)))	Relation(has worked on,List([130, 143)))	SimpleArgument(E.I.T. Mr. Assaf,List([127, 129)))	Other than working on design and inspection for different geotechnical jobs, Mr. Assaf has worked on putting together proposals, agendas, schedules and logs for projects he has worked on.
0.5680679595514976		SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(has,List([3, 6)))	SimpleArgument(some experience with GeoStudio,List([7, 37)))	He is well versed in AutoCAD, Revit, 3-DS Max, Microsoft Office, and has some experience with WaterGEMS and GeoStudio (SEEP).
0.5680679595514976		SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(has,List([3, 6)))	SimpleArgument(some experience with WaterGEMS,List([7, 37)))	He is well versed in AutoCAD, Revit, 3-DS Max, Microsoft Office, and has some experience with WaterGEMS and GeoStudio (SEEP).
0.5733539311623552		SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(well versed in,List([6, 17), [18, 20)))	SpatialArgument(AutoCAD , Revit , 3 - DS Max , Microsoft Office,List([21, 68)))	He is well versed in AutoCAD, Revit, 3-DS Max, Microsoft Office, and has some experience with WaterGEMS and GeoStudio (SEEP).
0.6783685094789625		SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(well versed in AutoCAD , Revit , 3 - DS Max , Microsoft Office,List([6, 68)))	He is well versed in AutoCAD, Revit, 3-DS Max, Microsoft Office, and has some experience with WaterGEMS and GeoStudio (SEEP).
0.9314904193639496		SimpleArgument(a full time student,List([75, 94)))	Relation(enrolled at,List([95, 103), [104, 106)))	SpatialArgument(the New Jersey Institute of Technology,List([107, 145)))	While Mr. Assaf is a part time intern for Hatch Mott MacDonald, he is also a full time student enrolled at the New Jersey Institute of Technology.
0.6138676038426771		SimpleArgument(E.I.T. Mr. Assaf,List([64, 66)))	Relation(is also,List([67, 74)))	SimpleArgument(a full time student enrolled at the New Jersey Institute of Technology,List([75, 145)))	While Mr. Assaf is a part time intern for Hatch Mott MacDonald, he is also a full time student enrolled at the New Jersey Institute of Technology.
0.9527410621066101		SimpleArgument(E.I.T. Mr. Assaf,List([6, 15)))	Relation(is,List([16, 18)))	SimpleArgument(a part time intern for Hatch Mott MacDonald,List([19, 62)))	While Mr. Assaf is a part time intern for Hatch Mott MacDonald, he is also a full time student enrolled at the New Jersey Institute of Technology.
0.22200000286102295		SimpleArgument(his civil engineering degree,List([0, 0)))	Relation(has a grade point average of,List([0, 0)))	SimpleArgument(3.63,List(null))	He has a grade point average of 3.63 in his civil engineering degree while also graduating from the prestigious Albert Dorman Honors College.
0.996999979019165		SimpleArgument(E.I.T. Mr. Assaf,List([0, 0)))	Relation(has a grade point average of,List([0, 0)))	SimpleArgument(3.63,List(null))	He has a grade point average of 3.63 in his civil engineering degree while also graduating from the prestigious Albert Dorman Honors College.
0.332563478582812	Context(He has,List([0, 6)))	SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(has a grade point average of 3.63 also graduating from,List([3, 6), [7, 14), [15, 20)))	SimpleArgument(the prestigious Albert Dorman Honors College,List([96, 140)))	He has a grade point average of 3.63 in his civil engineering degree while also graduating from the prestigious Albert Dorman Honors College.
0.45694023613443424		SimpleArgument(E.I.T. Mr. Assaf,List([0, 2)))	Relation(has,List([3, 6)))	SimpleArgument(a grade point average of 3.63,List([7, 36)))	He has a grade point average of 3.63 in his civil engineering degree while also graduating from the prestigious Albert Dorman Honors College.
