0.9197759696552441		SimpleArgument(Maureen O'Hara,List([35, 42)))	Relation(was raised in,List([43, 53), [54, 56)))	SpatialArgument(a close-knit Irish Catholic family,List([57, 91)))	The second oldest of six children, Maureen was raised in a close-knit Irish Catholic family.
0.3853208301752743		SimpleArgument(Marguerite,List([13, 23)))	Relation([is],List([13, 23)))	SimpleArgument(was opera singer,List([26, 42)))	Her father, Charles, was a businessman, and her mother, Marguerite, was an accomplished stage actress and opera singer.
0.6641329562437754		SimpleArgument(her mother,List([0, 10)))	Relation(was,List([26, 29)))	SimpleArgument(opera singer,List([30, 42)))	Her father, Charles, was a businessman, and her mother, Marguerite, was an accomplished stage actress and opera singer.
0.886695286966665		SimpleArgument(Marguerite,List([13, 23)))	Relation([is] mother [of],List([4, 10)))	SimpleArgument(hers,List([0, 3)))	Her father, Charles, was a businessman, and her mother, Marguerite, was an accomplished stage actress and opera singer.
0.6641329562437754		SimpleArgument(her mother,List([0, 10)))	Relation(was,List([26, 29)))	SimpleArgument(an accomplished stage actress,List([30, 59)))	Her father, Charles, was a businessman, and her mother, Marguerite, was an accomplished stage actress and opera singer.
0.886695286966665		SimpleArgument(Charles,List([13, 20)))	Relation([is] father [of],List([4, 10)))	SimpleArgument(Hers,List([0, 3)))	Her father, Charles, was a businessman, and her mother, Marguerite, was an accomplished stage actress and opera singer.
0.6641329562437754		SimpleArgument(Her father,List([0, 10)))	Relation(was,List([23, 26)))	SimpleArgument(a businessman,List([27, 40)))	Her father, Charles, was a businessman, and her mother, Marguerite, was an accomplished stage actress and opera singer.
0.3853208301752743		SimpleArgument(Maureen O'Hara,List([116, 119)))	Relation(was active in,List([120, 133)))	SimpleArgument(dancing,List([134, 141)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.4820971422465561		SimpleArgument(Maureen O'Hara,List([116, 119)))	Relation(was active in,List([106, 108), [120, 123), [124, 130)))	SpatialArgument(school,List([109, 115)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.3880890333449538		SimpleArgument(Maureen O'Hara,List([116, 119)))	Relation(was active in,List([120, 123), [124, 130), [131, 133)))	SpatialArgument(dancing,List([134, 141)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.22876658274353207		SimpleArgument(Maureen O'Hara,List([116, 119)))	Relation(was,List([120, 123)))	SimpleArgument(active,List([124, 130)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.3853208301752743		SimpleArgument(Maureen O'Hara,List([116, 119)))	Relation(was active in,List([120, 133)))	SimpleArgument(singing,List([134, 141)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.7997275130393107	Context(she was,List([116, 123)))	SimpleArgument(Maureen O'Hara,List([0, 7)))	Relation(displayed a penchant for dramatics,List([8, 17), [18, 42)))	TemporalArgument(when she staged presentations for her family,List([59, 103)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.8982330273114404	Context(she was,List([116, 123)))	SimpleArgument(Maureen O'Hara,List([0, 7)))	Relation(displayed a penchant for dramatics at,List([8, 17), [18, 42), [43, 45)))	SimpleArgument(an early age,List([46, 58)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.8982330273114404	Context(she was,List([116, 123)))	SimpleArgument(Maureen O'Hara,List([0, 7)))	Relation(displayed,List([8, 17)))	SimpleArgument(a penchant for dramatics,List([18, 42)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.4820971422465561		SimpleArgument(Maureen O'Hara,List([116, 119)))	Relation(was active in singing in,List([106, 108), [120, 133), [134, 141)))	SpatialArgument(school,List([109, 115)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.45694023613443424		SimpleArgument(Maureen O'Hara,List([116, 119)))	Relation(was,List([120, 123)))	SimpleArgument(active in singing,List([124, 141)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.30899953469486874		SimpleArgument(Maureen O'Hara,List([64, 67)))	Relation(staged,List([68, 74)))	SimpleArgument(presentations for her family,List([75, 103)))	Maureen displayed a penchant for dramatics at an early age when she staged presentations for her family; in school she was active in singing and dancing.
0.5961061943937731		SimpleArgument(Maureen O'Hara,List([104, 107)))	Relation(studied music,List([108, 115), [116, 121)))	SpatialArgument(Dublin 's prestigious Abbey Theatre School,List([53, 95)))	While still in her early teens, Maureen enrolled at Dublin's prestigious Abbey Theatre School, where she studied drama and music.
0.45170382506656653		SimpleArgument(Maureen O'Hara,List([104, 107)))	Relation(studied,List([108, 115)))	SimpleArgument(music,List([116, 121)))	While still in her early teens, Maureen enrolled at Dublin's prestigious Abbey Theatre School, where she studied drama and music.
0.5961061943937731		SimpleArgument(Maureen O'Hara,List([104, 107)))	Relation(studied drama,List([108, 115), [116, 121)))	SpatialArgument(Dublin 's prestigious Abbey Theatre School,List([53, 95)))	While still in her early teens, Maureen enrolled at Dublin's prestigious Abbey Theatre School, where she studied drama and music.
0.45170382506656653		SimpleArgument(Maureen O'Hara,List([104, 107)))	Relation(studied,List([108, 115)))	SimpleArgument(drama,List([116, 121)))	While still in her early teens, Maureen enrolled at Dublin's prestigious Abbey Theatre School, where she studied drama and music.
0.9013224092947626		SimpleArgument(Maureen O'Hara,List([33, 40)))	Relation(enrolled While,List([0, 5), [41, 49)))	TemporalArgument(still in her early teens,List([6, 30)))	While still in her early teens, Maureen enrolled at Dublin's prestigious Abbey Theatre School, where she studied drama and music.
0.9324144673478683		SimpleArgument(Maureen O'Hara,List([33, 40)))	Relation(enrolled at,List([41, 49), [50, 52)))	SpatialArgument(Dublin 's prestigious Abbey Theatre School,List([53, 95)))	While still in her early teens, Maureen enrolled at Dublin's prestigious Abbey Theatre School, where she studied drama and music.
0.3880890333449538	Context(she decided,List([8, 19)))	SimpleArgument(Maureen O'Hara,List([8, 11)))	Relation(decided to try her hand at,List([12, 19), [20, 26), [27, 35), [36, 38)))	SpatialArgument(film acting,List([39, 50)))	Upon her graduation in 1937, she was offered a lead role with the Abbey Players, but instead she decided to try her hand at film acting.
0.2560951955542683	Context(she decided,List([8, 19)))	SimpleArgument(Maureen O'Hara,List([8, 11)))	Relation(decided to try,List([12, 19), [20, 26)))	SimpleArgument(her hand,List([27, 35)))	Upon her graduation in 1937, she was offered a lead role with the Abbey Players, but instead she decided to try her hand at film acting.
0.2560951955542683		SimpleArgument(Maureen O'Hara,List([8, 11)))	Relation(decided to,List([12, 19), [20, 22)))	SimpleArgument(try her hand at film acting,List([23, 50)))	Upon her graduation in 1937, she was offered a lead role with the Abbey Players, but instead she decided to try her hand at film acting.
0.39625576749130315		SimpleArgument(Maureen O'Hara,List([30, 33)))	Relation(was offered a lead role with the Abbey Players Upon,List([0, 37), [38, 72), [73, 80)))	TemporalArgument(her graduation in 1937,List([5, 27)))	Upon her graduation in 1937, she was offered a lead role with the Abbey Players, but instead she decided to try her hand at film acting.
0.4978219019954182		SimpleArgument(Maureen O'Hara,List([30, 33)))	Relation(was offered,List([34, 45)))	SimpleArgument(a lead role with the Abbey Players,List([46, 80)))	Upon her graduation in 1937, she was offered a lead role with the Abbey Players, but instead she decided to try her hand at film acting.
0.5961061943937731		SimpleArgument(Maureen O'Hara,List([32, 35)))	Relation(screen tested for an English feature,List([36, 49), [50, 72)))	SpatialArgument(London,List([18, 24)))	She then moved to London, where she screen tested for an English feature.
0.4978219019954182		SimpleArgument(Maureen O'Hara,List([32, 35)))	Relation(screen tested for,List([36, 49), [50, 53)))	SimpleArgument(an English feature,List([54, 72)))	She then moved to London, where she screen tested for an English feature.
0.3048426724432105		SimpleArgument(Maureen O'Hara,List([0, 3)))	Relation(moved to London,List([9, 14), [15, 24)))	TemporalArgument(then,List([4, 8)))	She then moved to London, where she screen tested for an English feature.
0.45592395356914683		SimpleArgument(Maureen O'Hara,List([0, 3)))	Relation(moved to,List([9, 14), [15, 17)))	SimpleArgument(London,List([18, 24)))	She then moved to London, where she screen tested for an English feature.
0.7003240400067219		SimpleArgument(her impressive audition,List([39, 62)))	Relation(caught,List([63, 69)))	SimpleArgument(the attention of Oscar - winning producer Charles Laughton,List([70, 128)))	Although the film was never produced, her impressive audition caught the attention of Oscar-winning movie star and producer Charles Laughton.
0.7003240400067219		SimpleArgument(her impressive audition,List([39, 62)))	Relation(caught,List([63, 69)))	SimpleArgument(the attention of Oscar - winning movie star,List([70, 113)))	Although the film was never produced, her impressive audition caught the attention of Oscar-winning movie star and producer Charles Laughton.
0.944545017224107	Context(Laughton helped launch,List([58, 80)))	SimpleArgument(Laughton,List([58, 66)))	Relation(helped launch Maureen's career by recommending her for,List([67, 80), [81, 90), [91, 97), [98, 100)))	SimpleArgument(the role of the orphaned Mary Yelland in Alfred Hitchcock's British-made film,List([122, 199)))	After convincing Maureen to change her surname to O'Hara, Laughton helped launch Maureen's career by recommending her for the role of the orphaned Mary Yelland in Alfred Hitchcock's British-made film Jamaica Inn (1939).
0.8273172415259126	Context(Laughton helped launch,List([58, 80)))	SimpleArgument(Laughton,List([58, 66)))	Relation(helped launch Maureen's career by recommending,List([67, 80), [81, 90)))	SimpleArgument(Maureen O'Hara,List([114, 117)))	After convincing Maureen to change her surname to O'Hara, Laughton helped launch Maureen's career by recommending her for the role of the orphaned Mary Yelland in Alfred Hitchcock's British-made film Jamaica Inn (1939).
0.8943077592892261		SimpleArgument(Laughton,List([58, 66)))	Relation(helped launch Maureen 's career After,List([0, 73), [74, 90), [91, 97)))	TemporalArgument(convincing Maureen to change her surname to O'Hara,List([6, 56)))	After convincing Maureen to change her surname to O'Hara, Laughton helped launch Maureen's career by recommending her for the role of the orphaned Mary Yelland in Alfred Hitchcock's British-made film Jamaica Inn (1939).
0.9139478779591064		SimpleArgument(Laughton,List([58, 66)))	Relation(helped launch,List([67, 80)))	SimpleArgument(Maureen's career,List([81, 97)))	After convincing Maureen to change her surname to O'Hara, Laughton helped launch Maureen's career by recommending her for the role of the orphaned Mary Yelland in Alfred Hitchcock's British-made film Jamaica Inn (1939).
0.9324144673478683		SimpleArgument(Maureen O'Hara,List([17, 24)))	Relation(to change her surname to,List([25, 34), [35, 46), [47, 49)))	SimpleArgument(O'Hara,List([50, 56)))	After convincing Maureen to change her surname to O'Hara, Laughton helped launch Maureen's career by recommending her for the role of the orphaned Mary Yelland in Alfred Hitchcock's British-made film Jamaica Inn (1939).
0.8615585111461579		SimpleArgument(Maureen O'Hara,List([17, 24)))	Relation(to change,List([25, 34)))	SimpleArgument(her surname,List([35, 46)))	After convincing Maureen to change her surname to O'Hara, Laughton helped launch Maureen's career by recommending her for the role of the orphaned Mary Yelland in Alfred Hitchcock's British-made film Jamaica Inn (1939).
0.8615585111461579		SimpleArgument(O'Hara,List([47, 53)))	Relation(was noted for,List([54, 63), [64, 67)))	SimpleArgument(her convincing performance,List([68, 94)))	Although the film met with lackluster reviews, O'Hara was noted for her convincing performance.
0.9030401971054747		SimpleArgument(film,List([9, 17)))	Relation(met with,List([18, 21), [22, 26)))	SimpleArgument(lackluster reviews,List([27, 45)))	Although the film met with lackluster reviews, O'Hara was noted for her convincing performance.
