0.8847641879927497		SimpleArgument(Dentistry,List([13, 22)))	Relation([is] Family [of],List([6, 12)))	SimpleArgument(Guido,List([0, 5)))	Guido Family Dentistry
0.47974328294660656	Context(We to help,List([0, 19)))	SimpleArgument(your family,List([20, 31)))	Relation(feel this way,List([32, 36), [37, 45)))	TemporalArgument(every time you visit Guido Family Dentistry,List([46, 89)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.43385307460759115	Context(We to help,List([0, 19)))	SimpleArgument(your family,List([20, 31)))	Relation(feel this way,List([32, 36), [37, 45)))	TemporalArgument(every time you call,List([46, 65)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.5853715946324679	Context(We to help,List([0, 19)))	SimpleArgument(your family,List([20, 31)))	Relation(feel,List([32, 36)))	SimpleArgument(this way,List([37, 45)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.2323445791424426		SimpleArgument(We,List([0, 2)))	Relation(to help,List([12, 19)))	SimpleArgument(your family feel this way every time,List([20, 56)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(are here to,List([3, 6), [7, 11), [12, 14)))	SimpleArgument(help your family feel this way every time,List([15, 56)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.38089450366724514		SimpleArgument(Dentistry,List([72, 81)))	Relation([is] Family [of],List([65, 71)))	SimpleArgument(Guido,List([59, 64)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.45569057075449887	Context(We to help,List([0, 19)))	SimpleArgument(you,List([20, 23)))	Relation(feel this way,List([24, 28), [29, 37)))	TemporalArgument(every time you visit Guido Family Dentistry,List([38, 81)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.7044291000807404		SimpleArgument(you,List([49, 52)))	Relation(visit Guido Family Dentistry,List([53, 58), [59, 81)))	TemporalArgument(every time,List([38, 48)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.6582659227599074		SimpleArgument(you,List([49, 52)))	Relation(visit,List([53, 58)))	SimpleArgument(Guido Family Dentistry,List([59, 81)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.4102866932483428	Context(We to help,List([0, 19)))	SimpleArgument(you,List([20, 23)))	Relation(feel this way,List([24, 28), [29, 37)))	TemporalArgument(every time you call,List([38, 57)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.5617411649644959	Context(We to help,List([0, 19)))	SimpleArgument(you,List([20, 23)))	Relation(feel,List([24, 28)))	SimpleArgument(this way,List([29, 37)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.2323445791424426		SimpleArgument(We,List([0, 2)))	Relation(to help,List([12, 19)))	SimpleArgument(you feel this way every time,List([20, 48)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.759723496982039		SimpleArgument(you,List([49, 52)))	Relation(call,List([53, 57)))	TemporalArgument(every time,List([38, 48)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(are here to,List([3, 6), [7, 11), [12, 14)))	SimpleArgument(help you feel this way every time,List([15, 48)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.22506131975927415		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(here,List([7, 11)))	We are here to help you and your family feel this way every time you call or visit Guido Family Dentistry.
0.8348583869532935		SimpleArgument(individual needs,List([0, 16)))	Relation(are foremost in,List([17, 20), [21, 29), [30, 32)))	SpatialArgument(our minds,List([33, 42)))	Your health, comfort, and individual needs are foremost in our minds.
0.7665350501724939		SimpleArgument(individual needs,List([0, 16)))	Relation(are,List([17, 20)))	SimpleArgument(foremost,List([21, 29)))	Your health, comfort, and individual needs are foremost in our minds.
0.8211012035398638		SimpleArgument(comfort,List([0, 7)))	Relation(are foremost in,List([8, 20), [21, 23)))	SpatialArgument(our minds,List([24, 33)))	Your health, comfort, and individual needs are foremost in our minds.
0.48903187625367955		SimpleArgument(Your health,List([0, 11)))	Relation(are foremost in,List([12, 15), [16, 24), [25, 27)))	SpatialArgument(our minds,List([28, 37)))	Your health, comfort, and individual needs are foremost in our minds.
0.3833177039030785		SimpleArgument(Your health,List([0, 11)))	Relation(are,List([12, 15)))	SimpleArgument(foremost,List([16, 24)))	Your health, comfort, and individual needs are foremost in our minds.
0.5691839633287576		SimpleArgument(We,List([0, 2)))	Relation(Are,List([3, 6)))	SimpleArgument(Committed to service in all areas of family dental care,List([7, 62)))	We Are Committed to excellence and to service in all areas of family dental care.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(Are,List([3, 6)))	SimpleArgument(Committed to excellence,List([7, 30)))	We Are Committed to excellence and to service in all areas of family dental care.
0.5853715946324679	Context(We to help,List([0, 19)))	SimpleArgument(your family,List([20, 31)))	Relation(maintain excellent oral health for,List([32, 40), [41, 62), [63, 66)))	TemporalArgument(a lifetime,List([67, 77)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.5853715946324679	Context(We to help,List([0, 19)))	SimpleArgument(your family,List([20, 31)))	Relation(maintain,List([32, 40)))	SimpleArgument(excellent oral health,List([41, 62)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.2323445791424426		SimpleArgument(We,List([0, 2)))	Relation(to help,List([12, 19)))	SimpleArgument(your family maintain excellent oral health for a lifetime,List([20, 77)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.41763505952380825		SimpleArgument(We,List([0, 2)))	Relation(are here to,List([3, 6), [7, 11), [12, 14)))	SimpleArgument(help your family maintain excellent oral health for a lifetime,List([15, 77)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.5617411649644959	Context(We to help,List([0, 19)))	SimpleArgument(you,List([20, 23)))	Relation(maintain excellent oral health for,List([24, 32), [33, 54), [55, 58)))	TemporalArgument(a lifetime,List([59, 69)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.5617411649644959	Context(We to help,List([0, 19)))	SimpleArgument(you,List([20, 23)))	Relation(maintain,List([24, 32)))	SimpleArgument(excellent oral health,List([33, 54)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.2323445791424426		SimpleArgument(We,List([0, 2)))	Relation(to help,List([12, 19)))	SimpleArgument(you maintain excellent oral health for a lifetime,List([20, 69)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(are here to,List([3, 6), [7, 11), [12, 14)))	SimpleArgument(help you maintain excellent oral health for a lifetime,List([15, 69)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.2323445791424426		SimpleArgument(We,List([0, 2)))	Relation(to help,List([12, 19)))	SimpleArgument(your family achieve,List([20, 39)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(are here to,List([3, 6), [7, 11), [12, 14)))	SimpleArgument(help your family achieve,List([15, 39)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.2323445791424426		SimpleArgument(We,List([0, 2)))	Relation(to help,List([12, 19)))	SimpleArgument(you achieve,List([20, 31)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(are here to,List([3, 6), [7, 11), [12, 14)))	SimpleArgument(help you achieve,List([15, 31)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.22506131975927415		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(here,List([7, 11)))	We are here to help you and your family achieve and maintain excellent oral health for a lifetime.
0.2560951955542683	Context(we want,List([44, 51)))	SimpleArgument(We,List([44, 46)))	Relation(want to Understand,List([47, 51), [52, 65)))	SimpleArgument(your concerns about your dental care,List([66, 102)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.3356692398220114		SimpleArgument(We,List([44, 46)))	Relation(want to Understand your concerns about your dental care Before,List([0, 6), [47, 97), [98, 102)))	TemporalArgument(we recommend any type of treatment,List([7, 41)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.2560951955542683		SimpleArgument(We,List([44, 46)))	Relation(want to,List([47, 51), [52, 54)))	SimpleArgument(Understand your concerns about your dental care,List([55, 102)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.2560951955542683	Context(we want,List([44, 51)))	SimpleArgument(We,List([44, 46)))	Relation(want to Understand,List([47, 51), [52, 65)))	SimpleArgument(your dislikes,List([66, 79)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.3356692398220114		SimpleArgument(We,List([44, 46)))	Relation(want to Understand your dislikes Before,List([0, 6), [47, 70), [71, 79)))	TemporalArgument(we recommend any type of treatment,List([7, 41)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.2560951955542683		SimpleArgument(We,List([44, 46)))	Relation(want to,List([47, 51), [52, 54)))	SimpleArgument(Understand your dislikes,List([55, 79)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.2560951955542683	Context(we want,List([44, 51)))	SimpleArgument(We,List([44, 46)))	Relation(want to Understand,List([47, 51), [52, 65)))	SimpleArgument(your likes,List([66, 76)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.3356692398220114		SimpleArgument(We,List([44, 46)))	Relation(want to Understand your likes Before,List([0, 6), [47, 70), [71, 76)))	TemporalArgument(we recommend any type of treatment,List([7, 41)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.2560951955542683		SimpleArgument(We,List([44, 46)))	Relation(want to,List([47, 51), [52, 54)))	SimpleArgument(Understand your likes,List([55, 76)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.2560951955542683	Context(we want,List([44, 51)))	SimpleArgument(We,List([44, 46)))	Relation(want to Understand,List([47, 51), [52, 65)))	SimpleArgument(your desires,List([66, 78)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.3356692398220114		SimpleArgument(We,List([44, 46)))	Relation(want to Understand your desires Before,List([0, 6), [47, 70), [71, 78)))	TemporalArgument(we recommend any type of treatment,List([7, 41)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.2560951955542683		SimpleArgument(We,List([44, 46)))	Relation(want to,List([47, 51), [52, 54)))	SimpleArgument(Understand your desires,List([55, 78)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.3356692398220114		SimpleArgument(We,List([44, 46)))	Relation(want to Listen to Before,List([0, 6), [47, 61), [62, 64)))	TemporalArgument(we recommend any type of treatment,List([7, 41)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
