0.8847641879927497		SimpleArgument(Dentistry,List([28, 37)))	Relation([is] Family [of],List([21, 27)))	SimpleArgument(Riccobene Associates,List([0, 20)))	Riccobene Associates Family Dentistry
0.9030401971054747		SimpleArgument(restorative options,List([55, 74)))	Relation(designed for,List([75, 83), [84, 87)))	SimpleArgument(patients of all ages,List([88, 108)))	Our general dentistry services include a wide range of preventive and restorative options designed for patients of all ages.
0.6814400456876439		SimpleArgument(Our general dentistry services,List([0, 30)))	Relation(include,List([31, 38)))	SimpleArgument(a wide range of restorative options,List([39, 74)))	Our general dentistry services include a wide range of preventive and restorative options designed for patients of all ages.
0.9030401971054747		SimpleArgument(preventive options,List([55, 73)))	Relation(designed for,List([74, 82), [83, 86)))	SimpleArgument(patients of all ages,List([87, 107)))	Our general dentistry services include a wide range of preventive and restorative options designed for patients of all ages.
0.6814400456876439		SimpleArgument(Our general dentistry services,List([0, 30)))	Relation(include,List([31, 38)))	SimpleArgument(a wide range of preventive options,List([39, 73)))	Our general dentistry services include a wide range of preventive and restorative options designed for patients of all ages.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(implants,List([17, 25)))	Services include teeth cleanings, sealants, fillings, crowns, and implants.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(crowns,List([17, 23)))	Services include teeth cleanings, sealants, fillings, crowns, and implants.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(fillings,List([17, 25)))	Services include teeth cleanings, sealants, fillings, crowns, and implants.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(sealants,List([17, 25)))	Services include teeth cleanings, sealants, fillings, crowns, and implants.
0.8942434158739456		SimpleArgument(Services,List([0, 8)))	Relation(include,List([9, 16)))	SimpleArgument(teeth cleanings,List([17, 32)))	Services include teeth cleanings, sealants, fillings, crowns, and implants.
0.8211012035398638		SimpleArgument(services,List([42, 50)))	Relation(designed to,List([51, 59), [60, 62)))	SimpleArgument(improve the appearance of your teeth,List([63, 99)))	Cosmetic dentistry consists of a suite of services designed to improve the appearance of your teeth.
0.9030401971054747		SimpleArgument(Cosmetic dentistry,List([0, 18)))	Relation(consists of,List([19, 27), [28, 30)))	SimpleArgument(a suite of services,List([31, 50)))	Cosmetic dentistry consists of a suite of services designed to improve the appearance of your teeth.
0.263652756827333	Context(These services allow,List([0, 20)))	SimpleArgument(us,List([21, 23)))	Relation(to reshape your smile so,List([24, 34), [35, 45), [46, 48)))	TemporalArgument(it reaches its full potential,List([49, 78)))	These services allow us to brighten, straighten, or reshape your smile so it reaches its full potential.
0.263652756827333	Context(These services allow,List([0, 20)))	SimpleArgument(us,List([21, 23)))	Relation(to reshape,List([24, 34)))	SimpleArgument(your smile,List([35, 45)))	These services allow us to brighten, straighten, or reshape your smile so it reaches its full potential.
0.8665163532524909		SimpleArgument(Our general dentistry services,List([0, 14)))	Relation(allow,List([15, 20)))	SimpleArgument(us to reshape your smile so it reaches its full potential,List([21, 78)))	These services allow us to brighten, straighten, or reshape your smile so it reaches its full potential.
0.30899953469486874		SimpleArgument(it,List([49, 51)))	Relation(reaches,List([52, 59)))	SimpleArgument(its full potential,List([60, 78)))	These services allow us to brighten, straighten, or reshape your smile so it reaches its full potential.
0.8018966055903185		SimpleArgument(Our general dentistry services,List([0, 14)))	Relation(allow,List([15, 20)))	SimpleArgument(us to straighten,List([21, 37)))	These services allow us to brighten, straighten, or reshape your smile so it reaches its full potential.
0.8018966055903185		SimpleArgument(Our general dentistry services,List([0, 14)))	Relation(allow,List([15, 20)))	SimpleArgument(us to brighten,List([21, 35)))	These services allow us to brighten, straighten, or reshape your smile so it reaches its full potential.
0.6381012045821894		SimpleArgument(Our array,List([0, 9)))	Relation(includes,List([10, 18)))	SimpleArgument(periodontal treatment,List([19, 40)))	Our array of hygiene services helps prevent and stop decay and includes fluoride treatments, sealants, and periodontal treatment.
0.6381012045821894		SimpleArgument(Our array,List([0, 9)))	Relation(includes,List([10, 18)))	SimpleArgument(sealants,List([19, 27)))	Our array of hygiene services helps prevent and stop decay and includes fluoride treatments, sealants, and periodontal treatment.
0.6381012045821894		SimpleArgument(Our array,List([0, 9)))	Relation(includes,List([10, 18)))	SimpleArgument(fluoride treatments,List([19, 38)))	Our array of hygiene services helps prevent and stop decay and includes fluoride treatments, sealants, and periodontal treatment.
0.653568459124862	Context(Our array of hygiene services helps,List([0, 35)))	SimpleArgument(Our array of hygiene services,List([0, 29)))	Relation(helps stop,List([30, 35), [36, 40)))	SimpleArgument(decay,List([41, 46)))	Our array of hygiene services helps prevent and stop decay and includes fluoride treatments, sealants, and periodontal treatment.
0.7145216907094301		SimpleArgument(Our array of hygiene services,List([0, 29)))	Relation(helps,List([30, 35)))	SimpleArgument(stop decay,List([36, 46)))	Our array of hygiene services helps prevent and stop decay and includes fluoride treatments, sealants, and periodontal treatment.
0.46874709508343093		SimpleArgument(Our array of hygiene services,List([0, 29)))	Relation(helps,List([30, 35)))	SimpleArgument(prevent,List([36, 43)))	Our array of hygiene services helps prevent and stop decay and includes fluoride treatments, sealants, and periodontal treatment.
0.7742923597681717		SimpleArgument(Our implant dentistry services,List([0, 30)))	Relation(include,List([31, 38)))	SimpleArgument(single - and multiple - tooth implant - supported dentures,List([39, 97)))	Our implant dentistry services include single- and multiple-tooth replacement, as well as implant-supported dentures.
