0.9197759696552441		SimpleArgument(Professional,List([0, 12)))	Relation(eyecare witha,List([13, 20), [21, 26)))	SimpleArgument(personal touch,List([27, 41)))	Professional eyecare witha personal touch.
0.292827695956731	Context(We offer,List([0, 8)))	SimpleArgument(We,List([0, 2)))	Relation(offer contact lens fittings as well as designer fashion eyeglasses cutting,List([3, 8), [9, 16)))	SimpleArgument(the latest advances in contact lenses,List([80, 117)))	We offer comprehensive eye exams and contact lens fittings as well as designer fashion eyeglasses, cutting-edge lens technology and the latest advances in contact lenses.
0.3010306049122031	Context(We offer,List([0, 8)))	SimpleArgument(We,List([0, 2)))	Relation(offer comprehensive eye exams cutting,List([3, 8), [9, 22)))	SimpleArgument(the latest advances in contact lenses,List([82, 119)))	We offer comprehensive eye exams and contact lens fittings as well as designer fashion eyeglasses, cutting-edge lens technology and the latest advances in contact lenses.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(offer,List([3, 8)))	SimpleArgument(contact lens fittings as well as designer fashion eyeglasses,List([9, 69)))	We offer comprehensive eye exams and contact lens fittings as well as designer fashion eyeglasses, cutting-edge lens technology and the latest advances in contact lenses.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(offer,List([3, 8)))	SimpleArgument(comprehensive eye exams,List([9, 32)))	We offer comprehensive eye exams and contact lens fittings as well as designer fashion eyeglasses, cutting-edge lens technology and the latest advances in contact lenses.
0.9161623033303347		SimpleArgument(Burnt Hills Optical,List([0, 19)))	Relation(was established by,List([20, 35), [44, 46)))	SimpleArgument(Jean Bergstrom,List([47, 61)))	Burnt Hills Optical was established in 1988 by Jean Bergstrom and was was originally located in a 600 square foot storefront on Lakehill Road at Route 50 in Burnt Hills.
0.8306090960787457		SimpleArgument(Burnt Hills Optical,List([0, 19)))	Relation(was established in,List([20, 35), [36, 38)))	TemporalArgument(1988,List([39, 43)))	Burnt Hills Optical was established in 1988 by Jean Bergstrom and was was originally located in a 600 square foot storefront on Lakehill Road at Route 50 in Burnt Hills.
0.8019745835365614	Context(Jean set out,List([0, 24)))	SimpleArgument(Jean Bergstrom,List([0, 4)))	Relation(set out to fulfill,List([17, 24), [25, 35)))	SimpleArgument(her goal of owning her own business,List([36, 71)))	Jean obtained her NYS license as an ophthalmic dispenser (optician) in 1987 and immediately set out to fulfill her goal of owning her own business.
0.8245075725281429		SimpleArgument(Jean Bergstrom,List([0, 4)))	Relation(set out to fulfill her goal of owning her own business,List([17, 24), [25, 71)))	TemporalArgument(immediately,List([5, 16)))	Jean obtained her NYS license as an ophthalmic dispenser (optician) in 1987 and immediately set out to fulfill her goal of owning her own business.
0.8019745835365614		SimpleArgument(Jean Bergstrom,List([0, 4)))	Relation(set out to,List([17, 24), [25, 27)))	SimpleArgument(fulfill her goal of owning her own business,List([28, 71)))	Jean obtained her NYS license as an ophthalmic dispenser (optician) in 1987 and immediately set out to fulfill her goal of owning her own business.
0.9197759696552441		SimpleArgument(Jean Bergstrom,List([0, 4)))	Relation(obtained her NYS license as,List([5, 13), [14, 29), [30, 32)))	SimpleArgument(an ophthalmic dispenser,List([33, 56)))	Jean obtained her NYS license as an ophthalmic dispenser (optician) in 1987 and immediately set out to fulfill her goal of owning her own business.
0.8821938819052391		SimpleArgument(Jean Bergstrom,List([0, 4)))	Relation(obtained,List([5, 13)))	SimpleArgument(her NYS license,List([14, 29)))	Jean obtained her NYS license as an ophthalmic dispenser (optician) in 1987 and immediately set out to fulfill her goal of owning her own business.
0.41051436014453063		SimpleArgument(Jean Bergstrom,List([0, 3)))	Relation(known as,List([11, 16), [17, 19)))	SimpleArgument(the premier lens fitter in the area,List([20, 55)))	She was named 1994-1995 Optician of the Year by the New York State Society of Opticians and became known as the premier lens fitter in the area.
