0.9485955390117107		SimpleArgument(Christian W.E. Haub,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(a businessman,List([23, 36)))	Christian W.E. Haub is a businessman.
0.3853208301752743		SimpleArgument(Karl-Erivan Haub,List([68, 84)))	Relation([is] brother [of],List([60, 67)))	SimpleArgument(him,List([56, 59)))	He is the Co-CEO of the Tengelmann Group, together with his brother Karl-Erivan Haub.
0.5680679595514976		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the Co-CEO of the Tengelmann Group,List([6, 40)))	He is the Co-CEO of the Tengelmann Group, together with his brother Karl-Erivan Haub.
0.4978219019954182		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(CEO of Pacific Tea Company,List([11, 37)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.6138676038426771		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(a former board member of Pacific Tea Company ( A&P ) from December 3 , 1991,List([11, 86)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.4978219019954182		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(President of Pacific Tea Company,List([11, 43)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.6138676038426771		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(Chairman of Pacific Tea Company ( A&P ) from December 3 , 1991 until February 22,List([11, 91)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.6138676038426771		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(CEO of New Jersey 's Great Atlantic from December 3 , 1991,List([11, 69)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.6138676038426771		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(a former board member of New Jersey 's Great Atlantic from December 3 , 1991 until February 22,List([11, 105)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.4978219019954182		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(President of New Jersey 's Great Atlantic,List([11, 52)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.38089450366724514		SimpleArgument(Atlantic,List([43, 51)))	Relation([is] Great [from],List([37, 42)))	SimpleArgument(New Jersey,List([23, 33)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
