0.9729999899864197		SimpleArgument(I,List([0, 0)))	Relation(am,List([0, 0)))	SimpleArgument(67 yr old nurse !!,List(null))	I am a 67 yr old Nurse!!
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(a 67 yr old Nurse,List([5, 22)))	I am a 67 yr old Nurse!!
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have practised mental health since,List([2, 16), [17, 30), [31, 36)))	TemporalArgument(the age of 16 yrs old in 1966,List([37, 66)))	I have practised mental health since the age of 16 yrs old in 1966 .
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have practised,List([2, 16)))	SimpleArgument(mental health,List([17, 30)))	I have practised mental health since the age of 16 yrs old in 1966 .
0.22506131975927415		SimpleArgument(I,List({0}))	Relation(completed in,List([2, 11), [12, 14)))	TemporalArgument(1971,List([15, 19)))	I commenced training in 1968 and completed in 1971.
0.22506131975927415		SimpleArgument(I,List({0}))	Relation(commenced training in,List([2, 11), [12, 20), [21, 23)))	TemporalArgument(1968,List([24, 28)))	I commenced training in 1968 and completed in 1971.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(commenced,List([2, 11)))	SimpleArgument(training,List([12, 20)))	I commenced training in 1968 and completed in 1971.
0.29886655727758943		SimpleArgument(I,List({8}))	Relation(became a Charge Nurse In,List([0, 2), [10, 25), [26, 31)))	TemporalArgument(1972,List([3, 7)))	In 1972 I became a Charge Nurse and have since that time to my retiring from NHS in 1998 been in control of all areas in that specialty.
0.4978219019954182		SimpleArgument(I,List({8}))	Relation(became,List([10, 16)))	SimpleArgument(a Charge Nurse,List([17, 31)))	In 1972 I became a Charge Nurse and have since that time to my retiring from NHS in 1998 been in control of all areas in that specialty.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(have,List([2, 6)))	SimpleArgument(a Diploma in managment,List([7, 29)))	I have a Diploma in managment.
0.3094059131605876		SimpleArgument(we,List([79, 81)))	Relation(nursed people,List([82, 88), [89, 95)))	TemporalArgument(those days,List([68, 78)))	I had time on Adolescent wards,Elderly wards, sick nursing wards(in those days we nursed people ,not shipped em off to General Hospitals).
0.45170382506656653		SimpleArgument(we,List([79, 81)))	Relation(nursed,List([82, 88)))	SimpleArgument(people,List([89, 95)))	I had time on Adolescent wards,Elderly wards, sick nursing wards(in those days we nursed people ,not shipped em off to General Hospitals).
0.2396678393999361		SimpleArgument(I,List({0}))	Relation(had time on,List([2, 5), [6, 10), [11, 13)))	SpatialArgument(Adolescent wards,Elderly wards, sick nursing wards(in those days we nursed people ,not shipped em off to General Hospitals,List([14, 136)))	I had time on Adolescent wards,Elderly wards, sick nursing wards(in those days we nursed people ,not shipped em off to General Hospitals).
0.5222094630377523		SimpleArgument(I,List({0}))	Relation(had,List([2, 5)))	SimpleArgument(time,List([6, 10)))	I had time on Adolescent wards,Elderly wards, sick nursing wards(in those days we nursed people ,not shipped em off to General Hospitals).
0.9597492605074653		SimpleArgument(a band,List([25, 31)))	Relation(g in,List({32}, [34, 36)))	SimpleArgument(charge of a 8 ward Hospital in Night sphere of operations,List([37, 94)))	I ended my time there as a band g in charge of a 8 ward Hospital in Night sphere of operations.
