0.38089450366724514		SimpleArgument(Inc,List([128, 131)))	Relation([is] Introducing Broker of,List([83, 104)))	SimpleArgument(ADM Investor Services,List([105, 126)))	Archer Financial Services Inc. ('AFS') is a wholly owned subsidiary and Guaranteed Introducing Broker of ADM Investor Services, Inc. ('ADMIS').
0.9199569125504766		SimpleArgument(a wholly owned subsidiary,List([42, 67)))	Relation(Introducing,List([83, 94)))	SimpleArgument(Broker of ADM Investor Services,List([95, 126)))	Archer Financial Services Inc. ('AFS') is a wholly owned subsidiary and Guaranteed Introducing Broker of ADM Investor Services, Inc. ('ADMIS').
0.876543225140763		SimpleArgument(AFS,List([0, 3)))	Relation(provides services to,List([4, 12), [13, 21), [22, 24)))	SimpleArgument(ADMIS business partners,List([25, 48)))	AFS provides support and services to ADMIS business partners.
0.8550806581371961		SimpleArgument(AFS,List([0, 3)))	Relation(provides,List([4, 12)))	SimpleArgument(services,List([13, 21)))	AFS provides support and services to ADMIS business partners.
0.8550806581371961		SimpleArgument(AFS,List([0, 3)))	Relation(provides,List([4, 12)))	SimpleArgument(support,List([13, 20)))	AFS provides support and services to ADMIS business partners.
0.8645386818095685		SimpleArgument(the Chicago area,List([50, 66)))	Relation(to become,List([82, 91)))	SimpleArgument(entities of their own,List([92, 113)))	In addition, we work with Independent Brokers in the Chicago area who have opted to associate themselves with AFS rather than become entities of their own.
0.3929209860966329		SimpleArgument(AFS,List([14, 16)))	Relation(work in,List([17, 21), [47, 49)))	SpatialArgument(the Chicago area,List([50, 66)))	In addition, we work with Independent Brokers in the Chicago area who have opted to associate themselves with AFS rather than become entities of their own.
0.4978219019954182		SimpleArgument(AFS,List([14, 16)))	Relation(work with,List([17, 21), [22, 26)))	SimpleArgument(Independent Brokers,List([27, 46)))	In addition, we work with Independent Brokers in the Chicago area who have opted to associate themselves with AFS rather than become entities of their own.
0.7849031694068139		SimpleArgument(Our Chicago location , the hub of the futures industry,List([0, 54)))	Relation(allows,List([57, 63)))	SimpleArgument(a unique opportunity to work with these professional individuals,List([67, 131)))	Our Chicago location, the hub of the futures industry, allows us a unique opportunity to work with these established and professional individuals.
0.7849031694068139		SimpleArgument(Our Chicago location , the hub of the futures industry,List([0, 54)))	Relation(allows,List([57, 63)))	SimpleArgument(a unique opportunity to work with these established individuals,List([67, 130)))	Our Chicago location, the hub of the futures industry, allows us a unique opportunity to work with these established and professional individuals.
0.8815289594733001		SimpleArgument(a relationship - driven brokerage firm,List([29, 67)))	Relation(dedicated to,List([68, 77), [78, 80)))	SimpleArgument(providing a quality brokerage environment to our customers alike,List([81, 145)))	Archer Financial Services is a relationship-driven brokerage firm dedicated to providing a quality brokerage environment to our independent brokers and customers alike.
0.9413957910477321		SimpleArgument(Archer Financial Services,List([0, 25)))	Relation(is,List([26, 28)))	SimpleArgument(a relationship - driven brokerage firm dedicated to providing a quality brokerage environment to our customers alike,List([29, 145)))	Archer Financial Services is a relationship-driven brokerage firm dedicated to providing a quality brokerage environment to our independent brokers and customers alike.
0.9226779239016457		SimpleArgument(a relationship - driven brokerage firm,List([29, 67)))	Relation(dedicated to,List([68, 77), [78, 80)))	SimpleArgument(providing a quality brokerage environment to our independent brokers alike,List([81, 155)))	Archer Financial Services is a relationship-driven brokerage firm dedicated to providing a quality brokerage environment to our independent brokers and customers alike.
0.9413957910477321		SimpleArgument(Archer Financial Services,List([0, 25)))	Relation(is,List([26, 28)))	SimpleArgument(a relationship - driven brokerage firm dedicated to providing a quality brokerage environment to our independent brokers alike,List([29, 155)))	Archer Financial Services is a relationship-driven brokerage firm dedicated to providing a quality brokerage environment to our independent brokers and customers alike.
0.39625576749130315		SimpleArgument(our,List([24, 26)))	Relation(are mutually committed to offering the clearing services available in our industry Along,List([0, 5), [27, 100), [101, 109)))	SpatialArgument(with our parent,List([6, 21)))	Along with our parent, we are mutually committed to offering the best executing and clearing services available in our industry.
0.41763505952380825		SimpleArgument(our,List([24, 26)))	Relation(are,List([27, 30)))	SimpleArgument(mutually committed to offering the clearing services available in our industry,List([31, 109)))	Along with our parent, we are mutually committed to offering the best executing and clearing services available in our industry.
0.39625576749130315		SimpleArgument(our,List([24, 26)))	Relation(are mutually committed to offering the best executing services available in our industry Along,List([0, 5), [27, 106), [107, 115)))	SpatialArgument(with our parent,List([6, 21)))	Along with our parent, we are mutually committed to offering the best executing and clearing services available in our industry.
0.41763505952380825		SimpleArgument(our,List([24, 26)))	Relation(are,List([27, 30)))	SimpleArgument(mutually committed to offering the best executing services available in our industry,List([31, 115)))	Along with our parent, we are mutually committed to offering the best executing and clearing services available in our industry.
