0.9195349739807033		SimpleArgument(FROMM Packaging Ltd,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(a wholly owned subsidiary of FROMM Holdings of Switzerland,List([23, 81)))	FROMM Packaging Ltd is a wholly owned subsidiary of FROMM Holdings of Switzerland.
0.9909999966621399		SimpleArgument(1947 fromm,List([0, 0)))	Relation(manufactures,List([0, 0)))	SimpleArgument(a complete range of Stretchwrap equipment used in the palletizing of retail loads,List(null))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.9266232318014763		SimpleArgument(Stretchwrap equipment,List([59, 80)))	Relation(used in,List([81, 85), [86, 88)))	SpatialArgument(the palletizing of retail loads,List([89, 120)))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.9909999966621399		SimpleArgument(1947 fromm,List([0, 0)))	Relation(manufactures,List([0, 0)))	SimpleArgument(a complete range of Stretchwrap equipment used in the palletizing of industrial loads,List(null))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.9266232318014763		SimpleArgument(Stretchwrap equipment,List([59, 80)))	Relation(used in,List([81, 85), [86, 88)))	SpatialArgument(the palletizing of industrial loads,List([89, 124)))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.9909999966621399		SimpleArgument(1947 fromm,List([0, 0)))	Relation(manufactures,List([0, 0)))	SimpleArgument(a complete range of Stretchwrap equipment used in the unitizing,List(null))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.9266232318014763		SimpleArgument(Stretchwrap equipment,List([59, 80)))	Relation(used in,List([81, 85), [86, 88)))	SpatialArgument(the unitizing,List([89, 102)))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.876543225140763		SimpleArgument(Fromm Packaging Systems,List([20, 25)))	Relation(manufactures,List([26, 38)))	SimpleArgument(a complete range of Stretchwrap equipment,List([39, 80)))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.9909999966621399		SimpleArgument(1947 fromm,List([0, 0)))	Relation(manufactures,List([0, 0)))	SimpleArgument(a complete range of Airpad,List(null))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.876543225140763		SimpleArgument(Fromm Packaging Systems,List([20, 25)))	Relation(manufactures,List([26, 38)))	SimpleArgument(a complete range of Airpad,List([39, 65)))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
0.9909999966621399		SimpleArgument(1947 fromm,List([0, 0)))	Relation(manufactures,List([0, 0)))	SimpleArgument(a complete range of Strapping,List(null))	Established in 1947 FROMM manufactures a complete range of Strapping, Airpad and Stretchwrap equipment used in the unitizing and palletizing of industrial and retail loads.
