0.9040259452709256		SimpleArgument(Ltd,List([32, 35)))	Relation(is,List([36, 38)))	SimpleArgument(a wholly-owned subsidiary of Guangwei Garment Group,List([39, 90)))	Dongguan Zhijie Industrial CO., Ltd is a wholly-owned subsidiary of Guangwei Garment Group.
0.9340463819568752		SimpleArgument(Guangwei garment,List([54, 70)))	Relation(is,List([72, 74)))	SimpleArgument(a well-known trademark in china,List([75, 106)))	Dongguan Guangwei Garment Group was founded in 1992, 'Guangwei garment' is a well-known trademark in china.
0.9610015049937548		SimpleArgument(Guangwei Garment Group,List([0, 31)))	Relation(was founded,List([32, 43)))	SimpleArgument(Guangwei garment' is a well-known trademark in china,List([54, 106)))	Dongguan Guangwei Garment Group was founded in 1992, 'Guangwei garment' is a well-known trademark in china.
0.8437742409533863		SimpleArgument(Guangwei Garment Group,List([0, 31)))	Relation(was founded in,List([32, 43), [44, 46)))	TemporalArgument(1992,List([47, 51)))	Dongguan Guangwei Garment Group was founded in 1992, 'Guangwei garment' is a well-known trademark in china.
0.8926589187155131		SimpleArgument(Guangwei Garment Group,List([10, 41)))	Relation(made,List([42, 46)))	SimpleArgument(its outdoor covers and portable bag business,List([47, 91)))	In 2011, Dongguan Guangwei Garment Group made its indoor and outdoor covers and portable bag business independent by setting up a new company called Dongguan Zhijie Industrial CO., Ltd., and registered 'GUANGWIN' trademark, striving to serve customers with more professional technology and team service.
0.8926589187155131		SimpleArgument(Guangwei Garment Group,List([10, 41)))	Relation(made,List([42, 46)))	SimpleArgument(its indoor covers and portable bag business,List([47, 90)))	In 2011, Dongguan Guangwei Garment Group made its indoor and outdoor covers and portable bag business independent by setting up a new company called Dongguan Zhijie Industrial CO., Ltd., and registered 'GUANGWIN' trademark, striving to serve customers with more professional technology and team service.
0.9112457591920189		SimpleArgument(Guangwei Garment Group,List([10, 41)))	Relation(made,List([42, 46)))	SimpleArgument(its outdoor covers and portable bag business independent by setting up a new company,List([47, 131)))	In 2011, Dongguan Guangwei Garment Group made its indoor and outdoor covers and portable bag business independent by setting up a new company called Dongguan Zhijie Industrial CO., Ltd., and registered 'GUANGWIN' trademark, striving to serve customers with more professional technology and team service.
0.9369494017298445	Context(Dongguan Guangwei Garment Group made,List([10, 46)))	SimpleArgument(Guangwei Garment Group,List([10, 41)))	Relation(made by setting up,List([42, 46), [103, 116)))	SimpleArgument(a new company called Dongguan Zhijie Industrial CO. , Ltd.,List([117, 175)))	In 2011, Dongguan Guangwei Garment Group made its indoor and outdoor covers and portable bag business independent by setting up a new company called Dongguan Zhijie Industrial CO., Ltd., and registered 'GUANGWIN' trademark, striving to serve customers with more professional technology and team service.
0.8592082739009099		SimpleArgument(Guangwei Garment Group,List([10, 41)))	Relation(made In,List([0, 2), [42, 46)))	TemporalArgument(2011,List([3, 7)))	In 2011, Dongguan Guangwei Garment Group made its indoor and outdoor covers and portable bag business independent by setting up a new company called Dongguan Zhijie Industrial CO., Ltd., and registered 'GUANGWIN' trademark, striving to serve customers with more professional technology and team service.
0.9112457591920189		SimpleArgument(Guangwei Garment Group,List([10, 41)))	Relation(made,List([42, 46)))	SimpleArgument(its indoor covers and portable bag business independent by setting up a new company,List([47, 130)))	In 2011, Dongguan Guangwei Garment Group made its indoor and outdoor covers and portable bag business independent by setting up a new company called Dongguan Zhijie Industrial CO., Ltd., and registered 'GUANGWIN' trademark, striving to serve customers with more professional technology and team service.
0.9250606141558615		SimpleArgument(a new company,List([117, 130)))	Relation(called,List([131, 137)))	SimpleArgument(Dongguan Zhijie Industrial CO. , Ltd.,List([138, 175)))	In 2011, Dongguan Guangwei Garment Group made its indoor and outdoor covers and portable bag business independent by setting up a new company called Dongguan Zhijie Industrial CO., Ltd., and registered 'GUANGWIN' trademark, striving to serve customers with more professional technology and team service.
0.3813762836812193	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing so on,List([3, 14), [15, 17), [18, 39)))	SimpleArgument(outdoor furniture cover,List([40, 63)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(outdoor furniture cover cloth shopping bag,List([40, 82)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(outdoor furniture cover traveling bag,List([40, 77)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.9111779447320654		SimpleArgument(outdoor furniture cover,List([40, 63)))	Relation(traveling,List([64, 73)))	SimpleArgument(bag,List([74, 77)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
