0.4978219019954182		SimpleArgument(I,List({0}))	Relation(am certified in,List([2, 14), [15, 17)))	SpatialArgument(Comptia A+, Network+, Security+,List([18, 49)))	I am certified in Comptia A+, Network+, Security+, Linux+.
0.26766884027090854		SimpleArgument(I,List({0}))	Relation(serve as a trainer for local associations,List([17, 22), [23, 58)))	TemporalArgument(currently,List([2, 11)))	I currently also serve as a trainer for state agencies and local associations.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(serve as,List([17, 22), [23, 25)))	SimpleArgument(a trainer for local associations,List([26, 58)))	I currently also serve as a trainer for state agencies and local associations.
0.26766884027090854		SimpleArgument(I,List({0}))	Relation(serve as a trainer for state agencies,List([17, 22), [23, 54)))	TemporalArgument(currently,List([2, 11)))	I currently also serve as a trainer for state agencies and local associations.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(serve as,List([17, 22), [23, 25)))	SimpleArgument(a trainer for state agencies,List([26, 54)))	I currently also serve as a trainer for state agencies and local associations.
0.9199923855291322		SimpleArgument(Training,List([0, 8)))	Relation(encompasses,List([9, 20)))	SimpleArgument(Microsoft VMware virtualization,List([23, 54)))	Training encompasses, Microsoft Excel, Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization.
0.9199923855291322		SimpleArgument(Training,List([0, 8)))	Relation(encompasses,List([9, 20)))	SimpleArgument(Microsoft Adobe,List([23, 38)))	Training encompasses, Microsoft Excel, Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization.
0.9199923855291322		SimpleArgument(Training,List([0, 8)))	Relation(encompasses,List([9, 20)))	SimpleArgument(Microsoft Powerpoint,List([23, 43)))	Training encompasses, Microsoft Excel, Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization.
0.9199923855291322		SimpleArgument(Training,List([0, 8)))	Relation(encompasses,List([9, 20)))	SimpleArgument(Microsoft Outlook,List([23, 40)))	Training encompasses, Microsoft Excel, Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization.
0.9199923855291322		SimpleArgument(Training,List([0, 8)))	Relation(encompasses,List([9, 20)))	SimpleArgument(Microsoft Excel,List([23, 38)))	Training encompasses, Microsoft Excel, Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization.
0.6138676038426771		SimpleArgument(Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization,List([0, 2)))	Relation(has implemented,List([3, 18)))	SimpleArgument(several mid-size local area networks including 8 TB SAN , vmWare vSphere implementation at the Tallahassee Board of Realtors,List([19, 143)))	He has designed and implemented several mid-size local area networks including 8 TB SAN, vmWare vSphere implementation at the Tallahassee Board of Realtors.
0.9045207649554154		SimpleArgument(The design,List([0, 10)))	Relation(included,List([16, 24)))	SimpleArgument(redundant Linux based backup systems,List([25, 61)))	The design also included IP, hardware, routing, SQL database, IPS system and quadruple redundant Linux based backup systems.
0.8872966301155124		SimpleArgument(The design,List([0, 10)))	Relation(included,List([16, 24)))	SimpleArgument(quadruple,List([25, 34)))	The design also included IP, hardware, routing, SQL database, IPS system and quadruple redundant Linux based backup systems.
0.9045207649554154		SimpleArgument(The design,List([0, 10)))	Relation(included,List([16, 24)))	SimpleArgument(IPS system,List([25, 35)))	The design also included IP, hardware, routing, SQL database, IPS system and quadruple redundant Linux based backup systems.
0.9045207649554154		SimpleArgument(The design,List([0, 10)))	Relation(included,List([16, 24)))	SimpleArgument(SQL database,List([25, 37)))	The design also included IP, hardware, routing, SQL database, IPS system and quadruple redundant Linux based backup systems.
0.7351279940478935		SimpleArgument(The design,List([0, 10)))	Relation(included,List([16, 24)))	SimpleArgument(routing,List([25, 32)))	The design also included IP, hardware, routing, SQL database, IPS system and quadruple redundant Linux based backup systems.
0.8872966301155124		SimpleArgument(The design,List([0, 10)))	Relation(included,List([16, 24)))	SimpleArgument(hardware,List([25, 33)))	The design also included IP, hardware, routing, SQL database, IPS system and quadruple redundant Linux based backup systems.
0.9045207649554154		SimpleArgument(The design,List([0, 10)))	Relation(included,List([16, 24)))	SimpleArgument(IP,List([25, 27)))	The design also included IP, hardware, routing, SQL database, IPS system and quadruple redundant Linux based backup systems.
0.942698226089624		SimpleArgument(a technology conference,List([62, 85)))	Relation(focused on,List([86, 93), [94, 96)))	SimpleArgument(bringing awareness of emerging technologies to real estate professionals and other small to medium sized businesses,List([97, 212)))	He is the designer & organizer of the CATRS Technology Forum, a technology conference focused on bringing awareness of emerging technologies to real estate professionals and other small to medium sized businesses.
0.5680679595514976		SimpleArgument(Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the designer & organizer of the CATRS Technology Forum,List([6, 60)))	He is the designer & organizer of the CATRS Technology Forum, a technology conference focused on bringing awareness of emerging technologies to real estate professionals and other small to medium sized businesses.
0.4978219019954182		SimpleArgument(Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization,List([0, 2)))	Relation(has served as chairman in,List([3, 13), [14, 25), [26, 28)))	TemporalArgument(2012 of the LPS Product Advisory Committee,List([29, 71)))	He has served as chairman in 2012 of the LPS Product Advisory Committee.
0.45170382506656653		SimpleArgument(Outlook, Powerpoint, Adobe, IT Security, and VMware virtualization,List([0, 2)))	Relation(has served as,List([3, 13), [14, 16)))	SimpleArgument(chairman,List([17, 25)))	He has served as chairman in 2012 of the LPS Product Advisory Committee.
0.8958428165666725		SimpleArgument(administrators,List([20, 34)))	Relation(work closely with,List([39, 51), [52, 56)))	SimpleArgument(LPS in developing the Paragon 5 system,List([57, 95)))	A group composed of MLS executives and administrators who work closely with LPS in developing the Paragon 5 system.
0.9030401971054747		SimpleArgument(A group,List([0, 7)))	Relation(composed of,List([8, 16), [17, 19)))	SimpleArgument(administrators,List([20, 34)))	A group composed of MLS executives and administrators who work closely with LPS in developing the Paragon 5 system.
0.9277724913494431		SimpleArgument(MLS executives,List([20, 34)))	Relation(work closely with,List([39, 51), [52, 56)))	SimpleArgument(LPS in developing the Paragon 5 system,List([57, 95)))	A group composed of MLS executives and administrators who work closely with LPS in developing the Paragon 5 system.
0.9180804252893389		SimpleArgument(A group,List([0, 7)))	Relation(composed of,List([8, 16), [17, 19)))	SimpleArgument(MLS executives,List([20, 34)))	A group composed of MLS executives and administrators who work closely with LPS in developing the Paragon 5 system.
