0.7211407573456933		SimpleArgument(1565-1611,List([0, 9)))	Relation(was,List([11, 14)))	SimpleArgument(an Italian singer in the court of Alfonso II d'Este in Ferrara,List([15, 77)))	1565–1611) was an Italian singer in the court of Alfonso II d'Este in Ferrara.
0.45170382506656653		SimpleArgument(Livia d'Arco Livia,List([0, 3)))	Relation(was a young woman at,List([4, 7), [8, 21), [22, 24)))	TemporalArgument(the time,List([25, 33)))	She was sent there with the household of Margherita Gonzaga d'Este at the time of Margherita's marriage to Alfonso in 1579, and was a young woman at the time, around fifteen.
0.5222094630377523		SimpleArgument(Livia d'Arco Livia,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(a young woman,List([8, 21)))	She was sent there with the household of Margherita Gonzaga d'Este at the time of Margherita's marriage to Alfonso in 1579, and was a young woman at the time, around fifteen.
0.50931417287027		SimpleArgument(Livia d'Arco Livia,List([0, 3)))	Relation(was sent there at,List([4, 12), [13, 18), [67, 69)))	TemporalArgument(the time of Margherita 's marriage to Alfonso in 1579,List([70, 123)))	She was sent there with the household of Margherita Gonzaga d'Este at the time of Margherita's marriage to Alfonso in 1579, and was a young woman at the time, around fifteen.
0.22506131975927415		SimpleArgument(Livia d'Arco Livia,List([0, 3)))	Relation(was sent,List([4, 12)))	SimpleArgument(there,List([13, 18)))	She was sent there with the household of Margherita Gonzaga d'Este at the time of Margherita's marriage to Alfonso in 1579, and was a young woman at the time, around fifteen.
0.8615585111461579		SimpleArgument(Livia d'Arco Livia,List([0, 5)))	Relation(was perhaps sent to the court in Ferrara because,List([6, 22), [23, 46), [47, 54)))	SimpleArgument(of her musical potential,List([55, 79)))	Livia was the daughter of a minor Mantuan noble, and was perhaps sent to the court in Ferrara because of her musical potential.
0.9324144673478683		SimpleArgument(Livia d'Arco Livia,List([0, 5)))	Relation(was perhaps sent to,List([6, 22), [23, 25)))	SimpleArgument(the court of Alfonso II d'Este in Ferrara,List([26, 46)))	Livia was the daughter of a minor Mantuan noble, and was perhaps sent to the court in Ferrara because of her musical potential.
0.8847999636040884		SimpleArgument(Livia d'Arco Livia,List([0, 5)))	Relation(was the daughter of,List([6, 25)))	SimpleArgument(a minor Mantuan noble,List([26, 47)))	Livia was the daughter of a minor Mantuan noble, and was perhaps sent to the court in Ferrara because of her musical potential.
0.9481947648689547		SimpleArgument(Livia d'Arco Livia,List([0, 5)))	Relation(was,List([6, 9)))	SimpleArgument(the daughter of a minor Mantuan noble,List([10, 47)))	Livia was the daughter of a minor Mantuan noble, and was perhaps sent to the court in Ferrara because of her musical potential.
0.3388586609941708		SimpleArgument(Livia d'Arco Livia,List([19, 22)))	Relation(began studying the viol with Ippolito Fiorini,List([23, 28), [29, 68)))	TemporalArgument(When she arrived,List([0, 16)))	When she arrived, she began studying the viol with Luzzasco Luzzaschi and Ippolito Fiorini.
0.4328394458044063		SimpleArgument(Livia d'Arco Livia,List([19, 22)))	Relation(began,List([23, 28)))	SimpleArgument(studying the viol with Ippolito Fiorini,List([29, 68)))	When she arrived, she began studying the viol with Luzzasco Luzzaschi and Ippolito Fiorini.
0.3880890333449538	Context(she began,List([19, 28)))	SimpleArgument(Livia d'Arco Livia,List([19, 22)))	Relation(began studying,List([23, 28), [29, 37)))	SimpleArgument(the viol,List([38, 46)))	When she arrived, she began studying the viol with Luzzasco Luzzaschi and Ippolito Fiorini.
0.3388586609941708		SimpleArgument(Livia d'Arco Livia,List([19, 22)))	Relation(began studying the viol with Luzzasco Luzzaschi,List([23, 28), [29, 70)))	TemporalArgument(When she arrived,List([0, 16)))	When she arrived, she began studying the viol with Luzzasco Luzzaschi and Ippolito Fiorini.
0.4328394458044063		SimpleArgument(Livia d'Arco Livia,List([19, 22)))	Relation(began,List([23, 28)))	SimpleArgument(studying the viol with Luzzasco Luzzaschi,List([29, 70)))	When she arrived, she began studying the viol with Luzzasco Luzzaschi and Ippolito Fiorini.
0.49191393054741817	Context(the first record of her singing with them was,List([81, 126)))	SimpleArgument(Livia d'Arco Livia,List([27, 30)))	Relation(joined Anna Guarini After,List([0, 5), [31, 42), [43, 50)))	TemporalArgument(a few years of study,List([6, 26)))	After a few years of study she joined Laura Peverara, Tarquinia Mola and Anna Guarini in the Concerto delle donne; the first record of her singing with them was in 1582.
0.44251022175651566	Context(the first record of her singing with them was,List([81, 126)))	SimpleArgument(Livia d'Arco Livia,List([27, 30)))	Relation(joined Anna Guarini in,List([31, 37), [38, 50), [51, 53)))	SpatialArgument(the Concerto delle donne,List([54, 78)))	After a few years of study she joined Laura Peverara, Tarquinia Mola and Anna Guarini in the Concerto delle donne; the first record of her singing with them was in 1582.
0.44251022175651566	Context(the first record of her singing with them was,List([81, 126)))	SimpleArgument(Livia d'Arco Livia,List([27, 30)))	Relation(joined,List([31, 37)))	SimpleArgument(Anna Guarini,List([38, 50)))	After a few years of study she joined Laura Peverara, Tarquinia Mola and Anna Guarini in the Concerto delle donne; the first record of her singing with them was in 1582.
0.49191393054741817	Context(the first record of her singing with them was,List([55, 100)))	SimpleArgument(Livia d'Arco Livia,List([27, 30)))	Relation(joined Tarquinia Mola After,List([0, 5), [31, 47), [48, 52)))	TemporalArgument(a few years of study,List([6, 26)))	After a few years of study she joined Laura Peverara, Tarquinia Mola and Anna Guarini in the Concerto delle donne; the first record of her singing with them was in 1582.
0.44251022175651566	Context(the first record of her singing with them was,List([55, 100)))	SimpleArgument(Livia d'Arco Livia,List([27, 30)))	Relation(joined,List([31, 37)))	SimpleArgument(Tarquinia Mola,List([38, 52)))	After a few years of study she joined Laura Peverara, Tarquinia Mola and Anna Guarini in the Concerto delle donne; the first record of her singing with them was in 1582.
