0.9538634956324158		SimpleArgument(Christopher Philip Yorke Murphy,List([0, 31)))	Relation(is,List([53, 55)))	SimpleArgument(a British Conservative Party politician,List([56, 95)))	Christopher Philip Yorke Murphy (born 20 April 1947) is a British Conservative Party politician.
0.9538634956324158		SimpleArgument(Christopher Philip Yorke Murphy,List([0, 31)))	Relation(born,List([33, 37)))	TemporalArgument(20 April 1947,List([38, 51)))	Christopher Philip Yorke Murphy (born 20 April 1947) is a British Conservative Party politician.
0.9324144673478683		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([0, 6)))	Relation(was born in,List([7, 15), [16, 18)))	SpatialArgument(Plymouth,List([19, 27)))	Murphy was born in Plymouth, Devon.
0.6783685094789625		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the unsuccessful Conservative candidate for Bow in both the October 1974 General Elections,List([7, 97)))	He was the unsuccessful Conservative candidate for Bethnal Green and Bow in both the February 1974 and October 1974 General Elections.
0.6783685094789625		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the unsuccessful Conservative candidate for Bow in both the February 1974 General Elections,List([7, 98)))	He was the unsuccessful Conservative candidate for Bethnal Green and Bow in both the February 1974 and October 1974 General Elections.
0.5680679595514976		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the unsuccessful Conservative candidate for Bethnal Green,List([7, 64)))	He was the unsuccessful Conservative candidate for Bethnal Green and Bow in both the February 1974 and October 1974 General Elections.
0.547338059826203		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([30, 32)))	Relation(was elected Member of Parliament At,List([0, 36), [37, 54), [55, 65)))	SpatialArgument(the 1979 general election,List([3, 28)))	At the 1979 general election, he was elected Member of Parliament for Welwyn Hatfield — gaining the seat from Labour incumbent Hélène Hayman.
0.4978219019954182		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([30, 32)))	Relation(was elected,List([33, 44)))	SimpleArgument(Member of Parliament,List([45, 65)))	At the 1979 general election, he was elected Member of Parliament for Welwyn Hatfield — gaining the seat from Labour incumbent Hélène Hayman.
0.5508709715731925		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([48, 50)))	Relation(stood down,List([51, 61)))	TemporalArgument(the 1987 general election,List([16, 41)))	He served until the 1987 general election, when he stood down.
0.45170382506656653		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([0, 2)))	Relation(served until,List([3, 9), [10, 15)))	SimpleArgument(the 1987 general election,List([16, 41)))	He served until the 1987 general election, when he stood down.
0.9929999709129333		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([0, 0)))	Relation(was not elected In,List([0, 0)))	SimpleArgument(2005,List(null))	In 2005 he stood for the United Kingdom Independence Party in Eastleigh, but was not elected.
0.29886655727758943		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([8, 10)))	Relation(was not elected In,List([0, 18), [19, 26)))	TemporalArgument(2005,List([3, 7)))	In 2005 he stood for the United Kingdom Independence Party in Eastleigh, but was not elected.
0.36123317708488234		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([8, 10)))	Relation(stood for the United Kingdom Independence Party in Eastleigh In,List([0, 2), [11, 61), [62, 71)))	TemporalArgument(2005,List([3, 7)))	In 2005 he stood for the United Kingdom Independence Party in Eastleigh, but was not elected.
0.4978219019954182		SimpleArgument(Christopher Murphy Christopher Philip Yorke Murphy (born 20 April 1947),List([8, 10)))	Relation(stood for,List([11, 16), [17, 20)))	SimpleArgument(the United Kingdom Independence Party in Eastleigh,List([21, 71)))	In 2005 he stood for the United Kingdom Independence Party in Eastleigh, but was not elected.
