0.9538634956324158		SimpleArgument(Harry Philip Heggie Gourlay,List([0, 27)))	Relation(was,List([59, 62)))	SimpleArgument(a Scottish Labour Party politician,List([63, 97)))	Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987) was a Scottish Labour Party politician.
0.9383119524695255		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 7)))	Relation(was,List([8, 11)))	SimpleArgument(a vehicles examiner,List([12, 31)))	Gourlay was educated at Kirkcaldy High School and was a vehicles examiner.
0.9324144673478683		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 7)))	Relation(was educated at,List([8, 20), [21, 23)))	SpatialArgument(Kirkcaldy High School,List([24, 45)))	Gourlay was educated at Kirkcaldy High School and was a vehicles examiner.
0.886695286966665		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 2)))	Relation(was a member of,List([3, 18)))	SimpleArgument(his local hospital board,List([19, 43)))	He served as a councillor on Kirkcaldy Town Council and Fife County Council from 1946 and was a governor of Dundee College of Education and a member of his local hospital board.
0.3723576963542719		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of his local hospital board,List([7, 43)))	He served as a councillor on Kirkcaldy Town Council and Fife County Council from 1946 and was a governor of Dundee College of Education and a member of his local hospital board.
0.8847999636040884		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 2)))	Relation(was a governor of,List([3, 20)))	SimpleArgument(Dundee College,List([21, 35)))	He served as a councillor on Kirkcaldy Town Council and Fife County Council from 1946 and was a governor of Dundee College of Education and a member of his local hospital board.
0.5680679595514976		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a governor of Dundee College of Education,List([7, 48)))	He served as a councillor on Kirkcaldy Town Council and Fife County Council from 1946 and was a governor of Dundee College of Education and a member of his local hospital board.
0.22506131975927415		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 2)))	Relation(served as a councillor on Kirkcaldy Fife County Council from,List([3, 9), [10, 58), [59, 63)))	TemporalArgument(1946,List([64, 68)))	He served as a councillor on Kirkcaldy Town Council and Fife County Council from 1946 and was a governor of Dundee College of Education and a member of his local hospital board.
0.4978219019954182		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 2)))	Relation(served as,List([3, 9), [10, 12)))	SimpleArgument(a councillor on Kirkcaldy Fife County Council,List([13, 58)))	He served as a councillor on Kirkcaldy Town Council and Fife County Council from 1946 and was a governor of Dundee College of Education and a member of his local hospital board.
0.22506131975927415		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 2)))	Relation(served as a councillor on Kirkcaldy Town Council from,List([3, 9), [10, 51), [52, 56)))	TemporalArgument(1946,List([57, 61)))	He served as a councillor on Kirkcaldy Town Council and Fife County Council from 1946 and was a governor of Dundee College of Education and a member of his local hospital board.
0.4978219019954182		SimpleArgument(Harry Gourlay Harry Philip Heggie Gourlay (10 July 1916 – 20 April 1987),List([0, 2)))	Relation(served as,List([3, 9), [10, 12)))	SimpleArgument(a councillor on Kirkcaldy Town Council,List([13, 51)))	He served as a councillor on Kirkcaldy Town Council and Fife County Council from 1946 and was a governor of Dundee College of Education and a member of his local hospital board.
0.38089450366724514		SimpleArgument(1955.He,List([33, 40)))	Relation(was Member of,List([41, 54)))	SimpleArgument(Parliament,List([55, 65)))	Gourlay contested South Angus in 1955.He was Member of Parliament for Kirkcaldy Burghs (and then Kirkcaldy) from 1959 until he died in office shortly before the 1987 general election, at which Dr Lewis Moonie was elected as his successor.
0.883042269491254		SimpleArgument(Dr Lewis Moonie,List([175, 190)))	Relation(was elected as,List([191, 202), [203, 205)))	SimpleArgument(his successor,List([206, 219)))	Gourlay contested South Angus in 1955.He was Member of Parliament for Kirkcaldy Burghs (and then Kirkcaldy) from 1959 until he died in office shortly before the 1987 general election, at which Dr Lewis Moonie was elected as his successor.
0.40710919743170804		SimpleArgument(Member of Parliament for Kirkcaldy Burghs (and then Kirkcaldy),List([105, 107)))	Relation(died,List([108, 112)))	TemporalArgument(shortly before the 1987 general election,List([123, 163)))	Gourlay contested South Angus in 1955.He was Member of Parliament for Kirkcaldy Burghs (and then Kirkcaldy) from 1959 until he died in office shortly before the 1987 general election, at which Dr Lewis Moonie was elected as his successor.
0.45170382506656653		SimpleArgument(Member of Parliament for Kirkcaldy Burghs (and then Kirkcaldy),List([105, 107)))	Relation(died in,List([108, 112), [113, 115)))	SpatialArgument(office,List([116, 122)))	Gourlay contested South Angus in 1955.He was Member of Parliament for Kirkcaldy Burghs (and then Kirkcaldy) from 1959 until he died in office shortly before the 1987 general election, at which Dr Lewis Moonie was elected as his successor.
