0.9445721975409912		SimpleArgument(Gunnar Gundersen,List([0, 16)))	Relation(is,List([46, 48)))	SimpleArgument(a Norwegian politician for the Conservative Party,List([49, 98)))	Gunnar Gundersen (born 2 April 1956 in Åsnes) is a Norwegian politician for the Conservative Party.
0.9445721975409912		SimpleArgument(Gunnar Gundersen,List([0, 16)))	Relation(born,List([18, 22)))	TemporalArgument(2 April 1956 in Åsnes,List([23, 44)))	Gunnar Gundersen (born 2 April 1956 in Åsnes) is a Norwegian politician for the Conservative Party.
0.15939332484157967		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(was elected to the Norwegian Parliament in,List([3, 14), [15, 42), [56, 58)))	TemporalArgument(2005,List([59, 63)))	He was elected to the Norwegian Parliament from Hedmark in 2005.
0.4978219019954182		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(was elected to,List([3, 14), [15, 17)))	SimpleArgument(the Norwegian Parliament,List([18, 42)))	He was elected to the Norwegian Parliament from Hedmark in 2005.
0.547338059826203		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([19, 21)))	Relation(was a deputy member of Åsnes municipal council On,List([0, 2), [22, 60), [61, 68)))	SpatialArgument(the local level,List([3, 18)))	On the local level he was a deputy member of Åsnes municipal council from 1999 to 2007.
0.5680679595514976		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([19, 21)))	Relation(was,List([22, 25)))	SimpleArgument(a deputy member of Åsnes municipal council,List([26, 68)))	On the local level he was a deputy member of Åsnes municipal council from 1999 to 2007.
0.8847999636040884		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(was a member of,List([3, 18)))	SimpleArgument(the Conservative Party central board,List([19, 55)))	He chaired the county party chapter from 2004 to 2005, and was a member of the Conservative Party central board in the same period.
0.6783685094789625		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of the Conservative Party central board in the same period,List([7, 74)))	He chaired the county party chapter from 2004 to 2005, and was a member of the Conservative Party central board in the same period.
0.22506131975927415		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(chaired the county party chapter from,List([3, 10), [11, 35), [36, 40)))	SimpleArgument(2004 to 2005,List([41, 53)))	He chaired the county party chapter from 2004 to 2005, and was a member of the Conservative Party central board in the same period.
0.45170382506656653		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(chaired,List([3, 10)))	SimpleArgument(the county party chapter,List([11, 35)))	He chaired the county party chapter from 2004 to 2005, and was a member of the Conservative Party central board in the same period.
0.4978219019954182		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(studied at,List([3, 10), [11, 13)))	SpatialArgument(the University of Wisconsin , the University of California,List([14, 72)))	He studied at the University of Wisconsin, Madison 1975-1979 and the University of California, Berkeley 1981-1982.
0.4978219019954182		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(studied at,List([3, 10), [11, 13)))	SpatialArgument(the University of Wisconsin,List([14, 41)))	He studied at the University of Wisconsin, Madison 1975-1979 and the University of California, Berkeley 1981-1982.
0.3497525988439521		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(worked as,List([3, 9), [15, 17)))	SimpleArgument(a local businessman,List([18, 37)))	He worked as a research assistant at the Norwegian College of Agriculture from 1982 to 1985, and then as a local businessman.
0.22015391053105568		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(worked as a local businessman,List([3, 9), [15, 37)))	TemporalArgument(then,List([10, 14)))	He worked as a research assistant at the Norwegian College of Agriculture from 1982 to 1985, and then as a local businessman.
0.6138676038426771		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 2)))	Relation(worked as,List([3, 9), [10, 12)))	SimpleArgument(a research assistant at the Norwegian College of Agriculture from 1982 to 1985,List([13, 91)))	He worked as a research assistant at the Norwegian College of Agriculture from 1982 to 1985, and then as a local businessman.
0.9324144673478683		SimpleArgument(Gunnar Gundersen (politician) Gunnar Gundersen (born 2 April 1956 in Åsnes),List([0, 9)))	Relation(is also,List([10, 17)))	SimpleArgument(a former Olympic swimmer,List([18, 42)))	Gundersen is also a former Olympic swimmer.
0.886695286966665		SimpleArgument(Tore Andreas Gundersen,List([8, 30)))	Relation([is] son [of],List([4, 7)))	SimpleArgument(Him,List([0, 3)))	His son Tore Andreas Gundersen is a professional football player.
0.6641329562437754		SimpleArgument(His son,List([0, 7)))	Relation(is,List([31, 33)))	SimpleArgument(a professional football player,List([34, 64)))	His son Tore Andreas Gundersen is a professional football player.
