0.8055616434616809		SimpleArgument(Your family's well-being,List([0, 24)))	Relation(is,List([25, 27)))	SimpleArgument(SYNERGY HomeCare's highest priority,List([28, 63)))	Your family's well-being is SYNERGY HomeCare's highest priority.
0.6601056213946704		SimpleArgument(Our compassionate caregivers,List([0, 28)))	Relation(have assisted thousands of families in,List([29, 42), [43, 64), [65, 67)))	SimpleArgument(finding the peace of mind,List([68, 93)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.6601056213946704		SimpleArgument(Our compassionate caregivers,List([0, 28)))	Relation(have assisted thousands of families in,List([29, 42), [43, 64), [65, 67)))	SimpleArgument(finding the help,List([68, 84)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.6601056213946704		SimpleArgument(Our compassionate caregivers,List([0, 28)))	Relation(have assisted,List([29, 42)))	SimpleArgument(thousands of families,List([43, 64)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.9025419074716253		SimpleArgument(the peace of mind,List([75, 92)))	Relation(crave,List([98, 103)))	SimpleArgument(Our professional and compassionate caregivers,List([93, 97)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.6601056213946704		SimpleArgument(Our professional caregivers,List([0, 27)))	Relation(have assisted thousands of families in,List([28, 41), [42, 63), [64, 66)))	SimpleArgument(finding the peace of mind,List([67, 92)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.8841701665203853		SimpleArgument(the help,List([75, 83)))	Relation(crave,List([89, 94)))	SimpleArgument(Our professional and compassionate caregivers,List([84, 88)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.6601056213946704		SimpleArgument(Our professional caregivers,List([0, 27)))	Relation(have assisted thousands of families in,List([28, 41), [42, 63), [64, 66)))	SimpleArgument(finding the help,List([67, 83)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.6601056213946704		SimpleArgument(Our professional caregivers,List([0, 27)))	Relation(have assisted,List([28, 41)))	SimpleArgument(thousands of families,List([42, 63)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.6214516678571286		SimpleArgument(Our compassionate caregivers,List([0, 28)))	Relation(in providing,List([41, 53)))	SimpleArgument(the highest quality home care service in the industry,List([54, 107)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.7569585246614505		SimpleArgument(Our compassionate caregivers,List([0, 28)))	Relation(are trained in,List([29, 40), [41, 43)))	SimpleArgument(providing the highest quality home care service in the industry,List([44, 107)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.6214516678571286		SimpleArgument(Our professional caregivers,List([0, 27)))	Relation(in providing,List([40, 52)))	SimpleArgument(the highest quality home care service in the industry,List([53, 106)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.7569585246614505		SimpleArgument(Our professional caregivers,List([0, 27)))	Relation(are trained in,List([28, 39), [40, 42)))	SimpleArgument(providing the highest quality home care service in the industry,List([43, 106)))	Our professional and compassionate caregivers are trained in providing the highest quality home care service in the industry and have assisted thousands of families in finding the help and peace of mind they crave.
0.3135276058215937	Context(home may be,List([56, 67)))	SimpleArgument(Our,List([0, 2)))	Relation(help,List([3, 7)))	SimpleArgument(people who want to stay in their home,List([8, 45)))	We help people who want to stay in their home; wherever home may be.
0.7950722565701456		SimpleArgument(people,List([8, 14)))	Relation(to stay in,List([24, 31), [32, 34)))	SimpleArgument(their home,List([35, 45)))	We help people who want to stay in their home; wherever home may be.
0.7950722565701456		SimpleArgument(people,List([8, 14)))	Relation(want to,List([19, 23), [24, 26)))	SimpleArgument(stay in their home,List([27, 45)))	We help people who want to stay in their home; wherever home may be.
