0.3853208301752743		SimpleArgument(July 15 , 1962 ),List([40, 56)))	Relation(is son of,List([57, 66)))	SimpleArgument(a professional wrestler,List([67, 90)))	Jesús Daniel Castillo Ortiz Jr. (born July 15, 1962) is a professional wrestler, and son of a professional wrestler, best known in his native Puerto Rico as Huracan Castillo.
0.957934389168857		SimpleArgument(Jesús Daniel Castillo Ortiz Jr,List([0, 30)))	Relation(born,List([35, 39)))	TemporalArgument(July 15 , 1962,List([40, 54)))	Jesús Daniel Castillo Ortiz Jr. (born July 15, 1962) is a professional wrestler, and son of a professional wrestler, best known in his native Puerto Rico as Huracan Castillo.
0.3497525988439521		SimpleArgument(Jesús Castillo Jr. Jesús Daniel Castillo Ortiz Jr. (born July 15, 1962),List([0, 2)))	Relation(competed as a member of the Hispanic stable Los Boricuas in,List([3, 11), [46, 93), [94, 96)))	TemporalArgument(the late 1990s,List([97, 111)))	He competed in the World Wrestling Federation as a member of the Hispanic stable Los Boricuas in the late 1990s.
0.3929209860966329		SimpleArgument(Jesús Castillo Jr. Jesús Daniel Castillo Ortiz Jr. (born July 15, 1962),List([0, 2)))	Relation(competed as,List([3, 11), [46, 48)))	SimpleArgument(a member of the Hispanic stable Los Boricuas,List([49, 93)))	He competed in the World Wrestling Federation as a member of the Hispanic stable Los Boricuas in the late 1990s.
0.4907332801074571		SimpleArgument(Jesús Castillo Jr. Jesús Daniel Castillo Ortiz Jr. (born July 15, 1962),List([0, 2)))	Relation(competed as a member of the Hispanic stable Los Boricuas in,List([3, 11), [12, 84), [85, 93)))	SpatialArgument(the World Wrestling Federation,List([15, 45)))	He competed in the World Wrestling Federation as a member of the Hispanic stable Los Boricuas in the late 1990s.
0.38089450366724514		SimpleArgument(Wrestling,List([82, 91)))	Relation([is] Pro [from],List([78, 81)))	SimpleArgument(Japan,List([72, 77)))	Castillo has wrestled most of his career in Puerto Rico working for the World Wrestling Council, Americas Wrestling Federation, International Wrestling Association, New Wrestling Stars, and All Japan Pro Wrestling as the masked El Olimpico.
0.9139478779591064	Context(Castillo has wrestled,List([0, 21)))	SimpleArgument(Huracan Castillo,List([0, 8)))	Relation(has wrestled most of his career in Puerto Rico working for,List([9, 21), [22, 26), [27, 29)))	SimpleArgument(All Japan Pro Wrestling as the masked El Olimpico,List([68, 117)))	Castillo has wrestled most of his career in Puerto Rico working for the World Wrestling Council, Americas Wrestling Federation, International Wrestling Association, New Wrestling Stars, and All Japan Pro Wrestling as the masked El Olimpico.
0.9139478779591064	Context(Castillo has wrestled,List([0, 21)))	SimpleArgument(Huracan Castillo,List([0, 8)))	Relation(has wrestled most of his career in Puerto Rico working for,List([9, 21), [22, 26), [27, 29)))	SimpleArgument(New Wrestling Stars,List([68, 87)))	Castillo has wrestled most of his career in Puerto Rico working for the World Wrestling Council, Americas Wrestling Federation, International Wrestling Association, New Wrestling Stars, and All Japan Pro Wrestling as the masked El Olimpico.
0.9139478779591064	Context(Castillo has wrestled,List([0, 21)))	SimpleArgument(Huracan Castillo,List([0, 8)))	Relation(has wrestled most of his career in Puerto Rico working for,List([9, 21), [22, 26), [27, 29)))	SimpleArgument(International Wrestling Association,List([68, 103)))	Castillo has wrestled most of his career in Puerto Rico working for the World Wrestling Council, Americas Wrestling Federation, International Wrestling Association, New Wrestling Stars, and All Japan Pro Wrestling as the masked El Olimpico.
0.9139478779591064	Context(Castillo has wrestled,List([0, 21)))	SimpleArgument(Huracan Castillo,List([0, 8)))	Relation(has wrestled most of his career in Puerto Rico working for,List([9, 21), [22, 26), [27, 29)))	SimpleArgument(, Americas Wrestling Federation,List([68, 99)))	Castillo has wrestled most of his career in Puerto Rico working for the World Wrestling Council, Americas Wrestling Federation, International Wrestling Association, New Wrestling Stars, and All Japan Pro Wrestling as the masked El Olimpico.
0.9139478779591064	Context(Castillo has wrestled,List([0, 21)))	SimpleArgument(Huracan Castillo,List([0, 8)))	Relation(has wrestled most of his career in Puerto Rico working for,List([9, 21), [22, 26), [27, 29)))	SimpleArgument(the World Wrestling Council,List([68, 95)))	Castillo has wrestled most of his career in Puerto Rico working for the World Wrestling Council, Americas Wrestling Federation, International Wrestling Association, New Wrestling Stars, and All Japan Pro Wrestling as the masked El Olimpico.
