0.8847641879927497		SimpleArgument(Dentistry,List([19, 28)))	Relation([is] Family [of],List([12, 18)))	SimpleArgument(West Covina,List([0, 11)))	West Covina Family Dentistry
0.9064683704715875		SimpleArgument(California,List([175, 185)))	Relation(specializes in orthodontic care for,List([193, 204), [205, 224), [225, 228)))	SimpleArgument(patients of all ages,List([229, 249)))	S. M. Bhatt D.D.S. Inc. Family Dentistry & Orthodontics is a clean, state-of-the-art dental offices in Victorville, San Bernardino, Hacienda Heights, West Covina, California, that specializes in dental and orthodontic care for patients of all ages.
0.9064683704715875		SimpleArgument(California,List([175, 185)))	Relation(specializes in,List([193, 204), [205, 207)))	SimpleArgument(orthodontic care,List([208, 224)))	S. M. Bhatt D.D.S. Inc. Family Dentistry & Orthodontics is a clean, state-of-the-art dental offices in Victorville, San Bernardino, Hacienda Heights, West Covina, California, that specializes in dental and orthodontic care for patients of all ages.
0.9064683704715875		SimpleArgument(California,List([175, 185)))	Relation(specializes in dental care for,List([193, 204), [205, 219), [220, 223)))	SimpleArgument(patients of all ages,List([224, 244)))	S. M. Bhatt D.D.S. Inc. Family Dentistry & Orthodontics is a clean, state-of-the-art dental offices in Victorville, San Bernardino, Hacienda Heights, West Covina, California, that specializes in dental and orthodontic care for patients of all ages.
0.9064683704715875		SimpleArgument(California,List([175, 185)))	Relation(specializes in,List([193, 204), [205, 207)))	SimpleArgument(dental care,List([208, 219)))	S. M. Bhatt D.D.S. Inc. Family Dentistry & Orthodontics is a clean, state-of-the-art dental offices in Victorville, San Bernardino, Hacienda Heights, West Covina, California, that specializes in dental and orthodontic care for patients of all ages.
0.2560951955542683	Context(we 'll use,List([38, 48)))	SimpleArgument(we,List([38, 40)))	Relation('ll use the most current techniques to enhance,List([41, 48), [49, 57)))	SimpleArgument(the natural beauty of the health of your teeth,List([88, 134)))	Equipped with the latest technology, we'll use the most current techniques to maintain, restore, or enhance the natural beauty of your smile and the health of your teeth.
0.3557055808979406		SimpleArgument(we,List([38, 40)))	Relation('ll use the most current techniques to,List([41, 48), [49, 76), [77, 79)))	SimpleArgument(enhance the natural beauty of the health of your teeth,List([80, 134)))	Equipped with the latest technology, we'll use the most current techniques to maintain, restore, or enhance the natural beauty of your smile and the health of your teeth.
0.2560951955542683	Context(we 'll use,List([38, 48)))	SimpleArgument(we,List([38, 40)))	Relation('ll use the most current techniques to enhance,List([41, 48), [49, 57)))	SimpleArgument(the natural beauty of your smile,List([88, 120)))	Equipped with the latest technology, we'll use the most current techniques to maintain, restore, or enhance the natural beauty of your smile and the health of your teeth.
0.2560951955542683		SimpleArgument(we,List([38, 40)))	Relation('ll use the most current techniques to,List([41, 48), [49, 76), [77, 79)))	SimpleArgument(enhance the natural beauty of your smile,List([80, 120)))	Equipped with the latest technology, we'll use the most current techniques to maintain, restore, or enhance the natural beauty of your smile and the health of your teeth.
0.18272787056513734		SimpleArgument(we,List([38, 40)))	Relation('ll use the most current techniques to,List([41, 48), [49, 76), [77, 79)))	SimpleArgument(restore,List([80, 87)))	Equipped with the latest technology, we'll use the most current techniques to maintain, restore, or enhance the natural beauty of your smile and the health of your teeth.
0.18272787056513734		SimpleArgument(we,List([38, 40)))	Relation('ll use the most current techniques to,List([41, 48), [49, 76), [77, 79)))	SimpleArgument(maintain,List([80, 88)))	Equipped with the latest technology, we'll use the most current techniques to maintain, restore, or enhance the natural beauty of your smile and the health of your teeth.
0.3880890333449538		SimpleArgument(we,List([38, 40)))	Relation('ll use,List([41, 48)))	SimpleArgument(the most current techniques,List([49, 76)))	Equipped with the latest technology, we'll use the most current techniques to maintain, restore, or enhance the natural beauty of your smile and the health of your teeth.
0.876543225140763		SimpleArgument(Dr.,List([0, 3)))	Relation(attended,List([4, 12)))	SimpleArgument(UC Irvine,List([13, 22)))	Dr. S.M. Bhatt grew up in southern California and attended UC Irvine for his undergraduate studies.
0.8959823581099899		SimpleArgument(Dr. S.M. Bhatt,List([0, 14)))	Relation(grew up in,List([15, 22), [23, 25)))	SpatialArgument(southern California,List([26, 45)))	Dr. S.M. Bhatt grew up in southern California and attended UC Irvine for his undergraduate studies.
0.15939332484157967		SimpleArgument(Dr. S.M. Bhatt,List([0, 2)))	Relation(has practiced since,List([3, 16), [40, 45)))	TemporalArgument(then,List([46, 50)))	He graduated from Creighton University Dental School in Omaha, Nebraska, in 1985, and has practiced in Southern California since then.
0.4978219019954182		SimpleArgument(Dr. S.M. Bhatt,List([0, 2)))	Relation(has practiced in,List([3, 16), [17, 19)))	SpatialArgument(southern California,List([20, 39)))	He graduated from Creighton University Dental School in Omaha, Nebraska, in 1985, and has practiced in Southern California since then.
0.6138676038426771		SimpleArgument(Dr. S.M. Bhatt,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(Creighton University Dental School in Omaha , Nebraska , in 1985,List([18, 82)))	He graduated from Creighton University Dental School in Omaha, Nebraska, in 1985, and has practiced in Southern California since then.
0.8806710780416142		SimpleArgument(Training in implant dentistry,List([0, 29)))	Relation(led to,List([30, 33), [34, 36)))	SimpleArgument(his credentialing with AAID,List([37, 64)))	Training in implant dentistry led to his credentialing with American Academy of Implant Dentistry, or AAID, a nationally recognized association.
0.8806710780416142		SimpleArgument(Training in implant dentistry,List([0, 29)))	Relation(led to,List([30, 33), [34, 36)))	SimpleArgument(his credentialing with American Academy of Implant Dentistry,List([37, 97)))	Training in implant dentistry led to his credentialing with American Academy of Implant Dentistry, or AAID, a nationally recognized association.
0.7791361376769851		SimpleArgument(Dr. S.M. Bhatt,List([0, 9)))	Relation(spends his off time with,List([10, 16), [17, 29), [30, 34)))	SimpleArgument(his wife,List([35, 43)))	Dr. Bhatt spends his off time with his wife, son and daughter.
0.8239474944064887		SimpleArgument(Dr. S.M. Bhatt,List([0, 9)))	Relation(spends,List([10, 16)))	SimpleArgument(his off time,List([17, 29)))	Dr. Bhatt spends his off time with his wife, son and daughter.
