0.9397554176335701		SimpleArgument(Andrew Grant Chapman,List([0, 20)))	Relation(was,List([61, 64)))	SimpleArgument(an American politician,List([65, 87)))	Andrew Grant Chapman (January 17, 1839 – September 25, 1892) was an American politician.
0.9324144673478683		SimpleArgument(Chapman,List([0, 7)))	Relation(was born in,List([8, 16), [17, 19)))	SpatialArgument(La Plata,List([20, 28)))	Chapman was born in La Plata, Maryland.
0.6160004474461185		SimpleArgument(Chapman,List([29, 31)))	Relation(attended the Charlotte Hall Academy of St. Mary 's County After,List([0, 5), [32, 81), [82, 88)))	TemporalArgument(being tutored at home,List([6, 27)))	After being tutored at home, he attended the Charlotte Hall Academy of St. Mary's County, Maryland.
0.4978219019954182		SimpleArgument(Chapman,List([29, 31)))	Relation(attended,List([32, 40)))	SimpleArgument(the Charlotte Hall Academy of St. Mary's County,List([41, 88)))	After being tutored at home, he attended the Charlotte Hall Academy of St. Mary's County, Maryland.
0.50931417287027		SimpleArgument(Chapman,List([0, 2)))	Relation(graduated from,List([3, 12), [21, 25)))	SimpleArgument(the law department of the University of Virginia at Charlottesville,List([26, 93)))	He graduated from St. John's College of Annapolis, Maryland, in 1858, and graduated in 1860 from the law department of the University of Virginia at Charlottesville.
0.22015391053105568		SimpleArgument(Chapman,List([0, 2)))	Relation(graduated from the law department of the University of Virginia at Charlottesville in,List([3, 12), [13, 77), [78, 93)))	TemporalArgument(1860,List([16, 20)))	He graduated from St. John's College of Annapolis, Maryland, in 1858, and graduated in 1860 from the law department of the University of Virginia at Charlottesville.
0.15939332484157967		SimpleArgument(Chapman,List([0, 2)))	Relation(graduated from St. John 's College of Annapolis in,List([3, 12), [13, 50), [64, 66)))	TemporalArgument(1858,List([67, 71)))	He graduated from St. John's College of Annapolis, Maryland, in 1858, and graduated in 1860 from the law department of the University of Virginia at Charlottesville.
0.4978219019954182		SimpleArgument(Chapman,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(St. John 's College of Annapolis,List([18, 50)))	He graduated from St. John's College of Annapolis, Maryland, in 1858, and graduated in 1860 from the law department of the University of Virginia at Charlottesville.
0.22506131975927415		SimpleArgument(Chapman,List([0, 2)))	Relation(commenced practice,List([3, 12), [13, 21)))	SpatialArgument(there,List([22, 27)))	He moved to Baltimore, Maryland in 1860, was admitted to the bar the same year, and commenced practice there.
0.45170382506656653		SimpleArgument(Chapman,List([0, 2)))	Relation(commenced,List([3, 12)))	SimpleArgument(practice,List([13, 21)))	He moved to Baltimore, Maryland in 1860, was admitted to the bar the same year, and commenced practice there.
0.45170382506656653		SimpleArgument(Chapman,List([0, 2)))	Relation(was admitted to,List([3, 15), [16, 18)))	SimpleArgument(the bar,List([19, 26)))	He moved to Baltimore, Maryland in 1860, was admitted to the bar the same year, and commenced practice there.
0.15939332484157967		SimpleArgument(Chapman,List([0, 2)))	Relation(moved to Baltimore in,List([3, 8), [9, 21), [33, 35)))	TemporalArgument(1860,List([36, 40)))	He moved to Baltimore, Maryland in 1860, was admitted to the bar the same year, and commenced practice there.
0.4978219019954182		SimpleArgument(Chapman,List([0, 2)))	Relation(moved to,List([3, 8), [9, 11)))	SimpleArgument(Baltimore,List([12, 21)))	He moved to Baltimore, Maryland in 1860, was admitted to the bar the same year, and commenced practice there.
