0.9324144673478683		SimpleArgument(California,List([0, 10)))	Relation(certified in,List([11, 20), [21, 23)))	SpatialArgument(Structural Pest Control,List([24, 47)))	California licensed and certified in Structural Pest Control.
0.8034203411381025		SimpleArgument(Bay area services,List([0, 17)))	Relation(include,List([18, 25)))	SimpleArgument(residential more,List([28, 44)))	Bay area services include: residential & commercial pest control, lawn & garden spraying, and plant & tree disease treatment and more.
0.9205930666576075		SimpleArgument(Bay area services,List([0, 17)))	Relation(include,List([18, 25)))	SimpleArgument(residential treatment,List([28, 49)))	Bay area services include: residential & commercial pest control, lawn & garden spraying, and plant & tree disease treatment and more.
0.9205930666576075		SimpleArgument(Bay area services,List([0, 17)))	Relation(include,List([18, 25)))	SimpleArgument(residential disease,List([28, 47)))	Bay area services include: residential & commercial pest control, lawn & garden spraying, and plant & tree disease treatment and more.
0.9205930666576075		SimpleArgument(Bay area services,List([0, 17)))	Relation(include,List([18, 25)))	SimpleArgument(residential tree,List([28, 44)))	Bay area services include: residential & commercial pest control, lawn & garden spraying, and plant & tree disease treatment and more.
0.9205930666576075		SimpleArgument(Bay area services,List([0, 17)))	Relation(include,List([18, 25)))	SimpleArgument(residential plant,List([28, 45)))	Bay area services include: residential & commercial pest control, lawn & garden spraying, and plant & tree disease treatment and more.
0.9205930666576075		SimpleArgument(Bay area services,List([0, 17)))	Relation(include,List([18, 25)))	SimpleArgument(residential spraying,List([28, 48)))	Bay area services include: residential & commercial pest control, lawn & garden spraying, and plant & tree disease treatment and more.
0.9205930666576075		SimpleArgument(Bay area services,List([0, 17)))	Relation(include,List([18, 25)))	SimpleArgument(residential lawn & garden,List([28, 53)))	Bay area services include: residential & commercial pest control, lawn & garden spraying, and plant & tree disease treatment and more.
0.9205930666576075		SimpleArgument(Bay area services,List([0, 17)))	Relation(include,List([18, 25)))	SimpleArgument(residential & commercial pest control,List([28, 65)))	Bay area services include: residential & commercial pest control, lawn & garden spraying, and plant & tree disease treatment and more.
0.886695286966665		SimpleArgument(Bill Yeoman,List([13, 24)))	Relation([is] founder [of],List([4, 11)))	SimpleArgument(Ours,List([0, 3)))	Our founder, Bill Yeoman, is assisted by daughter Katie Watkins, and by our team of other experts.
0.6420236436771103		SimpleArgument(Our founder,List([0, 11)))	Relation(is assisted by,List([26, 37), [38, 40)))	SimpleArgument(daughter Katie Watkins,List([41, 63)))	Our founder, Bill Yeoman, is assisted by daughter Katie Watkins, and by our team of other experts.
0.615580956299316	Context(he has built up,List([118, 133)))	SimpleArgument(Bill,List([0, 4)))	Relation(started Liberty Pest Control in,List([5, 12), [13, 33), [34, 36)))	TemporalArgument(1979,List([37, 41)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.8453428833817832	Context(he has built up,List([118, 133)))	SimpleArgument(Bill,List([0, 4)))	Relation(started,List([5, 12)))	SimpleArgument(Structural Pest Control,List([13, 33)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.4820971422465561		SimpleArgument(Bill,List([118, 120)))	Relation(has built up by,List([69, 130), [131, 133)))	TemporalArgument(paying careful attention to quality of care,List([72, 115)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.38089450366724514		SimpleArgument(Control,List([26, 33)))	Relation([is] started Pest [of],List([21, 25)))	SimpleArgument(Liberty,List([13, 20)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.615580956299316	Context(he has built up,List([119, 134)))	SimpleArgument(Bill,List([0, 4)))	Relation(started Liberty Pest Control in,List([5, 12), [13, 33), [34, 36)))	TemporalArgument(1979,List([37, 41)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.8453428833817832	Context(he has built up,List([119, 134)))	SimpleArgument(Bill,List([0, 4)))	Relation(started,List([5, 12)))	SimpleArgument(Structural Pest Control,List([13, 33)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.4820971422465561		SimpleArgument(Bill,List([119, 121)))	Relation(has built up by,List([69, 131), [132, 134)))	TemporalArgument(paying careful attention to customer service,List([72, 116)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.3880890333449538		SimpleArgument(Bill,List([119, 121)))	Relation(has built up over,List([122, 134), [135, 139)))	TemporalArgument(time,List([140, 144)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.8550806581371961		SimpleArgument(Bill,List([0, 4)))	Relation(acquired,List([5, 13)))	SimpleArgument(two other pest control companies,List([14, 46)))	Bill started Liberty Pest Control in 1979 as a one-man operation; by paying careful attention to customer service and quality of care, he has built up over time and acquired two other pest control companies.
0.38089450366724514		SimpleArgument(Management,List([59, 69)))	Relation([is] created Pest [of],List([54, 58)))	SimpleArgument(Performance,List([42, 53)))	By combining all 3 companies this created Performance Pest Management.
0.42528677689745253		SimpleArgument(this,List([29, 33)))	Relation(created,List([34, 41)))	SimpleArgument(Performance Pest Management,List([42, 69)))	By combining all 3 companies this created Performance Pest Management.
0.38089450366724514		SimpleArgument(Control Board,List([103, 116)))	Relation([is] Structural Pest [from],List([87, 102)))	SimpleArgument(California,List([76, 86)))	We are California-licensed, and Certified in Structural Pest Control by the California Structural Pest Control Board, and in Agricultural Pest Control by the California Department of Pesticide Regulation.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(California-licensed,List([7, 26)))	We are California-licensed, and Certified in Structural Pest Control by the California Structural Pest Control Board, and in Agricultural Pest Control by the California Department of Pesticide Regulation.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(cover,List([3, 8)))	SimpleArgument(the entire Bay Area , including Santa Clara counties,List([9, 61)))	We cover the entire Bay Area, including Alameda, Contra Costa, San Francisco, Santa Clara, San Joaquin, San Mateo, Solono and Napa counties. .
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(cover,List([3, 8)))	SimpleArgument(the entire Bay Area , including San Francisco counties,List([9, 63)))	We cover the entire Bay Area, including Alameda, Contra Costa, San Francisco, Santa Clara, San Joaquin, San Mateo, Solono and Napa counties. .
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(cover,List([3, 8)))	SimpleArgument(the entire Bay Area,List([9, 28)))	We cover the entire Bay Area, including Alameda, Contra Costa, San Francisco, Santa Clara, San Joaquin, San Mateo, Solono and Napa counties. .
