0.9542225327267282		SimpleArgument(Szymon Szewczyk (born December 21,List([0, 33)))	Relation(is,List([41, 43)))	SimpleArgument(a Polish professional basketball player,List([44, 83)))	Szymon Szewczyk (born December 21, 1982) is a Polish professional basketball player.
0.9445721975409912		SimpleArgument(Szymon Szewczyk,List([0, 15)))	Relation(born,List([17, 21)))	TemporalArgument(December 21,List([22, 33)))	Szymon Szewczyk (born December 21, 1982) is a Polish professional basketball player.
0.3048426724432105		SimpleArgument(Szewczyk,List([0, 2)))	Relation(plays,List([13, 18)))	TemporalArgument(currently,List([3, 12)))	He currently plays for Stelmet Zielona Góra of the Polish Basketball League.
0.45592395356914683		SimpleArgument(Szewczyk,List([0, 2)))	Relation(plays for,List([13, 18), [19, 22)))	SimpleArgument(Stelmet Zielona Góra of the Polish Basketball League,List([23, 75)))	He currently plays for Stelmet Zielona Góra of the Polish Basketball League.
0.6138676038426771		SimpleArgument(Szewczyk,List([0, 2)))	Relation(has been,List([3, 11)))	"SimpleArgument(a member of the Polish "" B "" National Team,List([12, 54)))"	"He has been a member of the Polish Junior National Team, the Polish Under-20 National Team and the Polish ""B"" National Team."
0.6138676038426771		SimpleArgument(Szewczyk,List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(a member of the Polish Under - 20 National Team,List([12, 59)))	"He has been a member of the Polish Junior National Team, the Polish Under-20 National Team and the Polish ""B"" National Team."
0.38089450366724514		SimpleArgument(Team,List([51, 55)))	Relation([is] Junior National [from],List([35, 50)))	SimpleArgument(Poland,List([28, 34)))	"He has been a member of the Polish Junior National Team, the Polish Under-20 National Team and the Polish ""B"" National Team."
0.4978219019954182		SimpleArgument(Szewczyk,List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(a member of the Polish Junior National Team,List([12, 55)))	"He has been a member of the Polish Junior National Team, the Polish Under-20 National Team and the Polish ""B"" National Team."
0.38089450366724514		SimpleArgument(Team,List([48, 52)))	Relation([is] National [from],List([39, 47)))	SimpleArgument(Poland,List([32, 38)))	He currently is a member of the Polish National Team.
0.3048426724432105		SimpleArgument(Szewczyk,List([0, 2)))	Relation(is a member of the Polish National Team,List([13, 15), [16, 52)))	TemporalArgument(currently,List([3, 12)))	He currently is a member of the Polish National Team.
0.5264558301022617		SimpleArgument(Szewczyk,List([0, 2)))	Relation(is,List([13, 15)))	SimpleArgument(a member of the Polish National Team,List([16, 52)))	He currently is a member of the Polish National Team.
0.5733539311623552		SimpleArgument(Szewczyk,List([61, 63)))	Relation(before signing with,List([109, 123), [124, 128)))	SimpleArgument(Braunschweig of Germany's top division (Bundesliga I) for the 2002-03 season,List([129, 205)))	After he played two successful seasons in his native Poland, he was evaluated by several top teams in Europe before signing with Braunschweig of Germany's top division (Bundesliga I) for the 2002-03 season.
