0.9397554176335701		SimpleArgument(Stephen Warfield Gambrill,List([0, 25)))	Relation(was,List([64, 67)))	SimpleArgument(an American politician,List([68, 90)))	Stephen Warfield Gambrill (October 2, 1873 – December 19, 1938) was an American politician.
0.4978219019954182		SimpleArgument(Stephen Gambrill,List([52, 54)))	Relation(attended,List([55, 63)))	SimpleArgument(the Maryland Agricultural College,List([64, 97)))	Born near Savage, Maryland, to Stephen Gambrill and Kate (Gorman) Gambrill, he attended the common schools and Maryland Agricultural College (now the University of Maryland, College Park.
0.45170382506656653		SimpleArgument(Stephen Gambrill,List([52, 54)))	Relation(attended,List([55, 63)))	SimpleArgument(the common schools,List([64, 82)))	Born near Savage, Maryland, to Stephen Gambrill and Kate (Gorman) Gambrill, he attended the common schools and Maryland Agricultural College (now the University of Maryland, College Park.
0.5898102672166055		SimpleArgument(1896,List([135, 139)))	Relation(practiced in,List([140, 149), [150, 152)))	SpatialArgument(Baltimore,List([153, 162)))	He graduated from the law department of Columbian College (now The George Washington University Law School), Washington, D.C., in 1896, was admitted to the bar in 1897, and practiced in Baltimore, Maryland.
0.6138676038426771		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(the law department of Columbian College ( now The George Washington University Law School ) , Washington , D.C. , in 1896,List([18, 139)))	He graduated from the law department of Columbian College (now The George Washington University Law School), Washington, D.C., in 1896, was admitted to the bar in 1897, and practiced in Baltimore, Maryland.
0.6138676038426771		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(the law department of Columbian College ( now The George Washington University Law School ) , Washington,List([18, 122)))	He graduated from the law department of Columbian College (now The George Washington University Law School), Washington, D.C., in 1896, was admitted to the bar in 1897, and practiced in Baltimore, Maryland.
0.8056360478309452		SimpleArgument(Haddie D. Gorman,List([20, 36)))	Relation(died in,List([42, 46), [47, 49)))	TemporalArgument(1923,List([50, 54)))	In 1900, he married Haddie D. Gorman (who died in 1923).
0.29886655727758943		SimpleArgument(Stephen Gambrill,List([9, 11)))	Relation(married Haddie D. Gorman In,List([0, 2), [12, 29), [30, 36)))	TemporalArgument(1900,List([3, 7)))	In 1900, he married Haddie D. Gorman (who died in 1923).
0.4978219019954182		SimpleArgument(Stephen Gambrill,List([9, 11)))	Relation(married,List([12, 19)))	SimpleArgument(Haddie D. Gorman,List([20, 36)))	In 1900, he married Haddie D. Gorman (who died in 1923).
0.8016573080327372		SimpleArgument(Gambrill,List([0, 8)))	Relation(served in the Maryland State Senate in,List([9, 15), [16, 44), [45, 47)))	TemporalArgument(1924,List([48, 52)))	Gambrill served as a member of the Maryland House of Delegates from 1920 to 1922, and served in the Maryland State Senate in 1924.
0.9324144673478683		SimpleArgument(Gambrill,List([0, 8)))	Relation(served in,List([9, 15), [16, 18)))	SimpleArgument(the Maryland State Senate,List([19, 44)))	Gambrill served as a member of the Maryland House of Delegates from 1920 to 1922, and served in the Maryland State Senate in 1924.
0.8016573080327372		SimpleArgument(Gambrill,List([0, 8)))	Relation(served as a member of the Maryland House of Delegates from,List([9, 15), [16, 62), [63, 67)))	TemporalArgument(1920 to 1922,List([68, 80)))	Gambrill served as a member of the Maryland House of Delegates from 1920 to 1922, and served in the Maryland State Senate in 1924.
0.9324144673478683		SimpleArgument(Gambrill,List([0, 8)))	Relation(served as,List([9, 15), [16, 18)))	SimpleArgument(a member of the Maryland House of Delegates,List([19, 62)))	Gambrill served as a member of the Maryland House of Delegates from 1920 to 1922, and served in the Maryland State Senate in 1924.
0.45243121649964957		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(was reelected to the six succeeding Congresses,List([3, 16), [17, 49)))	SimpleArgument(serving from November 4,List([52, 75)))	He was elected from the fifth district of Maryland as a Democrat to the Sixty-eighth Congress to fill the vacancy caused by the death of Sidney E. Mudd II and was reelected to the Sixty-ninth and to the six succeeding Congresses, serving from November 4, 1924 until his death in Washington, D.C.
0.4978219019954182		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(was reelected to,List([3, 16), [17, 19)))	SimpleArgument(the six succeeding Congresses,List([20, 49)))	He was elected from the fifth district of Maryland as a Democrat to the Sixty-eighth Congress to fill the vacancy caused by the death of Sidney E. Mudd II and was reelected to the Sixty-ninth and to the six succeeding Congresses, serving from November 4, 1924 until his death in Washington, D.C.
0.45243121649964957		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(was reelected to the Sixty - ninth,List([3, 16), [17, 37)))	SimpleArgument(serving from November 4,List([40, 63)))	He was elected from the fifth district of Maryland as a Democrat to the Sixty-eighth Congress to fill the vacancy caused by the death of Sidney E. Mudd II and was reelected to the Sixty-ninth and to the six succeeding Congresses, serving from November 4, 1924 until his death in Washington, D.C.
0.22506131975927415		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(was reelected to,List([3, 16), [17, 19)))	SimpleArgument(the Sixty - ninth,List([20, 37)))	He was elected from the fifth district of Maryland as a Democrat to the Sixty-eighth Congress to fill the vacancy caused by the death of Sidney E. Mudd II and was reelected to the Sixty-ninth and to the six succeeding Congresses, serving from November 4, 1924 until his death in Washington, D.C.
0.9180804252893389		SimpleArgument(the vacancy,List([104, 115)))	Relation(caused by,List([116, 122), [123, 125)))	SimpleArgument(the death of Sidney E. Mudd II,List([126, 156)))	He was elected from the fifth district of Maryland as a Democrat to the Sixty-eighth Congress to fill the vacancy caused by the death of Sidney E. Mudd II and was reelected to the Sixty-ninth and to the six succeeding Congresses, serving from November 4, 1924 until his death in Washington, D.C.
0.4978219019954182		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(was elected from,List([3, 14), [15, 19)))	SimpleArgument(the fifth district of Maryland,List([20, 50)))	He was elected from the fifth district of Maryland as a Democrat to the Sixty-eighth Congress to fill the vacancy caused by the death of Sidney E. Mudd II and was reelected to the Sixty-ninth and to the six succeeding Congresses, serving from November 4, 1924 until his death in Washington, D.C.
0.4978219019954182		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(is interred in,List([3, 5), [6, 14), [15, 17)))	SpatialArgument(Cedar Hill Cemetery , Suitland,List([18, 48)))	He died on December 19, 1938 and is interred in Cedar Hill Cemetery, Suitland, Maryland.
0.27813615858960106		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(interred,List([6, 14)))	He died on December 19, 1938 and is interred in Cedar Hill Cemetery, Suitland, Maryland.
0.4978219019954182		SimpleArgument(Stephen Gambrill,List([0, 2)))	Relation(died on,List([3, 7), [8, 10)))	TemporalArgument(December 19 , 1938,List([11, 29)))	He died on December 19, 1938 and is interred in Cedar Hill Cemetery, Suitland, Maryland.
