0.9347903176974162		SimpleArgument(Chantal Juillet, OC CQ (born December 19,List([0, 40)))	Relation(is,List([68, 70)))	SimpleArgument(a Canadian violinist,List([71, 91)))	Chantal Juillet, OC CQ (born December 19, 1960 in Montreal, Quebec) is a Canadian violinist.
0.6138676038426771		SimpleArgument(Juillet,List([61, 64)))	Relation(received First Prize at,List([65, 73), [74, 85), [86, 88)))	SpatialArgument(the Young Concert Artists International Auditions in New York City,List([89, 155)))	Born in Montreal, Quebec, Canada, Juillet won all the major Canadian music competitions in her category by the age of 16 and was launched into international renown when she received First Prize at the Young Concert Artists International Auditions in New York City.
0.4978219019954182		SimpleArgument(Juillet,List([61, 64)))	Relation(received,List([65, 73)))	SimpleArgument(First Prize,List([74, 85)))	Born in Montreal, Quebec, Canada, Juillet won all the major Canadian music competitions in her category by the age of 16 and was launched into international renown when she received First Prize at the Young Concert Artists International Auditions in New York City.
0.8919658476537646		SimpleArgument(Juillet,List([37, 44)))	Relation(won,List([45, 48)))	SimpleArgument(all the major Canadian music competitions in her category,List([49, 106)))	Born in Montreal, Quebec, Canada, Juillet won all the major Canadian music competitions in her category by the age of 16 and was launched into international renown when she received First Prize at the Young Concert Artists International Auditions in New York City.
0.9929999709129333		SimpleArgument(Juillet,List([0, 0)))	Relation(was awarded In,List([0, 0)))	SimpleArgument(1979,List(null))	In 1979 she was awarded the Prix d'Europe.
0.29886655727758943		SimpleArgument(Juillet,List([8, 11)))	Relation(was awarded In,List([0, 15), [16, 23)))	TemporalArgument(1979,List([3, 7)))	In 1979 she was awarded the Prix d'Europe.
0.4978219019954182		SimpleArgument(Juillet,List([8, 11)))	Relation(was awarded,List([12, 23)))	SimpleArgument(the Prix d'Europe,List([24, 41)))	In 1979 she was awarded the Prix d'Europe.
0.4978219019954182		SimpleArgument(Juillet,List([89, 92)))	Relation(married in,List([93, 100), [101, 103)))	TemporalArgument(February 2010,List([104, 117)))	For many years, Juillet has been a regular collaborator with and musical assistant to conductor Charles Dutoit, whom she married in February 2010.
0.9439070193972718		SimpleArgument(Juillet,List([17, 24)))	Relation(has been a musical assistant to conductor Charles Dutoit For,List([0, 28), [29, 74), [75, 81)))	TemporalArgument(many years,List([4, 14)))	For many years, Juillet has been a regular collaborator with and musical assistant to conductor Charles Dutoit, whom she married in February 2010.
0.9324144673478683		SimpleArgument(Juillet,List([17, 24)))	Relation(has been,List([25, 33)))	SimpleArgument(a musical assistant to conductor Charles Dutoit,List([34, 81)))	For many years, Juillet has been a regular collaborator with and musical assistant to conductor Charles Dutoit, whom she married in February 2010.
0.9439070193972718		SimpleArgument(Juillet,List([17, 24)))	Relation(has been a regular collaborator with For,List([0, 28), [29, 56), [57, 61)))	TemporalArgument(many years,List([4, 14)))	For many years, Juillet has been a regular collaborator with and musical assistant to conductor Charles Dutoit, whom she married in February 2010.
0.9197759696552441		SimpleArgument(Juillet,List([17, 24)))	Relation(has been,List([25, 33)))	SimpleArgument(a regular collaborator with,List([34, 61)))	For many years, Juillet has been a regular collaborator with and musical assistant to conductor Charles Dutoit, whom she married in February 2010.
0.8615585111461579		SimpleArgument(Juillet,List([0, 7)))	Relation(has served as,List([8, 18), [19, 21)))	SimpleArgument(its artistic director since its founding,List([22, 62)))	Juillet founded the Saratoga Chamber Music Festival in 1991 and has served as its artistic director since its founding.
0.8016573080327372		SimpleArgument(Juillet,List([0, 7)))	Relation(founded the Saratoga Chamber Music Festival in,List([8, 15), [16, 51), [52, 54)))	TemporalArgument(1991,List([55, 59)))	Juillet founded the Saratoga Chamber Music Festival in 1991 and has served as its artistic director since its founding.
0.9324144673478683		SimpleArgument(Juillet,List([0, 7)))	Relation(founded,List([8, 15)))	SimpleArgument(the Saratoga Chamber Music Festival,List([16, 51)))	Juillet founded the Saratoga Chamber Music Festival in 1991 and has served as its artistic director since its founding.
0.8821520356066511		SimpleArgument(Juillet,List([0, 7)))	Relation(is involved with,List([8, 10), [16, 24), [25, 29)))	SimpleArgument(music,List([30, 35)))	Juillet is also involved with music teaching through her work as head of chamber music of the Pacific Music Festival, and director of the chamber music department of the Canton International Summer Music Academy (CISMA).
0.29886655727758943		SimpleArgument(Juillet,List([22, 25)))	Relation(was made In,List([13, 29), [30, 34)))	TemporalArgument(2005,List([16, 20)))	In addition, In 2005, she was made a Knight of the National Order of Quebec.
0.4978219019954182		SimpleArgument(Juillet,List([22, 25)))	Relation(was made,List([26, 34)))	SimpleArgument(a Knight of the National Order of Quebec,List([35, 75)))	In addition, In 2005, she was made a Knight of the National Order of Quebec.
0.29886655727758943		SimpleArgument(Juillet,List([9, 12)))	Relation(became an Officer of the Order of Canada In,List([0, 2), [13, 46), [47, 53)))	TemporalArgument(2006,List([3, 7)))	In 2006, she became an Officer of the Order of Canada.
0.4978219019954182		SimpleArgument(Juillet,List([9, 12)))	Relation(became,List([13, 19)))	SimpleArgument(an Officer of the Order of Canada,List([20, 53)))	In 2006, she became an Officer of the Order of Canada.
