0.9340463819568752		SimpleArgument(Greg Weld,List([0, 9)))	Relation(was,List([43, 46)))	SimpleArgument(an American racecar driver,List([47, 73)))	Greg Weld (March 4, 1944 – August 4, 2008) was an American racecar driver.
0.9040259452709256		SimpleArgument(Weld,List([0, 4)))	Relation(won,List([5, 8)))	SimpleArgument(the 1963 Knoxville Nationals,List([9, 37)))	Weld won the 1963 Knoxville Nationals, the premiere event in sprint car racing.
0.876543225140763		SimpleArgument(Weld,List([0, 4)))	Relation(raced in,List([5, 10), [11, 13)))	SpatialArgument(the USAC Championship Car series in the 1965-1972 seasons,List([14, 71)))	Weld raced in the USAC Championship Car series in the 1965–1972 seasons, with 36 career starts, including the 1970 Indianapolis 500.
0.45170382506656653		SimpleArgument(Weld,List([0, 2)))	Relation(finished in,List([3, 11), [12, 14)))	TemporalArgument(the top ten 11 times,List([15, 35)))	He finished in the top ten 11 times, with his best finish in 4th position in 1970 at Sacramento.
0.4978219019954182		SimpleArgument(Weld,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(the 1967 USAC Sprint Car Series champion,List([12, 52)))	He was also the 1967 USAC Sprint Car Series champion.
0.15939332484157967		SimpleArgument(Weld,List([112, 114)))	Relation(crashed in,List([115, 122), [154, 156)))	TemporalArgument(1966,List([157, 161)))	He was the last driver to pilot a car powered by the famous Novi engine at the Indianapolis Motor Speedway when he crashed during a qualification attempt in 1966.
0.45170382506656653		SimpleArgument(Weld,List([112, 114)))	Relation(crashed during,List([115, 122), [123, 129)))	TemporalArgument(a qualification attempt,List([130, 153)))	He was the last driver to pilot a car powered by the famous Novi engine at the Indianapolis Motor Speedway when he crashed during a qualification attempt in 1966.
0.8081941811149291		SimpleArgument(a car,List([32, 37)))	Relation(powered,List([38, 45)))	TemporalArgument(when he crashed during a qualification attempt in 1966,List([107, 161)))	He was the last driver to pilot a car powered by the famous Novi engine at the Indianapolis Motor Speedway when he crashed during a qualification attempt in 1966.
0.9180804252893389		SimpleArgument(a car,List([32, 37)))	Relation(powered by,List([38, 45), [46, 48)))	SimpleArgument(the famous Novi engine at the Indianapolis Motor Speedway,List([49, 106)))	He was the last driver to pilot a car powered by the famous Novi engine at the Indianapolis Motor Speedway when he crashed during a qualification attempt in 1966.
0.9519143416197944		SimpleArgument(the last driver,List([7, 22)))	Relation(to pilot,List([23, 31)))	SimpleArgument(a car powered by the famous Novi engine at the Indianapolis Motor Speedway,List([32, 106)))	He was the last driver to pilot a car powered by the famous Novi engine at the Indianapolis Motor Speedway when he crashed during a qualification attempt in 1966.
0.5222094630377523		SimpleArgument(Weld,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the last driver to pilot a car,List([7, 37)))	He was the last driver to pilot a car powered by the famous Novi engine at the Indianapolis Motor Speedway when he crashed during a qualification attempt in 1966.
0.9379113123569551		SimpleArgument(Weld,List([0, 4)))	Relation(was,List([5, 8)))	SimpleArgument(an active sponsor of both series , including the United States Auto Club series,List([9, 88)))	Weld also founded Weld Wheel Industries, a firm manufacturing forged alloy wheels for various vehicles, including race cars, and was an active sponsor of both race cars and series, including the United States Auto Club series, and ran the firm until its acquisition by American Racing Equipment in 2006.
0.9379113123569551		SimpleArgument(Weld,List([0, 4)))	Relation(was,List([5, 8)))	SimpleArgument(an active sponsor of both race cars , including the United States Auto Club series,List([9, 91)))	Weld also founded Weld Wheel Industries, a firm manufacturing forged alloy wheels for various vehicles, including race cars, and was an active sponsor of both race cars and series, including the United States Auto Club series, and ran the firm until its acquisition by American Racing Equipment in 2006.
0.8912990774927839		SimpleArgument(Weld,List([0, 4)))	Relation(ran,List([5, 8)))	SimpleArgument(the firm until its acquisition by American Racing Equipment in 2006,List([9, 76)))	Weld also founded Weld Wheel Industries, a firm manufacturing forged alloy wheels for various vehicles, including race cars, and was an active sponsor of both race cars and series, including the United States Auto Club series, and ran the firm until its acquisition by American Racing Equipment in 2006.
0.8942434158739456		SimpleArgument(manufacturing,List([49, 62)))	Relation(forged,List([63, 69)))	SimpleArgument(alloy wheels for various vehicles , including race cars,List([70, 125)))	Weld also founded Weld Wheel Industries, a firm manufacturing forged alloy wheels for various vehicles, including race cars, and was an active sponsor of both race cars and series, including the United States Auto Club series, and ran the firm until its acquisition by American Racing Equipment in 2006.
0.8571777395282005		SimpleArgument(Weld,List([0, 4)))	Relation(founded,List([10, 17)))	SimpleArgument(Weld Wheel Industries,List([18, 39)))	Weld also founded Weld Wheel Industries, a firm manufacturing forged alloy wheels for various vehicles, including race cars, and was an active sponsor of both race cars and series, including the United States Auto Club series, and ran the firm until its acquisition by American Racing Equipment in 2006.
