0.9250606141558615		SimpleArgument(an historic house,List([21, 38)))	Relation(located at,List([39, 46), [47, 49)))	SpatialArgument(19 Main Street, Stockbridge,List([50, 77)))	The Mission House is an historic house located at 19 Main Street, Stockbridge, Massachusetts.
0.9726855614196764		SimpleArgument(The Mission House,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(an historic house located at 19 Main Street, Stockbridge, Massachusetts,List([21, 92)))	The Mission House is an historic house located at 19 Main Street, Stockbridge, Massachusetts.
0.3929209860966329		SimpleArgument(The Mission House,List([0, 2)))	Relation(was built by,List([3, 12), [35, 37)))	SimpleArgument(a Christian missionary to the local Mahicans,List([38, 82)))	It was built between 1739 and 1742 by a Christian missionary to the local Mahicans.
0.22506131975927415		SimpleArgument(The Mission House,List([0, 2)))	Relation(was built between,List([3, 12), [13, 20)))	TemporalArgument(1739 and 1742,List([21, 34)))	It was built between 1739 and 1742 by a Christian missionary to the local Mahicans.
0.894241381436698		SimpleArgument(a National Historic Landmark,List([6, 34)))	Relation(designated as,List([36, 46), [55, 57)))	SimpleArgument(a rare surviving example of a colonial mission house,List([58, 110)))	It is a National Historic Landmark, designated in 1968 as a rare surviving example of a colonial mission house.
0.8161043284476039		SimpleArgument(a National Historic Landmark,List([6, 34)))	Relation(designated as a rare surviving example of a colonial mission house in,List([36, 46), [47, 104), [105, 110)))	TemporalArgument(1968,List([50, 54)))	It is a National Historic Landmark, designated in 1968 as a rare surviving example of a colonial mission house.
0.5680679595514976		SimpleArgument(The Mission House,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a National Historic Landmark,List([6, 34)))	It is a National Historic Landmark, designated in 1968 as a rare surviving example of a colonial mission house.
0.22015391053105568		SimpleArgument(The Mission House,List([0, 2)))	Relation(is owned,List([3, 5), [10, 15)))	TemporalArgument(now,List([6, 9)))	It is now owned and operated as a nonprofit museum by the Trustees of Reservations.
0.9232922754955963		SimpleArgument(The town of Stockbridge,List([0, 23)))	Relation(was established as,List([24, 39), [58, 60)))	SimpleArgument(a mission community to the Mahicans,List([61, 96)))	The town of Stockbridge was established in the late 1730s as a mission community to the Mahicans.
0.9370765620072632		SimpleArgument(The town of Stockbridge,List([0, 23)))	Relation(was established as a mission community to the Mahicans in,List([24, 39), [40, 87), [88, 96)))	SpatialArgument(the late 1730s,List([43, 57)))	The town of Stockbridge was established in the late 1730s as a mission community to the Mahicans.
0.7900566639584307		SimpleArgument(John Sergeant,List([0, 13)))	Relation(formally beginning his service in,List([40, 58), [59, 70), [71, 73)))	TemporalArgument(1735,List([74, 78)))	John Sergeant was the first missionary, formally beginning his service in 1735.
0.8528181305510196		SimpleArgument(John Sergeant,List([0, 13)))	Relation(formally beginning,List([40, 58)))	SimpleArgument(his service,List([59, 70)))	John Sergeant was the first missionary, formally beginning his service in 1735.
0.9436740204769645		SimpleArgument(John Sergeant,List([0, 13)))	Relation(was,List([14, 17)))	SimpleArgument(the first missionary,List([18, 38)))	John Sergeant was the first missionary, formally beginning his service in 1735.
0.8239830255209885		SimpleArgument(The Mission House,List([80, 90)))	Relation(was built above,List([91, 100), [136, 141)))	SpatialArgument(The town of Stockbridge,List([142, 150)))	His first house, built in the valley where the Indians lived, has not survived; this house was built in the white community on the hill above the town following his marriage in 1739.
0.8239830255209885		SimpleArgument(The Mission House,List([80, 90)))	Relation(was built on,List([91, 100), [124, 126)))	SpatialArgument(the hill,List([127, 135)))	His first house, built in the valley where the Indians lived, has not survived; this house was built in the white community on the hill above the town following his marriage in 1739.
0.8776011732811596		SimpleArgument(The Mission House,List([80, 90)))	Relation(was built in,List([91, 100), [101, 103)))	SpatialArgument(the white community,List([104, 123)))	His first house, built in the valley where the Indians lived, has not survived; this house was built in the white community on the hill above the town following his marriage in 1739.
