0.9481947648689547		SimpleArgument(Salty,List([0, 5)))	Relation(du,List([6, 8)))	SimpleArgument(Rand,List([9, 13)))	Salty du Rand
0.9449993708870406		SimpleArgument(Jacobus Abraham Du Rand,List([0, 23)))	Relation(is,List([72, 74)))	SimpleArgument(a former South African rugby union footballer,List([75, 120)))	Jacobus Abraham Du Rand (born 16 January 1926 in Hofmeyr, South Africa) is a former South African rugby union footballer.
0.9105112124111094		SimpleArgument(Jacobus Abraham Du Rand,List([0, 23)))	Relation(born in,List([25, 29), [46, 48)))	SpatialArgument(Hofmeyr,List([49, 56)))	Jacobus Abraham Du Rand (born 16 January 1926 in Hofmeyr, South Africa) is a former South African rugby union footballer.
0.9538634956324158		SimpleArgument(Jacobus Abraham Du Rand,List([0, 23)))	Relation(born,List([25, 29)))	TemporalArgument(16 January 1926,List([30, 45)))	Jacobus Abraham Du Rand (born 16 January 1926 in Hofmeyr, South Africa) is a former South African rugby union footballer.
0.45170382506656653		SimpleArgument(Salty du Rand Jacobus Abraham Du Rand (born 16 January 1926 in Hofmeyr, South Africa),List([0, 2)))	Relation(played,List([3, 9)))	TemporalArgument(numerous times,List([10, 24)))	He played numerous times for South Africa, including on their 1951–52 Grand Slam tour of Europe, as well as captaining them once against the All Blacks.
0.9339862216393666		SimpleArgument(the All Blacks,List([69, 83)))	Relation(was played at,List([91, 101), [102, 104)))	SpatialArgument(Ellis Park in Johannesburg,List([105, 131)))	He made his debut for the Springboks in 1949 in a Test match against the All Blacks, which was played at Ellis Park in Johannesburg.
0.3929209860966329		SimpleArgument(Salty du Rand Jacobus Abraham Du Rand (born 16 January 1926 in Hofmeyr, South Africa),List([0, 2)))	Relation(made for the Springboks in,List([3, 7), [18, 36), [45, 47)))	SpatialArgument(a Test match against the All Blacks,List([48, 83)))	He made his debut for the Springboks in 1949 in a Test match against the All Blacks, which was played at Ellis Park in Johannesburg.
0.15939332484157967		SimpleArgument(Salty du Rand Jacobus Abraham Du Rand (born 16 January 1926 in Hofmeyr, South Africa),List([0, 2)))	Relation(made for the Springboks in,List([3, 7), [18, 36), [37, 39)))	TemporalArgument(1949,List([40, 44)))	He made his debut for the Springboks in 1949 in a Test match against the All Blacks, which was played at Ellis Park in Johannesburg.
0.3929209860966329		SimpleArgument(Salty du Rand Jacobus Abraham Du Rand (born 16 January 1926 in Hofmeyr, South Africa),List([0, 2)))	Relation(made for,List([3, 7), [18, 21)))	SimpleArgument(the Springboks,List([22, 36)))	He made his debut for the Springboks in 1949 in a Test match against the All Blacks, which was played at Ellis Park in Johannesburg.
0.30297744566198154		SimpleArgument(Salty du Rand Jacobus Abraham Du Rand (born 16 January 1926 in Hofmeyr, South Africa),List([0, 2)))	Relation(made for the Springboks,List([3, 7), [18, 36)))	SimpleArgument(his debut,List([8, 17)))	He made his debut for the Springboks in 1949 in a Test match against the All Blacks, which was played at Ellis Park in Johannesburg.
0.9180804252893389		SimpleArgument(The game,List([0, 8)))	Relation(was won by,List([9, 16), [17, 19)))	SimpleArgument(South Africa,List([20, 32)))	The game was won by South Africa, defeating the New Zealanders 12 to six.
0.6541577804698245	Context(South Africa won,List([0, 21)))	SimpleArgument(South Africa,List([0, 12)))	Relation(won the subsequent contest in Durban defeating the All Blacks,List([18, 21), [22, 25), [26, 47)))	TemporalArgument(again,List([81, 86)))	South Africa also won the subsequent contest in Durban, defeating the All Blacks again, nine points to three.
0.8658861628825114	Context(South Africa won,List([0, 21)))	SimpleArgument(South Africa,List([0, 12)))	Relation(won the subsequent contest in Durban defeating,List([18, 21), [22, 25)))	SimpleArgument(the All Blacks,List([66, 80)))	South Africa also won the subsequent contest in Durban, defeating the All Blacks again, nine points to three.
0.9291751737460571		SimpleArgument(South Africa,List([0, 12)))	Relation(won,List([18, 21)))	SimpleArgument(the subsequent contest in Durban,List([22, 54)))	South Africa also won the subsequent contest in Durban, defeating the All Blacks again, nine points to three.
0.9929999709129333		SimpleArgument(he,List([0, 0)))	Relation(was capped In,List([0, 0)))	SimpleArgument(1951,List(null))	In 1951 he was capped three times for the Springboks, who went on a tour of Europe.
0.9277724913494431		SimpleArgument(the Springboks,List([38, 52)))	Relation(went on,List([58, 62), [63, 65)))	SimpleArgument(a tour of Europe,List([66, 82)))	In 1951 he was capped three times for the Springboks, who went on a tour of Europe.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(was capped for the Springboks In,List([0, 14), [15, 41), [42, 52)))	TemporalArgument(1951,List([3, 7)))	In 1951 he was capped three times for the Springboks, who went on a tour of Europe.
0.3929209860966329		SimpleArgument(he,List([8, 10)))	Relation(was capped for,List([11, 21), [34, 37)))	SimpleArgument(the Springboks,List([38, 52)))	In 1951 he was capped three times for the Springboks, who went on a tour of Europe.
0.44469037867649003		SimpleArgument(he,List([8, 10)))	Relation(was capped for the Springboks,List([11, 21), [34, 52)))	TemporalArgument(three times,List([22, 33)))	In 1951 he was capped three times for the Springboks, who went on a tour of Europe.
0.3498441627223176		SimpleArgument(he,List([142, 144)))	Relation(scored,List([145, 151)))	SimpleArgument(his first try in a Test,List([152, 175)))	The first Test he played in on tour was against Scotland at Murrayfield in late November, which the Springboks won 44 points to nil, in which he scored his first try in a Test.
0.9266232318014763		SimpleArgument(the Springboks,List([96, 110)))	Relation(won 44 points to,List([111, 114), [115, 124), [125, 127)))	SimpleArgument(nil,List([128, 131)))	The first Test he played in on tour was against Scotland at Murrayfield in late November, which the Springboks won 44 points to nil, in which he scored his first try in a Test.
0.9436740204769645		SimpleArgument(the Springboks,List([96, 110)))	Relation(won,List([111, 114)))	SimpleArgument(44 points,List([115, 124)))	The first Test he played in on tour was against Scotland at Murrayfield in late November, which the Springboks won 44 points to nil, in which he scored his first try in a Test.
0.902318928242591		SimpleArgument(The first Test,List([0, 14)))	Relation(was against Scotland in,List([36, 39), [40, 56), [72, 74)))	TemporalArgument(late November,List([75, 88)))	The first Test he played in on tour was against Scotland at Murrayfield in late November, which the Springboks won 44 points to nil, in which he scored his first try in a Test.
0.9339862216393666		SimpleArgument(The first Test,List([0, 14)))	Relation(was against Scotland at,List([36, 39), [40, 56), [57, 59)))	SpatialArgument(Murrayfield,List([60, 71)))	The first Test he played in on tour was against Scotland at Murrayfield in late November, which the Springboks won 44 points to nil, in which he scored his first try in a Test.
0.9339862216393666		SimpleArgument(The first Test,List([0, 14)))	Relation(was against,List([36, 39), [40, 47)))	SimpleArgument(Scotland,List([48, 56)))	The first Test he played in on tour was against Scotland at Murrayfield in late November, which the Springboks won 44 points to nil, in which he scored his first try in a Test.
0.9216169339561846		SimpleArgument(The first Test,List([0, 14)))	Relation(played in on,List([18, 27), [28, 30)))	SpatialArgument(tour,List([31, 35)))	The first Test he played in on tour was against Scotland at Murrayfield in late November, which the Springboks won 44 points to nil, in which he scored his first try in a Test.
0.45592395356914683		SimpleArgument(he,List([0, 2)))	Relation(played in,List([8, 14), [15, 17)))	SpatialArgument(the 6 to 3 win over Wales in Cardiff,List([18, 54)))	He then played in the 17-5 victory over Ireland at Lansdowne Road and the 6 to 3 win over Wales in Cardiff.
0.3048426724432105		SimpleArgument(he,List([0, 2)))	Relation(played,List([8, 14)))	TemporalArgument(then,List([3, 7)))	He then played in the 17-5 victory over Ireland at Lansdowne Road and the 6 to 3 win over Wales in Cardiff.
0.45592395356914683		SimpleArgument(he,List([0, 2)))	Relation(played in,List([8, 14), [15, 17)))	SpatialArgument(the 17-5 victory over Ireland at Lansdowne Road,List([18, 65)))	He then played in the 17-5 victory over Ireland at Lansdowne Road and the 6 to 3 win over Wales in Cardiff.
0.9576695221102005		SimpleArgument(South Africa,List([28, 40)))	Relation(won 25,List([41, 44), [45, 47)))	SpatialArgument(France,List([13, 19)))	The tour continued into early 1952, and du Rand was capped in matches against England at Twickenham, which the Springboks won 8 to three, and then against France, where South Africa won 25 to three, and thus, completed a grand slam of Europe.
0.816575697747956		SimpleArgument(South Africa,List([28, 40)))	Relation(won 25 to,List([41, 44), [45, 47), [48, 50)))	SimpleArgument(three,List([51, 56)))	The tour continued into early 1952, and du Rand was capped in matches against England at Twickenham, which the Springboks won 8 to three, and then against France, where South Africa won 25 to three, and thus, completed a grand slam of Europe.
0.8552025907515035		SimpleArgument(South Africa,List([28, 40)))	Relation(won,List([41, 44)))	SimpleArgument(25,List([45, 47)))	The tour continued into early 1952, and du Rand was capped in matches against England at Twickenham, which the Springboks won 8 to three, and then against France, where South Africa won 25 to three, and thus, completed a grand slam of Europe.
0.7440220930148851		SimpleArgument(the Springboks,List([6, 20)))	Relation(won to,List([21, 24), [27, 29)))	SimpleArgument(three,List([30, 35)))	The tour continued into early 1952, and du Rand was capped in matches against England at Twickenham, which the Springboks won 8 to three, and then against France, where South Africa won 25 to three, and thus, completed a grand slam of Europe.
0.8552025907515035		SimpleArgument(the Springboks,List([6, 20)))	Relation(won,List([21, 24)))	SimpleArgument(8,List({25}))	The tour continued into early 1952, and du Rand was capped in matches against England at Twickenham, which the Springboks won 8 to three, and then against France, where South Africa won 25 to three, and thus, completed a grand slam of Europe.
0.9382554258342916		SimpleArgument(du Rand,List([0, 7)))	Relation(was capped in,List([8, 18), [19, 21)))	SpatialArgument(matches against England at Twickenham,List([22, 59)))	The tour continued into early 1952, and du Rand was capped in matches against England at Twickenham, which the Springboks won 8 to three, and then against France, where South Africa won 25 to three, and thus, completed a grand slam of Europe.
0.7665350501724939		SimpleArgument(tour,List([0, 8)))	Relation(continued into,List([9, 18), [19, 23)))	TemporalArgument(early 1952,List([24, 34)))	The tour continued into early 1952, and du Rand was capped in matches against England at Twickenham, which the Springboks won 8 to three, and then against France, where South Africa won 25 to three, and thus, completed a grand slam of Europe.
0.7440220930148851		SimpleArgument(South Africa,List([134, 146)))	Relation(won to,List([147, 150), [154, 156)))	SimpleArgument(three,List([157, 162)))	He was then chosen to play in a four match series against the Wallabies in 1953, scoring a try in the first Test at Ellis Park, which South Africa won 25 to three.
0.8552025907515035		SimpleArgument(South Africa,List([134, 146)))	Relation(won,List([147, 150)))	SimpleArgument(25,List([151, 153)))	He was then chosen to play in a four match series against the Wallabies in 1953, scoring a try in the first Test at Ellis Park, which South Africa won 25 to three.
0.13814305408297275		SimpleArgument(he,List([0, 2)))	Relation(to play in,List([19, 26), [72, 74)))	TemporalArgument(1953,List([75, 79)))	He was then chosen to play in a four match series against the Wallabies in 1953, scoring a try in the first Test at Ellis Park, which South Africa won 25 to three.
0.45592395356914683		SimpleArgument(he,List([0, 2)))	Relation(to play in,List([19, 26), [27, 29)))	SpatialArgument(a four match series against the Wallabies,List([30, 71)))	He was then chosen to play in a four match series against the Wallabies in 1953, scoring a try in the first Test at Ellis Park, which South Africa won 25 to three.
