0.9436221120476838		SimpleArgument(Illinois State University,List([33, 58)))	Relation(located in,List([59, 66), [67, 69)))	SpatialArgument(Normal,List([70, 76)))	Reggie Redbird is the mascot for Illinois State University located in Normal, Illinois.
0.9527410621066101		SimpleArgument(Reggie Redbird,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(the mascot for Illinois State University,List([18, 58)))	Reggie Redbird is the mascot for Illinois State University located in Normal, Illinois.
0.9197759696552441		SimpleArgument(Reggie Redbird,List([0, 6)))	Relation(appears at,List([7, 14), [15, 17)))	SpatialArgument(various other athletic events,List([18, 47)))	Reggie is present at all home football games, women's' volleyball matches, men's basketball games, women's' basketball games, and appears at various other athletic events.
0.9606193513644111		SimpleArgument(Reggie Redbird,List([0, 6)))	Relation(is,List([7, 9)))	SimpleArgument(present at all home football games , women's ' volleyball matches , men 's basketball games , women's ' basketball games,List([10, 130)))	Reggie is present at all home football games, women's' volleyball matches, men's basketball games, women's' basketball games, and appears at various other athletic events.
0.9210233335200773		SimpleArgument(Reggie Redbird,List([0, 6)))	Relation(does,List([12, 16)))	SimpleArgument(numerous of appearances at events within the Twin Cities,List([17, 73)))	Reggie also does numerous of appearances at schools and events within the Twin Cities,the state of Illinois, and the country.
0.9210233335200773		SimpleArgument(Reggie Redbird,List([0, 6)))	Relation(does,List([12, 16)))	SimpleArgument(numerous of appearances at schools within the Twin Cities,List([17, 74)))	Reggie also does numerous of appearances at schools and events within the Twin Cities,the state of Illinois, and the country.
0.9030401971054747		SimpleArgument(a student,List([18, 27)))	Relation(bedecked in,List([28, 36), [37, 39)))	SpatialArgument(costume,List([40, 47)))	Reggie Redbird is a student bedecked in costume.
0.9436740204769645		SimpleArgument(Reggie Redbird Reggie Redbird,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(a student bedecked in costume,List([18, 47)))	Reggie Redbird is a student bedecked in costume.
0.38089450366724514		SimpleArgument(Rick Percy,List([105, 115)))	Relation([is] general manager of,List([118, 136)))	SimpleArgument(Associates Insurance,List([137, 157)))	Reggie was named in 1980 after a contest among Junior Redbird Club Members.The first suit was donated by Rick Percy, general manager of Clemens and Associates Insurance and a longtime member of The Redbird Club.[1]
0.38089450366724514		SimpleArgument(Rick Percy,List([105, 115)))	Relation([is] general manager of,List([118, 136)))	SimpleArgument(Clemens,List([137, 144)))	Reggie was named in 1980 after a contest among Junior Redbird Club Members.The first suit was donated by Rick Percy, general manager of Clemens and Associates Insurance and a longtime member of The Redbird Club.[1]
0.9929999709129333		SimpleArgument(Reggie Redbird,List([0, 0)))	Relation(was named in,List([0, 0)))	SimpleArgument(1980 after a contest,List(null))	Reggie was named in 1980 after a contest among Junior Redbird Club Members.The first suit was donated by Rick Percy, general manager of Clemens and Associates Insurance and a longtime member of The Redbird Club.[1]
0.38089450366724514		SimpleArgument(Rick Percy,List([105, 115)))	Relation([is] a longtime member of,List([118, 138)))	SimpleArgument(The Redbird Club,List([139, 155)))	Reggie was named in 1980 after a contest among Junior Redbird Club Members.The first suit was donated by Rick Percy, general manager of Clemens and Associates Insurance and a longtime member of The Redbird Club.[1]
0.9210233335200773		SimpleArgument(Reggie Redbird,List([0, 6)))	Relation(was donated by,List([90, 101), [102, 104)))	SimpleArgument(Rick Percy,List([105, 115)))	Reggie was named in 1980 after a contest among Junior Redbird Club Members.The first suit was donated by Rick Percy, general manager of Clemens and Associates Insurance and a longtime member of The Redbird Club.[1]
0.8016573080327372		SimpleArgument(Reggie Redbird,List([0, 6)))	Relation(was named in,List([7, 16), [17, 19)))	SimpleArgument(1980,List([20, 24)))	Reggie was named in 1980 after a contest among Junior Redbird Club Members.The first suit was donated by Rick Percy, general manager of Clemens and Associates Insurance and a longtime member of The Redbird Club.[1]
