0.9485955390117107		SimpleArgument(Market Taker Mentoring,List([0, 22)))	Relation(is,List([23, 25)))	SimpleArgument(the leading resource for option-trader education,List([26, 74)))	Market Taker Mentoring is the leading resource for option-trader education.
0.9608913008711276		SimpleArgument(All Market Taker instructors,List([0, 28)))	Relation(are,List([29, 32)))	SimpleArgument(industry professionals with real, hands-on professional trading experience,List([33, 107)))	All Market Taker instructors are industry professionals with real, hands-on professional trading experience.
0.9040259452709256		SimpleArgument(Dan,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(former member of the Chicago Board Options Exchange,List([7, 58)))	Dan is an author, trader and former member of the Chicago Board Options Exchange (CBOE) and CME Group.
0.8867237254315935		SimpleArgument(Dan,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(trader,List([7, 13)))	Dan is an author, trader and former member of the Chicago Board Options Exchange (CBOE) and CME Group.
0.8867237254315935		SimpleArgument(Dan,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(an author,List([7, 16)))	Dan is an author, trader and former member of the Chicago Board Options Exchange (CBOE) and CME Group.
0.8554441698652224		SimpleArgument(Dan,List([0, 3)))	Relation(has written,List([4, 15)))	SimpleArgument(The Market Taker 's Edge,List([18, 42)))	Dan has written two books on options trading -- 'Trading Option Greeks' and 'The Market Taker's Edge.'
0.8550806581371961		SimpleArgument(Dan,List([0, 3)))	Relation(has written,List([4, 15)))	SimpleArgument(two books on options trading,List([16, 44)))	Dan has written two books on options trading -- 'Trading Option Greeks' and 'The Market Taker's Edge.'
0.4978219019954182		SimpleArgument(Dan,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(the CEO of Market Taker Mentoring , Inc,List([11, 50)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
0.38089450366724514		SimpleArgument(Inc,List([47, 50)))	Relation([is] the CEO of,List([11, 21)))	SimpleArgument(Market Taker Mentoring,List([22, 44)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
0.4978219019954182		SimpleArgument(Dan,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(the CEO of Market Taker Mentoring,List([11, 44)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
0.913197594301744		SimpleArgument(a leading options education firm,List([59, 91)))	Relation(provides,List([97, 105)))	SimpleArgument(one - on - one coaching for option traders,List([106, 148)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
0.787629570513835		SimpleArgument(a leading options education firm,List([59, 91)))	Relation(provides,List([97, 105)))	SimpleArgument(personalized,List([106, 118)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
