0.9340463819568752		SimpleArgument(Alex Lemon,List([0, 10)))	Relation(is,List([28, 30)))	SimpleArgument(memoirist,List([31, 40)))	Alex Lemon (born in 1978) is an American poet and memoirist.
0.9340463819568752		SimpleArgument(Alex Lemon,List([0, 10)))	Relation(is,List([28, 30)))	SimpleArgument(an American poet,List([31, 47)))	Alex Lemon (born in 1978) is an American poet and memoirist.
0.7900566639584307		SimpleArgument(Alex Lemon,List([0, 10)))	Relation(born in,List([13, 17), [18, 20)))	TemporalArgument(1978,List([21, 25)))	Alex Lemon (born in 1978) is an American poet and memoirist.
0.886695286966665		SimpleArgument(Alex Lemon Alex Lemon (born in 1978),List([0, 5)))	Relation(is the author of,List([6, 22)))	SimpleArgument(four books,List([23, 33)))	Lemon is the author of four books: The poetry collections Mosquito (Tin House Books 2006), Hallelujah Blackout (Milkweed Editions 2008), Fancy Beasts (Milkweed Editions 2010), The Wish Book (Milkweed Editions 2014) and Happy: A Memoir (Scribner 2010).
0.9383119524695255		SimpleArgument(Alex Lemon Alex Lemon (born in 1978),List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(the author of four books,List([9, 33)))	Lemon is the author of four books: The poetry collections Mosquito (Tin House Books 2006), Hallelujah Blackout (Milkweed Editions 2008), Fancy Beasts (Milkweed Editions 2010), The Wish Book (Milkweed Editions 2014) and Happy: A Memoir (Scribner 2010).
0.9365413411055357		SimpleArgument(poetry editor of descant,List([55, 79)))	Relation(sits on,List([108, 112), [113, 115)))	SimpleArgument(the editorial board of The Southern Review 's advisory board,List([116, 176)))	Lemon is an editor-at-large for Saturnalia Books; poetry editor of descant, TCU's literary journal, sits on the editorial board of TCU Press and The Southern Review's advisory board.
0.901986435125403		SimpleArgument(poetry editor of descant,List([55, 79)))	Relation(sits on,List([108, 112), [113, 115)))	SimpleArgument(the editorial board of TCU Press advisory board,List([116, 163)))	Lemon is an editor-at-large for Saturnalia Books; poetry editor of descant, TCU's literary journal, sits on the editorial board of TCU Press and The Southern Review's advisory board.
0.7728580355942064		SimpleArgument(His honors,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(a 2005 Literature Fellowship in Poetry from inclusion in the Best American Poetry 2008 anthology,List([19, 115)))	His awards and honors include a 2005 Literature Fellowship in Poetry from the National Endowment for the Arts, a 2006 Minnesota Arts Board Grant, and inclusion in the Best American Poetry 2008 anthology.
0.7728580355942064		SimpleArgument(His honors,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(a 2005 Literature Fellowship in Poetry from a 2006 Minnesota Arts Board Grant,List([19, 96)))	His awards and honors include a 2005 Literature Fellowship in Poetry from the National Endowment for the Arts, a 2006 Minnesota Arts Board Grant, and inclusion in the Best American Poetry 2008 anthology.
0.9990000128746033		SimpleArgument(His honors,List([0, 0)))	Relation(include,List([0, 0)))	SimpleArgument(2005 literature fellowship,List(null))	His awards and honors include a 2005 Literature Fellowship in Poetry from the National Endowment for the Arts, a 2006 Minnesota Arts Board Grant, and inclusion in the Best American Poetry 2008 anthology.
0.7728580355942064		SimpleArgument(His honors,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(a 2005 Literature Fellowship in Poetry from the National Endowment for the Arts,List([19, 98)))	His awards and honors include a 2005 Literature Fellowship in Poetry from the National Endowment for the Arts, a 2006 Minnesota Arts Board Grant, and inclusion in the Best American Poetry 2008 anthology.
0.7728580355942064		SimpleArgument(His awards,List([0, 10)))	Relation(include,List([11, 18)))	SimpleArgument(a 2005 Literature Fellowship in Poetry from inclusion in the Best American Poetry 2008 anthology,List([19, 115)))	His awards and honors include a 2005 Literature Fellowship in Poetry from the National Endowment for the Arts, a 2006 Minnesota Arts Board Grant, and inclusion in the Best American Poetry 2008 anthology.
