0.949419443712137		SimpleArgument(Charles Nicholas Monsarrat,List([0, 26)))	Relation(was,List([58, 61)))	SimpleArgument(a Canadian-born bridge designer,List([62, 93)))	Charles Nicholas Monsarrat (July 2, 1871 – March 1, 1940) was a Canadian-born bridge designer.
0.4978219019954182		SimpleArgument(Charles Monsarrat Charles Nicholas Monsarrat (July 2, 1871 – March 1, 1940),List([0, 2)))	Relation(was educated at,List([3, 15), [16, 18)))	SpatialArgument(the Montreal High School,List([19, 43)))	He was born in Montreal and was educated by private tuition and at the Montreal High School.
0.45170382506656653		SimpleArgument(Charles Monsarrat Charles Nicholas Monsarrat (July 2, 1871 – March 1, 1940),List([0, 2)))	Relation(was educated by,List([3, 15), [16, 18)))	SimpleArgument(private tuition,List([19, 34)))	He was born in Montreal and was educated by private tuition and at the Montreal High School.
0.4978219019954182		SimpleArgument(Charles Monsarrat Charles Nicholas Monsarrat (July 2, 1871 – March 1, 1940),List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(Montreal,List([15, 23)))	He was born in Montreal and was educated by private tuition and at the Montreal High School.
0.8982330273114404	Context(he became,List([82, 91)))	SimpleArgument(Charles Monsarrat,List([0, 9)))	Relation(joined the Canadian Pacific Railway as,List([10, 16), [17, 45), [46, 48)))	SimpleArgument(a structural draftsman,List([49, 71)))	Monsarrat joined the Canadian Pacific Railway as a structural draftsman; in 1903, he became chief engineer of bridges.
0.9139478779591064	Context(he became,List([82, 91)))	SimpleArgument(Charles Monsarrat,List([0, 9)))	Relation(joined,List([10, 16)))	SimpleArgument(the Canadian Pacific Railway,List([17, 45)))	Monsarrat joined the Canadian Pacific Railway as a structural draftsman; in 1903, he became chief engineer of bridges.
0.24707677063501074		SimpleArgument(Charles Monsarrat,List([82, 84)))	Relation(became chief engineer of bridges in,List([73, 75), [85, 109), [110, 117)))	TemporalArgument(1903,List([76, 80)))	Monsarrat joined the Canadian Pacific Railway as a structural draftsman; in 1903, he became chief engineer of bridges.
0.3880890333449538		SimpleArgument(Charles Monsarrat,List([82, 84)))	Relation(became,List([85, 91)))	SimpleArgument(chief engineer of bridges,List([92, 117)))	Monsarrat joined the Canadian Pacific Railway as a structural draftsman; in 1903, he became chief engineer of bridges.
0.22506131975927415		SimpleArgument(Charles Monsarrat,List([0, 2)))	Relation(was vice-president in,List([3, 6), [7, 21), [22, 24)))	TemporalArgument(1917,List([25, 29)))	He became a member of the Canadian Society of Civil Engineers (later the Engineering Institute of Canada) in 1898 and was vice-president in 1917.
0.5222094630377523		SimpleArgument(Charles Monsarrat,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(vice-president,List([7, 21)))	He became a member of the Canadian Society of Civil Engineers (later the Engineering Institute of Canada) in 1898 and was vice-president in 1917.
0.15939332484157967		SimpleArgument(Charles Monsarrat,List([0, 2)))	Relation(became a member of the Canadian Society of Civil Engineers in,List([3, 9), [10, 61), [108, 110)))	TemporalArgument(1898,List([111, 115)))	He became a member of the Canadian Society of Civil Engineers (later the Engineering Institute of Canada) in 1898 and was vice-president in 1917.
