0.9524086359800606		SimpleArgument(a retro-style role-playing game,List([18, 49)))	Relation(developed by,List([50, 59), [60, 62)))	SimpleArgument(The Muteki Corporation,List([63, 85)))	Dragon Fantasy is a retro-style role-playing game developed by The Muteki Corporation.
0.9699974998635915		SimpleArgument(Dragon Fantasy,List([0, 14)))	Relation(is,List([15, 17)))	SimpleArgument(a retro-style role-playing game developed by The Muteki Corporation,List([18, 85)))	Dragon Fantasy is a retro-style role-playing game developed by The Muteki Corporation.
0.22015391053105568		SimpleArgument(Dragon Fantasy,List([0, 2)))	Relation(was released,List([3, 6), [20, 28)))	TemporalArgument(subsequently,List([7, 19)))	It was originally developed for iOS, where it launched on August 23, 2011, and was subsequently released for Mac, Windows, and Android phones.
0.3929209860966329		SimpleArgument(Dragon Fantasy,List([0, 2)))	Relation(was released for,List([3, 6), [20, 28), [29, 32)))	SimpleArgument(Mac,List([33, 36)))	It was originally developed for iOS, where it launched on August 23, 2011, and was subsequently released for Mac, Windows, and Android phones.
0.5961061943937731		SimpleArgument(Dragon Fantasy,List([44, 46)))	Relation(launched,List([47, 55)))	SpatialArgument(iOS,List([32, 35)))	It was originally developed for iOS, where it launched on August 23, 2011, and was subsequently released for Mac, Windows, and Android phones.
0.4978219019954182		SimpleArgument(Dragon Fantasy,List([44, 46)))	Relation(launched on,List([47, 55), [56, 58)))	TemporalArgument(August 23,List([59, 68)))	It was originally developed for iOS, where it launched on August 23, 2011, and was subsequently released for Mac, Windows, and Android phones.
0.22015391053105568		SimpleArgument(Dragon Fantasy,List([0, 2)))	Relation(was developed,List([3, 6), [18, 27)))	TemporalArgument(originally,List([7, 17)))	It was originally developed for iOS, where it launched on August 23, 2011, and was subsequently released for Mac, Windows, and Android phones.
0.3929209860966329		SimpleArgument(Dragon Fantasy,List([0, 2)))	Relation(was developed for,List([3, 6), [18, 27), [28, 31)))	SimpleArgument(iOS,List([32, 35)))	It was originally developed for iOS, where it launched on August 23, 2011, and was subsequently released for Mac, Windows, and Android phones.
0.9577632656012869	Context(Sony Computer Entertainment of America announced,List([20, 68)))	"SimpleArgument(a greatly enhanced "" 16 - bit "" version of the game,List([88, 139)))"	Relation(would be launching on,List([140, 158), [159, 161)))	SpatialArgument(PlayStation Vita,List([162, 178)))	"On April 9, 2012, Sony Computer Entertainment of America announced on their blog that a greatly enhanced ""16-bit"" version of the game would be launching on PlayStation 3 and PlayStation Vita."
0.9582360602132813		SimpleArgument(Sony Computer Entertainment of America,List([20, 58)))	"Relation(announced that a greatly enhanced "" 16 - bit "" version of the game would be launching on PlayStation Vita On,List([0, 2), [59, 173), [174, 178)))"	TemporalArgument(April 9 , 2012,List([3, 17)))	"On April 9, 2012, Sony Computer Entertainment of America announced on their blog that a greatly enhanced ""16-bit"" version of the game would be launching on PlayStation 3 and PlayStation Vita."
0.9424226382465531		SimpleArgument(Sony Computer Entertainment of America,List([20, 58)))	Relation(announced that,List([59, 68), [83, 87)))	"SimpleArgument(a greatly enhanced "" 16 - bit "" version of the game would be launching on PlayStation Vita,List([88, 178)))"	"On April 9, 2012, Sony Computer Entertainment of America announced on their blog that a greatly enhanced ""16-bit"" version of the game would be launching on PlayStation 3 and PlayStation Vita."
