0.9729999899864197		SimpleArgument(CBGB,List([0, 0)))	Relation(is,List([0, 0)))	SimpleArgument(2013 american historical film about,List(null))	CBGB is a 2013 American historical film about the former New York music venue CBGB.
0.9379113123569551		SimpleArgument(CBGB,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(a 2013 American historical film about the former New York music venue CBGB,List([8, 82)))	CBGB is a 2013 American historical film about the former New York music venue CBGB.
0.46321337686369213		SimpleArgument(CBGB,List([0, 2)))	Relation(follows,List([3, 10)))	SimpleArgument(the story of Hilly Kristal 's New York club from its concept as a venue for Blues ( CBGB ) to what it ultimately became : the birthplace of underground punk,List([11, 167)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.22258239037375555		SimpleArgument(CBGB,List([110, 112)))	Relation(became the birthplace of underground rock'n ' roll,List([124, 130), [133, 176)))	TemporalArgument(ultimately,List([113, 123)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.4112251698053916		SimpleArgument(CBGB,List([110, 112)))	Relation(became,List([124, 130)))	SimpleArgument(the birthplace of underground rock'n ' roll,List([133, 176)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.46321337686369213		SimpleArgument(CBGB,List([0, 2)))	Relation(follows,List([3, 10)))	SimpleArgument(the story of Hilly Kristal 's New York club from its concept as a venue for Blues ( CBGB ) to what it ultimately became : the birthplace of underground rock'n ' roll,List([11, 176)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.46321337686369213		SimpleArgument(CBGB,List([0, 2)))	Relation(follows,List([3, 10)))	SimpleArgument(the story of Hilly Kristal 's New York club from its concept as a venue for Bluegrass ( CBGB ) to what it ultimately became : the birthplace of underground punk,List([11, 171)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.46321337686369213		SimpleArgument(CBGB,List([0, 2)))	Relation(follows,List([3, 10)))	SimpleArgument(the story of Hilly Kristal 's New York club from its concept as a venue for Bluegrass ( CBGB ) to what it ultimately became : the birthplace of underground rock'n ' roll,List([11, 180)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.22258239037375555		SimpleArgument(CBGB,List([112, 114)))	Relation(became the birthplace of underground punk,List([126, 132), [135, 169)))	TemporalArgument(ultimately,List([115, 125)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.36726237189477945		SimpleArgument(CBGB,List([112, 114)))	Relation(became,List([126, 132)))	SimpleArgument(the birthplace of underground punk,List([135, 169)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.46321337686369213		SimpleArgument(CBGB,List([0, 2)))	Relation(follows,List([3, 10)))	SimpleArgument(the story of Hilly Kristal 's New York club from its concept as a venue for Country ( CBGB ) to what it ultimately became : the birthplace of underground punk,List([11, 169)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.3048426724432105		SimpleArgument(CBGB,List([112, 114)))	Relation(became,List([126, 132)))	TemporalArgument(ultimately,List([115, 125)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.46321337686369213		SimpleArgument(CBGB,List([0, 2)))	Relation(follows,List([3, 10)))	SimpleArgument(the story of Hilly Kristal 's New York club from its concept as a venue for Country ( CBGB ) to what it ultimately became : the birthplace of underground rock'n ' roll,List([11, 178)))	It follows the story of Hilly Kristal's New York club from its concept as a venue for Country, Bluegrass and Blues (CBGB) to what it ultimately became: the birthplace of underground rock'n'roll and punk.
0.858772576540734		SimpleArgument(CBGB,List([0, 8)))	Relation(uses devices to,List([9, 13), [14, 21), [83, 85)))	SimpleArgument(identify important figures in the punk movement,List([86, 133)))	The film uses devices such as a comic-book styled panels as well as on-screen text to identify important figures in the punk movement.
0.9030401971054747		SimpleArgument(CBGB,List([0, 8)))	Relation(uses,List([9, 13)))	SimpleArgument(devices,List([14, 21)))	The film uses devices such as a comic-book styled panels as well as on-screen text to identify important figures in the punk movement.
