0.9180804252893389		SimpleArgument(a ferry,List([17, 24)))	Relation(owned by,List([25, 30), [31, 33)))	SimpleArgument(BC Ferries,List([34, 44)))	The MV Tenaka is a ferry owned by BC Ferries.
0.9569065201547587		SimpleArgument(MV Tenaka,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(a ferry owned by BC Ferries,List([17, 44)))	The MV Tenaka is a ferry owned by BC Ferries.
0.3929209860966329		SimpleArgument(MV Tenaka,List([0, 3)))	Relation(was built for BC 's Ministry of Highways by,List([4, 13), [14, 44), [70, 72)))	SimpleArgument(the Victoria Machinery Depot,List([73, 101)))	She was built for BC's Ministry of Transportation and Highways in 1964 in Victoria, BC by the Victoria Machinery Depot.
0.3929209860966329		SimpleArgument(MV Tenaka,List([0, 3)))	Relation(was built for BC 's Ministry of Highways in,List([4, 13), [14, 44), [53, 55)))	SpatialArgument(Victoria,List([56, 64)))	She was built for BC's Ministry of Transportation and Highways in 1964 in Victoria, BC by the Victoria Machinery Depot.
0.22506131975927415		SimpleArgument(MV Tenaka,List([0, 3)))	Relation(was built for BC 's Ministry of Highways in,List([4, 13), [14, 44), [45, 47)))	TemporalArgument(1964,List([48, 52)))	She was built for BC's Ministry of Transportation and Highways in 1964 in Victoria, BC by the Victoria Machinery Depot.
0.4978219019954182		SimpleArgument(MV Tenaka,List([0, 3)))	Relation(was built for,List([4, 13), [14, 17)))	SimpleArgument(BC 's Ministry of Highways,List([18, 44)))	She was built for BC's Ministry of Transportation and Highways in 1964 in Victoria, BC by the Victoria Machinery Depot.
0.3929209860966329		SimpleArgument(MV Tenaka,List([0, 3)))	Relation(was built for BC 's Ministry of Transportation by,List([4, 13), [14, 50), [76, 78)))	SimpleArgument(the Victoria Machinery Depot,List([79, 107)))	She was built for BC's Ministry of Transportation and Highways in 1964 in Victoria, BC by the Victoria Machinery Depot.
0.3929209860966329		SimpleArgument(MV Tenaka,List([0, 3)))	Relation(was built for BC 's Ministry of Transportation in,List([4, 13), [14, 50), [59, 61)))	SpatialArgument(Victoria,List([62, 70)))	She was built for BC's Ministry of Transportation and Highways in 1964 in Victoria, BC by the Victoria Machinery Depot.
0.22506131975927415		SimpleArgument(MV Tenaka,List([0, 3)))	Relation(was built for BC 's Ministry of Transportation in,List([4, 13), [14, 50), [51, 53)))	TemporalArgument(1964,List([54, 58)))	She was built for BC's Ministry of Transportation and Highways in 1964 in Victoria, BC by the Victoria Machinery Depot.
0.4978219019954182		SimpleArgument(MV Tenaka,List([0, 3)))	Relation(was built for,List([4, 13), [14, 17)))	SimpleArgument(BC 's Ministry of Transportation,List([18, 50)))	She was built for BC's Ministry of Transportation and Highways in 1964 in Victoria, BC by the Victoria Machinery Depot.
0.9180804252893389		SimpleArgument(the routes,List([71, 81)))	Relation(were transferred to,List([82, 98), [99, 101)))	SimpleArgument(BC Ferries,List([102, 112)))	Originally named the Comox Queen, she was renamed Tenaka in 1977 and became part of BC Ferries' fleet in 1985 when the Ministry of Transportation's saltwater ferries and routes were transferred to BC Ferries.
