0.9369813267476892		SimpleArgument(West End,List([0, 8)))	Relation(is,List([9, 11)))	SimpleArgument(a neighborhood in Greenville,List([12, 40)))	West End is a neighborhood in Greenville, South Carolina.
0.22015391053105568		SimpleArgument(West End,List([95, 97)))	Relation(was established,List([98, 101), [108, 119)))	TemporalArgument(first,List([102, 107)))	Located across the Reedy River in downtown, the west end became home to Furman University when it was first established in 1852.
0.15939332484157967		SimpleArgument(West End,List([95, 97)))	Relation(was established in,List([98, 101), [108, 119), [120, 122)))	TemporalArgument(1852,List([123, 127)))	Located across the Reedy River in downtown, the west end became home to Furman University when it was first established in 1852.
0.8477538091726738		SimpleArgument(West End,List([44, 56)))	Relation(became home to Furman University,List([57, 63), [64, 89)))	TemporalArgument(when it was first established in 1852,List([90, 127)))	Located across the Reedy River in downtown, the west end became home to Furman University when it was first established in 1852.
0.9250606141558615		SimpleArgument(West End,List([44, 56)))	Relation(became,List([57, 63)))	SimpleArgument(home to Furman University,List([64, 89)))	Located across the Reedy River in downtown, the west end became home to Furman University when it was first established in 1852.
0.8321465232489272		SimpleArgument(The school,List([0, 10)))	Relation(moved to its current location northwest of the city,List([16, 21), [22, 67)))	TemporalArgument(then,List([11, 15)))	The school expanded to fill fifty acres and then moved to its current location northwest of the city in 1958.
0.7351279940478935		SimpleArgument(The school,List([0, 10)))	Relation(moved to its current location northwest of the city in,List([16, 21), [22, 67), [68, 70)))	TemporalArgument(1958,List([71, 75)))	The school expanded to fill fifty acres and then moved to its current location northwest of the city in 1958.
0.8103687806061152		SimpleArgument(The school,List([0, 10)))	Relation(moved to,List([16, 21), [22, 24)))	SimpleArgument(its current location northwest of the city,List([25, 67)))	The school expanded to fill fifty acres and then moved to its current location northwest of the city in 1958.
0.8872966301155124		SimpleArgument(The school,List([0, 10)))	Relation(to fill,List([20, 27)))	SimpleArgument(fifty acres,List([28, 39)))	The school expanded to fill fifty acres and then moved to its current location northwest of the city in 1958.
0.9030401971054747		SimpleArgument(The school,List([0, 10)))	Relation(expanded to,List([11, 19), [20, 22)))	SimpleArgument(fill fifty acres,List([23, 39)))	The school expanded to fill fifty acres and then moved to its current location northwest of the city in 1958.
0.9143456855143793		SimpleArgument(Columbia Railroad,List([0, 17)))	Relation(bringing increased commercial activity to,List([75, 83), [84, 113), [114, 116)))	SimpleArgument(the neighborhood,List([117, 133)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.9143456855143793		SimpleArgument(Columbia Railroad,List([0, 17)))	Relation(bringing,List([75, 83)))	SimpleArgument(increased commercial activity,List([84, 113)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.8989624667941865		SimpleArgument(Columbia Railroad,List([0, 17)))	Relation(arrived,List([51, 58)))	SimpleArgument(bringing increased commercial activity to the neighborhood,List([75, 133)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.7107293693420784		SimpleArgument(Columbia Railroad,List([0, 17)))	Relation(arrived in,List([51, 58), [65, 67)))	TemporalArgument(1853,List([68, 72)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.7900566639584307		SimpleArgument(Columbia Railroad,List([0, 17)))	Relation(arrived,List([51, 58)))	SimpleArgument(there,List([59, 64)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.729569447694811		SimpleArgument(the neighborhood,List([81, 97)))	Relation(had been settled,List([103, 111), [118, 125)))	TemporalArgument(first,List([112, 117)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.8371375011096484		SimpleArgument(the neighborhood,List([81, 97)))	Relation(had been settled in,List([103, 111), [118, 125), [126, 128)))	SpatialArgument(the 1830s,List([129, 138)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.9143456855143793		SimpleArgument(The Greenville,List([0, 14)))	Relation(bringing increased commercial activity to,List([39, 47), [48, 77), [78, 80)))	SimpleArgument(the neighborhood,List([81, 97)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.9143456855143793		SimpleArgument(The Greenville,List([0, 14)))	Relation(bringing,List([39, 47)))	SimpleArgument(increased commercial activity,List([48, 77)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.9132357803109601		SimpleArgument(The Greenville,List([0, 14)))	Relation(arrived,List([15, 22)))	SimpleArgument(bringing increased commercial activity to the neighborhood,List([39, 97)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.7440220930148851		SimpleArgument(The Greenville,List([0, 14)))	Relation(arrived in,List([15, 22), [29, 31)))	TemporalArgument(1853,List([32, 36)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.816575697747956		SimpleArgument(The Greenville,List([0, 14)))	Relation(arrived,List([15, 22)))	SimpleArgument(there,List([23, 28)))	The Greenville and Columbia Railroad (now part of Norfolk Southern) arrived there in 1853, bringing increased commercial activity to the neighborhood that had been first settled in the 1830s.
0.9030401971054747		SimpleArgument(increased commercial activity,List([0, 13)))	Relation(was truncated,List([14, 27)))	TemporalArgument(less than a decade later,List([28, 52)))	This activity was truncated less than a decade later with the coming of the American Civil War of 1861–65.
0.9480969127107686		SimpleArgument(the introduction of new fertilizers,List([23, 58)))	Relation(made cotton farming profitable again in the area After,List([0, 5), [59, 102), [103, 107)))	TemporalArgument(the American Civil War of 1861–65,List([6, 13)))	After the war, though, the introduction of new fertilizers made cotton farming profitable again in the area.
0.9256263201643982		SimpleArgument(the introduction of new fertilizers,List([23, 58)))	Relation(made,List([59, 63)))	SimpleArgument(cotton farming profitable again in the area,List([64, 107)))	After the war, though, the introduction of new fertilizers made cotton farming profitable again in the area.
0.7456433945456433		SimpleArgument(The commercial success , with its accompanying residential requirements,List([0, 71)))	Relation(brought schools to,List([74, 81), [82, 89), [90, 92)))	SimpleArgument(West End,List([93, 105)))	The commercial success, with its accompanying residential requirements, brought churches and schools to the west end.
0.7456433945456433		SimpleArgument(The commercial success , with its accompanying residential requirements,List([0, 71)))	Relation(brought,List([74, 81)))	SimpleArgument(schools,List([82, 89)))	The commercial success, with its accompanying residential requirements, brought churches and schools to the west end.
0.7456433945456433		SimpleArgument(The commercial success , with its accompanying residential requirements,List([0, 71)))	Relation(brought churches to,List([74, 81), [82, 90), [91, 93)))	SimpleArgument(West End,List([94, 106)))	The commercial success, with its accompanying residential requirements, brought churches and schools to the west end.
0.7456433945456433		SimpleArgument(The commercial success , with its accompanying residential requirements,List([0, 71)))	Relation(brought,List([74, 81)))	SimpleArgument(churches,List([82, 90)))	The commercial success, with its accompanying residential requirements, brought churches and schools to the west end.
0.928319312100383		SimpleArgument(Chicora College for Women,List([0, 25)))	Relation(before relocating to Columbia,List([60, 77), [78, 89)))	TemporalArgument(22 years later,List([90, 104)))	Chicora College for Women was established in 1893 for women before relocating to Columbia 22 years later.
0.9397001286877047		SimpleArgument(Chicora College for Women,List([0, 25)))	Relation(before relocating to,List([60, 77), [78, 80)))	SimpleArgument(Columbia,List([81, 89)))	Chicora College for Women was established in 1893 for women before relocating to Columbia 22 years later.
0.9232922754955963		SimpleArgument(Chicora College for Women,List([0, 25)))	Relation(was established before,List([26, 41), [60, 66)))	TemporalArgument(relocating to Columbia 22 years later,List([67, 104)))	Chicora College for Women was established in 1893 for women before relocating to Columbia 22 years later.
0.8437742409533863		SimpleArgument(Chicora College for Women,List([0, 25)))	Relation(was established in,List([26, 41), [42, 44)))	TemporalArgument(1893,List([45, 49)))	Chicora College for Women was established in 1893 for women before relocating to Columbia 22 years later.
