0.886695286966665		SimpleArgument(William Clucas Kinley ( 1866-1920 ),List([0, 35)))	Relation([is],List([0, 35)))	SimpleArgument(playwright,List([38, 48)))	William Clucas Kinley (1866-1920), Manx journalist and playwright.
0.8847999636040884		SimpleArgument(William Clucas Kinley ( 1866-1920 ),List([0, 35)))	Relation([is],List([0, 35)))	SimpleArgument(Manx journalist,List([38, 53)))	William Clucas Kinley (1866-1920), Manx journalist and playwright.
0.9929999709129333		SimpleArgument(William Clucas Kinley,List([0, 0)))	Relation(was born in,List([0, 0)))	SimpleArgument(1866,List(null))	William Clucas Kinley was born in 1866, the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man.
0.38089450366724514		SimpleArgument(Robert Kinley,List([51, 64)))	Relation([is] a tailor in,List([66, 77)))	SimpleArgument(Strand Street,List([78, 91)))	William Clucas Kinley was born in 1866, the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man.
0.8306090960787457		SimpleArgument(William Clucas Kinley,List([0, 21)))	Relation(was born in,List([22, 30), [31, 33)))	TemporalArgument(1866,List([34, 38)))	William Clucas Kinley was born in 1866, the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man.
0.7710170944286929		SimpleArgument(the weekly satirical paper,List([81, 107)))	Relation(was published between,List([130, 143), [144, 151)))	TemporalArgument(1895 and 1900,List([152, 165)))	He contributed humorous articles under the title 'Ingoldsby Up-to-date' to the weekly critical and satirical paper, The Manxman, which was published between 1895 and 1900.
0.3497525988439521		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([0, 2)))	Relation(contributed humorous articles to,List([3, 14), [15, 32), [78, 80)))	SimpleArgument(the weekly satirical paper,List([81, 107)))	He contributed humorous articles under the title 'Ingoldsby Up-to-date' to the weekly critical and satirical paper, The Manxman, which was published between 1895 and 1900.
0.7710170944286929		SimpleArgument(the weekly critical paper,List([81, 106)))	Relation(was published between,List([129, 142), [143, 150)))	TemporalArgument(1895 and 1900,List([151, 164)))	He contributed humorous articles under the title 'Ingoldsby Up-to-date' to the weekly critical and satirical paper, The Manxman, which was published between 1895 and 1900.
0.3497525988439521		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([0, 2)))	Relation(contributed humorous articles to,List([3, 14), [15, 32), [78, 80)))	SimpleArgument(the weekly critical paper,List([81, 106)))	He contributed humorous articles under the title 'Ingoldsby Up-to-date' to the weekly critical and satirical paper, The Manxman, which was published between 1895 and 1900.
0.45170382506656653		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([0, 2)))	Relation(contributed,List([3, 14)))	SimpleArgument(humorous articles,List([15, 32)))	He contributed humorous articles under the title 'Ingoldsby Up-to-date' to the weekly critical and satirical paper, The Manxman, which was published between 1895 and 1900.
0.45592395356914683		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([29, 31)))	Relation(actively involved in,List([39, 56), [57, 59)))	SimpleArgument(the Labour movement,List([60, 79)))	It was around this time that he became actively involved in the Labour movement, and also that he married Florence Mary Kinley, née Bawden, (1886-1927).
0.5508709715731925		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([29, 31)))	Relation(became actively involved in the Labour movement,List([32, 38), [39, 79)))	TemporalArgument(this time,List([14, 23)))	It was around this time that he became actively involved in the Labour movement, and also that he married Florence Mary Kinley, née Bawden, (1886-1927).
0.4978219019954182		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([29, 31)))	Relation(became,List([32, 38)))	SimpleArgument(actively involved in the Labour movement,List([39, 79)))	It was around this time that he became actively involved in the Labour movement, and also that he married Florence Mary Kinley, née Bawden, (1886-1927).
0.45170382506656653		SimpleArgument(It,List([0, 2)))	Relation(was around,List([3, 6), [7, 13)))	SimpleArgument(this time,List([14, 23)))	It was around this time that he became actively involved in the Labour movement, and also that he married Florence Mary Kinley, née Bawden, (1886-1927).
0.29886655727758943		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([33, 35)))	Relation(was turned down In,List([0, 46), [47, 51)))	TemporalArgument(1914,List([3, 7)))	In 1914 when World War I began, he volunteered for war duty on a minesweeper but was turned down due to his suffering from chronic bronchitis.
0.30899953469486874		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([33, 35)))	Relation(was turned down due,List([36, 51), [52, 55)))	SimpleArgument(to his suffering from chronic bronchitis,List([56, 96)))	In 1914 when World War I began, he volunteered for war duty on a minesweeper but was turned down due to his suffering from chronic bronchitis.
0.29886655727758943		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([33, 35)))	Relation(volunteered for war duty In,List([0, 2), [36, 55), [56, 60)))	TemporalArgument(1914,List([3, 7)))	In 1914 when World War I began, he volunteered for war duty on a minesweeper but was turned down due to his suffering from chronic bronchitis.
0.45170382506656653		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([33, 35)))	Relation(volunteered for war duty on,List([36, 47), [48, 60), [61, 63)))	SpatialArgument(a minesweeper,List([64, 77)))	In 1914 when World War I began, he volunteered for war duty on a minesweeper but was turned down due to his suffering from chronic bronchitis.
0.45170382506656653		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([33, 35)))	Relation(volunteered for,List([36, 47), [48, 51)))	SimpleArgument(war duty,List([52, 60)))	In 1914 when World War I began, he volunteered for war duty on a minesweeper but was turned down due to his suffering from chronic bronchitis.
0.38089450366724514		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([13, 15)))	Relation(was resident in,List([16, 31)))	SimpleArgument(Brockley,List([32, 40)))	By this time he was resident in Brockley, London, where he was a regular contributor to The Kentish Mercury, a paper edited by his brother-in-law, Stanley Kay Bawden.
0.3853208301752743		SimpleArgument(Stanley Kay Bawden,List([147, 165)))	Relation([is] brother-in-law [of],List([131, 145)))	SimpleArgument(him,List([127, 130)))	By this time he was resident in Brockley, London, where he was a regular contributor to The Kentish Mercury, a paper edited by his brother-in-law, Stanley Kay Bawden.
0.8348583869532935		SimpleArgument(a paper,List([109, 116)))	Relation(edited by,List([117, 123), [124, 126)))	SimpleArgument(his brother-in-law,List([127, 145)))	By this time he was resident in Brockley, London, where he was a regular contributor to The Kentish Mercury, a paper edited by his brother-in-law, Stanley Kay Bawden.
0.5680679595514976		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([56, 58)))	Relation(was,List([59, 62)))	SimpleArgument(a regular contributor to The Kentish Mercury,List([63, 107)))	By this time he was resident in Brockley, London, where he was a regular contributor to The Kentish Mercury, a paper edited by his brother-in-law, Stanley Kay Bawden.
0.547338059826203		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([13, 15)))	Relation(was resident By,List([0, 2), [16, 19), [20, 28)))	TemporalArgument(this time,List([3, 12)))	By this time he was resident in Brockley, London, where he was a regular contributor to The Kentish Mercury, a paper edited by his brother-in-law, Stanley Kay Bawden.
0.4978219019954182		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([13, 15)))	Relation(was resident in,List([16, 19), [20, 28), [29, 31)))	SpatialArgument(Brockley,List([32, 40)))	By this time he was resident in Brockley, London, where he was a regular contributor to The Kentish Mercury, a paper edited by his brother-in-law, Stanley Kay Bawden.
0.27813615858960106		SimpleArgument(the son of Robert Kinley, a tailor in Strand Street, Douglas, Isle of Man,List([13, 15)))	Relation(was,List([16, 19)))	SimpleArgument(resident,List([20, 28)))	By this time he was resident in Brockley, London, where he was a regular contributor to The Kentish Mercury, a paper edited by his brother-in-law, Stanley Kay Bawden.
0.8016573080327372		SimpleArgument(William Clucas Kinley,List([0, 6)))	Relation(joined the editorial staff of the paper in,List([7, 13), [14, 46), [47, 49)))	TemporalArgument(1916,List([50, 54)))	Kinley joined the editorial staff of the paper in 1916.
0.9197759696552441		SimpleArgument(William Clucas Kinley,List([0, 6)))	Relation(joined,List([7, 13)))	SimpleArgument(the editorial staff of the paper,List([14, 46)))	Kinley joined the editorial staff of the paper in 1916.
0.3497525988439521		SimpleArgument(William Clucas Kinley,List([0, 2)))	Relation(died at,List([3, 7), [97, 99)))	TemporalArgument(the age of 53,List([100, 113)))	He died from his chronic bronchitis on February 17, 1920, at his home at 40 Upper Brockley Road, at the age of 53.
0.2599819742892717		SimpleArgument(William Clucas Kinley,List([0, 2)))	Relation(died at,List([3, 7), [58, 60)))	SpatialArgument(his home at 40 Upper Brockley Road,List([61, 95)))	He died from his chronic bronchitis on February 17, 1920, at his home at 40 Upper Brockley Road, at the age of 53.
0.3929209860966329		SimpleArgument(William Clucas Kinley,List([0, 2)))	Relation(died on,List([3, 7), [36, 38)))	TemporalArgument(February 17,List([39, 50)))	He died from his chronic bronchitis on February 17, 1920, at his home at 40 Upper Brockley Road, at the age of 53.
0.30899953469486874		SimpleArgument(William Clucas Kinley,List([0, 2)))	Relation(died from,List([3, 7), [8, 12)))	SimpleArgument(his chronic bronchitis,List([13, 35)))	He died from his chronic bronchitis on February 17, 1920, at his home at 40 Upper Brockley Road, at the age of 53.
0.9180804252893389		SimpleArgument(The funeral,List([0, 11)))	Relation(was at Brockley Cemetery on,List([12, 15), [16, 36), [37, 39)))	TemporalArgument(February 21,List([40, 51)))	The funeral was at Brockley Cemetery on February 21, 1920.
0.9180804252893389		SimpleArgument(The funeral,List([0, 11)))	Relation(was at,List([12, 15), [16, 18)))	SimpleArgument(Brockley Cemetery,List([19, 36)))	The funeral was at Brockley Cemetery on February 21, 1920.
0.886695286966665		SimpleArgument(William Clucas Kinley,List([0, 6)))	Relation(was the author of,List([7, 24)))	SimpleArgument(the play,List([25, 33)))	Kinley was the author of the play, Ellie's Stranger, first published in Mannin, the journal and the Manx Language Society, in November 1916.
0.8321465232489272		SimpleArgument(the play,List([25, 33)))	Relation(published,List([62, 71)))	TemporalArgument(first,List([56, 61)))	Kinley was the author of the play, Ellie's Stranger, first published in Mannin, the journal and the Manx Language Society, in November 1916.
0.8608249288794803		SimpleArgument(the play,List([25, 33)))	Relation(published in,List([62, 71), [98, 100)))	TemporalArgument(November 1916,List([101, 114)))	Kinley was the author of the play, Ellie's Stranger, first published in Mannin, the journal and the Manx Language Society, in November 1916.
0.9045207649554154		SimpleArgument(the play,List([25, 33)))	Relation(published in,List([62, 71), [72, 74)))	SpatialArgument(Mannin,List([75, 81)))	Kinley was the author of the play, Ellie's Stranger, first published in Mannin, the journal and the Manx Language Society, in November 1916.
0.9383119524695255		SimpleArgument(William Clucas Kinley,List([0, 6)))	Relation(was,List([7, 10)))	SimpleArgument(the author of the play,List([11, 33)))	Kinley was the author of the play, Ellie's Stranger, first published in Mannin, the journal and the Manx Language Society, in November 1916.
0.45592395356914683		SimpleArgument(it,List([0, 2)))	Relation(to come behind,List([14, 21), [22, 28)))	SimpleArgument(the plays of John Kneen,List([29, 52)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
