0.6560783464719421		SimpleArgument(PesticidePro.com,List([0, 16)))	Relation(is,List([17, 19)))	SimpleArgument(home to the National Pesticide Business Association,List([20, 71)))	PesticidePro.com is home to the National Pesticide Business Association, NPBA.
0.9256263201643982		SimpleArgument(a proactive , independent organization,List([71, 109)))	Relation(dedicated to,List([110, 119), [120, 122)))	SimpleArgument(enhancing professionalism in the industry,List([123, 164)))	Pesticide Professionals at PesticidePro.com was established in 2009 as a proactive, independent organization dedicated to enhancing professionalism in the industry; while promoting long-term safety of the technicians and environment.
0.8806287640157362		SimpleArgument(Pesticide Professionals at PesticidePro.com,List([0, 43)))	Relation(was established as,List([44, 59), [68, 70)))	SimpleArgument(a proactive , independent organization,List([71, 109)))	Pesticide Professionals at PesticidePro.com was established in 2009 as a proactive, independent organization dedicated to enhancing professionalism in the industry; while promoting long-term safety of the technicians and environment.
0.7947428580413749		SimpleArgument(Pesticide Professionals at PesticidePro.com,List([0, 43)))	Relation(was established as a proactive , independent organization in,List([44, 59), [60, 96), [97, 109)))	TemporalArgument(2009,List([63, 67)))	Pesticide Professionals at PesticidePro.com was established in 2009 as a proactive, independent organization dedicated to enhancing professionalism in the industry; while promoting long-term safety of the technicians and environment.
0.3490079869984017	Context(We to also begin,List([0, 21)))	SimpleArgument(We,List([0, 2)))	Relation(to also begin providing,List([8, 21), [22, 31)))	SimpleArgument(business solutions,List([32, 50)))	We grew to also begin providing business solutions to support the financial success of owners / operators in the industry.
0.4622989072601644		SimpleArgument(We,List([0, 2)))	Relation(to also begin,List([8, 21)))	SimpleArgument(providing business solutions to support the financial success of owners / operators in the industry,List([22, 121)))	We grew to also begin providing business solutions to support the financial success of owners / operators in the industry.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION,List([7, 66)))	We are the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION, NBPA- for Lawn, Tree, Pest, Golf and Agricultural business owners and operators.
0.6138676038426771		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION , NBPA - for Agricultural,List([7, 92)))	We are the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION, NBPA- for Lawn, Tree, Pest, Golf and Agricultural business owners and operators.
0.6138676038426771		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION , NBPA - for Pest,List([7, 84)))	We are the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION, NBPA- for Lawn, Tree, Pest, Golf and Agricultural business owners and operators.
0.6138676038426771		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION , NBPA,List([7, 73)))	We are the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION, NBPA- for Lawn, Tree, Pest, Golf and Agricultural business owners and operators.
0.6138676038426771		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION , NBPA - for Lawn,List([7, 84)))	We are the creators of the NATIONAL PESTICIDE BUSINESS ASSOCIATION, NBPA- for Lawn, Tree, Pest, Golf and Agricultural business owners and operators.
0.1273814832686296	Context(We support,List([0, 10)))	SimpleArgument(We,List([0, 2)))	Relation(support operators by providing business solutions at,List([3, 10), [11, 23), [24, 42), [43, 52)))	SpatialArgument(PesticidePro.com,List([72, 88)))	We support owners and operators by providing business solutions via our website at PesticidePro.com
0.3880890333449538	Context(We support,List([0, 10)))	SimpleArgument(We,List([0, 2)))	Relation(support operators by providing,List([3, 10), [11, 23)))	SimpleArgument(business solutions,List([34, 52)))	We support owners and operators by providing business solutions via our website at PesticidePro.com
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(support,List([3, 10)))	SimpleArgument(operators,List([11, 20)))	We support owners and operators by providing business solutions via our website at PesticidePro.com
0.1273814832686296	Context(We support,List([0, 10)))	SimpleArgument(We,List([0, 2)))	Relation(support owners by providing business solutions at,List([3, 10), [11, 20), [21, 39), [40, 49)))	SpatialArgument(PesticidePro.com,List([69, 85)))	We support owners and operators by providing business solutions via our website at PesticidePro.com
0.3880890333449538	Context(We support,List([0, 10)))	SimpleArgument(We,List([0, 2)))	Relation(support owners by providing,List([3, 10), [11, 20)))	SimpleArgument(business solutions,List([31, 49)))	We support owners and operators by providing business solutions via our website at PesticidePro.com
0.3880890333449538		SimpleArgument(We,List([0, 2)))	Relation(support,List([3, 10)))	SimpleArgument(owners,List([11, 17)))	We support owners and operators by providing business solutions via our website at PesticidePro.com
0.8095265650498232	Context(Members refer,List([0, 13)))	SimpleArgument(Members,List([0, 7)))	"Relation(refer to popular "" Virtual Corporate Staff "" page providing,List([8, 13), [14, 16)))"	SimpleArgument(supportive information organized by department,List([70, 116)))	"Members refer to the informational website and popular ""Virtual Corporate Staff"" page, providing supportive information organized by department."
0.8867887520784036		SimpleArgument(Members,List([0, 7)))	Relation(refer to,List([8, 13), [14, 16)))	"SimpleArgument(popular "" Virtual Corporate Staff "" page,List([17, 57)))"	"Members refer to the informational website and popular ""Virtual Corporate Staff"" page, providing supportive information organized by department."
0.8095265650498232	Context(Members refer,List([0, 13)))	SimpleArgument(Members,List([0, 7)))	"Relation(refer to the informational website "" Virtual Corporate Staff "" page providing,List([8, 13), [14, 16)))"	SimpleArgument(supportive information organized by department,List([88, 134)))	"Members refer to the informational website and popular ""Virtual Corporate Staff"" page, providing supportive information organized by department."
0.8867887520784036		SimpleArgument(Members,List([0, 7)))	Relation(refer to,List([8, 13), [14, 16)))	"SimpleArgument(the informational website "" Virtual Corporate Staff "" page,List([17, 75)))"	"Members refer to the informational website and popular ""Virtual Corporate Staff"" page, providing supportive information organized by department."
0.9030401971054747		SimpleArgument(supportive information,List([88, 110)))	Relation(organized by,List([111, 120), [121, 123)))	SimpleArgument(department,List([124, 134)))	"Members refer to the informational website and popular ""Virtual Corporate Staff"" page, providing supportive information organized by department."
0.8253106085824989	Context(■We seek to promote,List([22, 41)))	SimpleArgument(■We,List([22, 25)))	Relation(seek to promote professionalism to positively affect,List([26, 30), [31, 41), [42, 71)))	SimpleArgument(the industry,List([79, 91)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.8253106085824989	Context(■We seek,List([22, 30)))	SimpleArgument(■We,List([22, 25)))	Relation(seek to promote,List([26, 30), [31, 41)))	SimpleArgument(professionalism,List([42, 57)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.8253106085824989		SimpleArgument(■We,List([22, 25)))	Relation(seek to,List([26, 30), [31, 33)))	SimpleArgument(promote professionalism to positively affect the industry,List([34, 91)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.8253106085824989	Context(■We seek to promote,List([22, 41)))	SimpleArgument(■We,List([22, 25)))	Relation(seek to promote integrity to positively affect,List([26, 30), [31, 41), [42, 65)))	SimpleArgument(the industry,List([73, 85)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.8253106085824989	Context(■We seek,List([22, 30)))	SimpleArgument(■We,List([22, 25)))	Relation(seek to promote,List([26, 30), [31, 41)))	SimpleArgument(integrity,List([42, 51)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.8253106085824989		SimpleArgument(■We,List([22, 25)))	Relation(seek to,List([26, 30), [31, 33)))	SimpleArgument(promote integrity to positively affect the industry,List([34, 85)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.8253106085824989	Context(■We seek to promote,List([22, 41)))	SimpleArgument(■We,List([22, 25)))	Relation(seek to promote quality service delivery to positively affect,List([26, 30), [31, 41), [42, 66)))	SimpleArgument(the industry,List([88, 100)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.8253106085824989	Context(■We seek,List([22, 30)))	SimpleArgument(■We,List([22, 25)))	Relation(seek to promote,List([26, 30), [31, 41)))	SimpleArgument(quality service delivery,List([42, 66)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.8253106085824989		SimpleArgument(■We,List([22, 25)))	Relation(seek to,List([26, 30), [31, 33)))	SimpleArgument(promote quality service delivery to positively affect the industry,List([34, 100)))	What we stand for... ■We seek to promote quality service delivery, integrity and professionalism to positively affect the industry.
0.7194506903534185		SimpleArgument(■We,List([0, 3)))	Relation(understand,List([4, 14)))	SimpleArgument(there is a detailed set of regulations,List([15, 53)))	■We understand there is a detailed set of laws and regulations governing the use of pesticides and we support compliance.
0.8942434158739456		SimpleArgument(regulations,List([42, 53)))	Relation(governing,List([54, 63)))	SimpleArgument(the use of pesticides,List([64, 85)))	■We understand there is a detailed set of laws and regulations governing the use of pesticides and we support compliance.
0.7194506903534185		SimpleArgument(■We,List([0, 3)))	Relation(understand,List([4, 14)))	SimpleArgument(there is a detailed set of laws,List([15, 46)))	■We understand there is a detailed set of laws and regulations governing the use of pesticides and we support compliance.
0.8131408756488548		SimpleArgument(laws,List([42, 46)))	Relation(governing,List([47, 56)))	SimpleArgument(the use of pesticides,List([57, 78)))	■We understand there is a detailed set of laws and regulations governing the use of pesticides and we support compliance.
0.8550806581371961		SimpleArgument(■We,List([0, 3)))	Relation(believe in,List([4, 11), [12, 14)))	SimpleArgument(treating each employee with appropriate self - worth,List([15, 67)))	■We believe in treating each employee with dignity, respect and appropriate self-worth.
0.8550806581371961		SimpleArgument(■We,List([0, 3)))	Relation(believe in,List([4, 11), [12, 14)))	SimpleArgument(treating each employee with respect,List([15, 50)))	■We believe in treating each employee with dignity, respect and appropriate self-worth.
0.8550806581371961		SimpleArgument(■We,List([0, 3)))	Relation(believe in,List([4, 11), [12, 14)))	SimpleArgument(treating each employee with dignity,List([15, 50)))	■We believe in treating each employee with dignity, respect and appropriate self-worth.
0.8942434158739456		SimpleArgument(Companies,List([0, 9)))	Relation(can apply for,List([10, 19), [20, 23)))	SimpleArgument(membership via the online enrollment page at PesticidePro.com,List([24, 85)))	Companies can apply for membership via the online enrollment page at PesticidePro.com
