0.8035805246360428		SimpleArgument(the Founder & CEO of Inkjet Forum India,List([23, 62)))	Relation(founded in,List([63, 70), [71, 73)))	TemporalArgument(2010,List([74, 78)))	Aditya Chandavarkar is the Founder & CEO of Inkjet Forum India founded in 2010.
0.9527410621066101		SimpleArgument(Aditya Chandavarkar,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(the Founder & CEO of Inkjet Forum India,List([23, 62)))	Aditya Chandavarkar is the Founder & CEO of Inkjet Forum India founded in 2010.
0.908802502187375	Context(educational programs to help,List([53, 81)))	SimpleArgument(the Indian digital printing industry,List([82, 118)))	Relation(to understand,List([119, 132)))	SimpleArgument(technological application requirements,List([133, 171)))	Inkjet Forum India is a fresh initiative to organize conferences and educational programs to help the Indian digital printing industry to understand technological developments, markets and application requirements.
0.9228356673204889		SimpleArgument(educational programs,List([53, 73)))	Relation(to help,List([74, 81)))	SimpleArgument(the Indian digital printing industry to understand technological application requirements,List([82, 171)))	Inkjet Forum India is a fresh initiative to organize conferences and educational programs to help the Indian digital printing industry to understand technological developments, markets and application requirements.
0.9256263201643982		SimpleArgument(the Indian digital printing industry,List([82, 118)))	Relation(to understand,List([119, 132)))	SimpleArgument(technological markets,List([133, 154)))	Inkjet Forum India is a fresh initiative to organize conferences and educational programs to help the Indian digital printing industry to understand technological developments, markets and application requirements.
0.9256263201643982		SimpleArgument(the Indian digital printing industry,List([82, 118)))	Relation(to understand,List([119, 132)))	SimpleArgument(technological developments,List([133, 159)))	Inkjet Forum India is a fresh initiative to organize conferences and educational programs to help the Indian digital printing industry to understand technological developments, markets and application requirements.
0.9485955390117107		SimpleArgument(Inkjet Forum India,List([0, 18)))	Relation(is,List([19, 21)))	SimpleArgument(a fresh initiative to organize educational programs,List([22, 73)))	Inkjet Forum India is a fresh initiative to organize conferences and educational programs to help the Indian digital printing industry to understand technological developments, markets and application requirements.
0.9485955390117107		SimpleArgument(Inkjet Forum India,List([0, 18)))	Relation(is,List([19, 21)))	SimpleArgument(a fresh initiative to organize conferences,List([22, 64)))	Inkjet Forum India is a fresh initiative to organize conferences and educational programs to help the Indian digital printing industry to understand technological developments, markets and application requirements.
0.9990000128746033		SimpleArgument(Inkjet Forum,List([0, 0)))	Relation(brings,List([0, 0)))	SimpleArgument(more than 15 years,List(null))	This forum brings together more than 15 years of experience in organizing events & comprehensive knowledge of printing inks & technology to create a competent knowledge sharing platform.
0.9429092181652927		SimpleArgument(Inkjet Forum,List([0, 10)))	Relation(brings,List([11, 17)))	SimpleArgument(more than 15 years of experience in organizing events & comprehensive knowledge of printing inks & technology,List([27, 136)))	This forum brings together more than 15 years of experience in organizing events & comprehensive knowledge of printing inks & technology to create a competent knowledge sharing platform.
0.7614217007482424		SimpleArgument(Inkjet Forum,List([0, 10)))	Relation(brings more than 15 years of experience in organizing events & comprehensive knowledge of printing inks & technology,List([11, 17), [27, 136)))	SimpleArgument(together,List([18, 26)))	This forum brings together more than 15 years of experience in organizing events & comprehensive knowledge of printing inks & technology to create a competent knowledge sharing platform.
0.5733539311623552		SimpleArgument(He,List([0, 2)))	Relation(organizes,List([8, 17)))	"SimpleArgument(the ""Inkjet India"" annual conference series on UV inkjet printing, digital textile printing & novel inkjet applications,List([18, 137)))"	"He also organizes the ""Inkjet India"" annual conference series on UV inkjet printing, digital textile printing & novel inkjet applications."
0.3536345617184334		SimpleArgument(He,List([0, 2)))	Relation(to speak at,List([24, 32), [61, 63)))	SpatialArgument(FESPA 2012,List([64, 74)))	He was recently invited to speak at the Textile Talk Theatre at FESPA 2012.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(to speak at,List([24, 32), [33, 35)))	SpatialArgument(the Textile Talk Theatre,List([36, 60)))	He was recently invited to speak at the Textile Talk Theatre at FESPA 2012.
0.2724783810037946		SimpleArgument(He,List([0, 2)))	Relation(was invited to speak at the Textile Talk Theatre at FESPA 2012,List([3, 6), [16, 23), [24, 74)))	TemporalArgument(recently,List([7, 15)))	He was recently invited to speak at the Textile Talk Theatre at FESPA 2012.
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(was invited to,List([3, 6), [16, 23), [24, 26)))	SimpleArgument(speak at the Textile Talk Theatre at FESPA 2012,List([27, 74)))	He was recently invited to speak at the Textile Talk Theatre at FESPA 2012.
0.5680679595514976		SimpleArgument(He,List([0, 2)))	Relation(holds,List([3, 8)))	SimpleArgument(a Bachelor of Science degree in Biomedical Science,List([9, 59)))	He holds a Bachelor of Science degree in Biomedical Science from University of Central Lancashire, Preston and a Master of Science degree in Biotechnology from University of Manchester, UK.
0.9143456855143793		SimpleArgument(Coatings Pvt.,List([105, 118)))	Relation(manufactures coatings for,List([125, 137), [138, 146), [147, 150)))	SimpleArgument(varied applications,List([151, 170)))	In addition to overseeing operations at Inkjet Forum India, he is also a Director at Silversheen Inks & Coatings Pvt. which manufactures speciality screen printing inks & auxiliaries for the graphics industry and coatings for varied applications.
0.9143456855143793		SimpleArgument(Coatings Pvt.,List([105, 118)))	Relation(manufactures,List([125, 137)))	SimpleArgument(coatings,List([138, 146)))	In addition to overseeing operations at Inkjet Forum India, he is also a Director at Silversheen Inks & Coatings Pvt. which manufactures speciality screen printing inks & auxiliaries for the graphics industry and coatings for varied applications.
0.9143456855143793		SimpleArgument(Coatings Pvt.,List([105, 118)))	Relation(manufactures auxiliaries for,List([125, 137), [138, 149), [150, 153)))	SimpleArgument(varied applications,List([154, 173)))	In addition to overseeing operations at Inkjet Forum India, he is also a Director at Silversheen Inks & Coatings Pvt. which manufactures speciality screen printing inks & auxiliaries for the graphics industry and coatings for varied applications.
0.9143456855143793		SimpleArgument(Coatings Pvt.,List([105, 118)))	Relation(manufactures,List([125, 137)))	SimpleArgument(auxiliaries,List([138, 149)))	In addition to overseeing operations at Inkjet Forum India, he is also a Director at Silversheen Inks & Coatings Pvt. which manufactures speciality screen printing inks & auxiliaries for the graphics industry and coatings for varied applications.
0.9501539587834155		SimpleArgument(a Director at Silversheen Inks & Coatings Pvt.,List([72, 118)))	Relation(manufactures,List([125, 137)))	SimpleArgument(speciality screen printing inks,List([138, 169)))	In addition to overseeing operations at Inkjet Forum India, he is also a Director at Silversheen Inks & Coatings Pvt. which manufactures speciality screen printing inks & auxiliaries for the graphics industry and coatings for varied applications.
0.4978219019954182		SimpleArgument(He,List([61, 63)))	Relation(is also,List([64, 71)))	SimpleArgument(a Director at Silversheen Inks & Coatings Pvt.,List([72, 118)))	In addition to overseeing operations at Inkjet Forum India, he is also a Director at Silversheen Inks & Coatings Pvt. which manufactures speciality screen printing inks & auxiliaries for the graphics industry and coatings for varied applications.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the instrumental in the appointment of Silversheen Inks & Coatings Pvt Ltd as the authorised distributor for industrial associated ancillary products by Chimigraf Ibérica SL , Spain for the Indian subcontinent,List([7, 216)))	He was the instrumental in the appointment of Silversheen Inks & Coatings Pvt Ltd as the authorised distributor for graphic and industrial inkjet inks and associated ancillary products by Chimigraf Ibérica SL, Spain for the Indian subcontinent.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the instrumental in the appointment of Silversheen Inks & Coatings Pvt Ltd as the authorised distributor for graphic associated ancillary products by Chimigraf Ibérica SL , Spain for the Indian subcontinent,List([7, 213)))	He was the instrumental in the appointment of Silversheen Inks & Coatings Pvt Ltd as the authorised distributor for graphic and industrial inkjet inks and associated ancillary products by Chimigraf Ibérica SL, Spain for the Indian subcontinent.
