0.3607472239201407		SimpleArgument(You,List([0, 3)))	Relation(are,List([4, 7)))	SimpleArgument(here,List([8, 12)))	You are here Home » mgr inż.
0.9231150284355338		SimpleArgument(Wdrożenie Planu Rozwoju Eksportu w firmie GAMBIT Grupa Inwestycyjna Sp,List([1, 71)))	Relation(do dofinansowanie,List([107, 109), [155, 169)))	SimpleArgument(180 000,00 PLN PROJEKT WSPÓŁFINANSOWANY PRZEZ UNIĘ EUROPEJSKĄ Z EUROPEJSKIEGO FUNDUSZU ROZWOJU REGIONALNEGO w ramach Programu Operacyjnego Innowacyjna Gospodarka 2007 - 2013,List([170, 343)))	"„Wdrożenie Planu Rozwoju Eksportu w firmie GAMBIT Grupa Inwestycyjna Sp. z o.o."" Realizowany od 01/07/2012 do 30/06/2014 Wartość projektu: 360 000,00 PLN, dofinansowanie 180 000,00 PLN PROJEKT WSPÓŁFINANSOWANY PRZEZ UNIĘ EUROPEJSKĄ Z EUROPEJSKIEGO FUNDUSZU ROZWOJU REGIONALNEGO w ramach Programu Operacyjnego Innowacyjna Gospodarka 2007 - 2013."
0.9382554258342916		SimpleArgument(Paweł Schulz,List([0, 12)))	Relation(has graduated from Faculty of Chemistry at,List([13, 26), [27, 52), [53, 55)))	SpatialArgument(the University of Technology in Poznań,List([56, 94)))	Paweł Schulz has graduated from Faculty of Chemistry at the University of Technology in Poznań.
0.9382554258342916		SimpleArgument(Paweł Schulz,List([0, 12)))	Relation(has graduated from,List([13, 26), [27, 31)))	SimpleArgument(Faculty of Chemistry,List([32, 52)))	Paweł Schulz has graduated from Faculty of Chemistry at the University of Technology in Poznań.
0.5508709715731925		SimpleArgument(Paweł Schulz,List([13, 15)))	Relation(has been in charge of friction linings,List([16, 24), [25, 54)))	TemporalArgument(25 years,List([4, 12)))	Fir 25 years he has been in charge of sealing technology, high temperature insulation materials, as well as friction linings.
0.5961061943937731		SimpleArgument(Paweł Schulz,List([13, 15)))	Relation(has been in charge of friction linings,List([16, 24), [25, 54)))	TemporalArgument(Fir,List([0, 3)))	Fir 25 years he has been in charge of sealing technology, high temperature insulation materials, as well as friction linings.
0.45170382506656653		SimpleArgument(Paweł Schulz,List([13, 15)))	Relation(has been in,List([16, 24), [25, 27)))	SimpleArgument(charge of friction linings,List([28, 54)))	Fir 25 years he has been in charge of sealing technology, high temperature insulation materials, as well as friction linings.
0.5961061943937731		SimpleArgument(Paweł Schulz,List([13, 15)))	Relation(has been in charge of high temperature insulation materials,List([16, 24), [25, 75)))	TemporalArgument(Fir 25 years,List([0, 12)))	Fir 25 years he has been in charge of sealing technology, high temperature insulation materials, as well as friction linings.
0.45170382506656653		SimpleArgument(Paweł Schulz,List([13, 15)))	Relation(has been in,List([16, 24), [25, 27)))	SimpleArgument(charge of high temperature insulation materials,List([28, 75)))	Fir 25 years he has been in charge of sealing technology, high temperature insulation materials, as well as friction linings.
0.5961061943937731		SimpleArgument(Paweł Schulz,List([13, 15)))	Relation(has been in charge of sealing technology,List([16, 24), [25, 56)))	TemporalArgument(Fir 25 years,List([0, 12)))	Fir 25 years he has been in charge of sealing technology, high temperature insulation materials, as well as friction linings.
0.45170382506656653		SimpleArgument(Paweł Schulz,List([13, 15)))	Relation(has been in,List([16, 24), [25, 27)))	SimpleArgument(charge of sealing technology,List([28, 56)))	Fir 25 years he has been in charge of sealing technology, high temperature insulation materials, as well as friction linings.
0.6367319478431899		SimpleArgument(Paweł Schulz,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a co-author of 2 patents in the field of a few implementations to production,List([6, 82)))	He is a co-author of 2 patents in the field of sealings and a few implementations to production.
