0.4978219019954182		SimpleArgument(I,List({0}))	Relation('m also,List([1, 8)))	SimpleArgument(a Google Developer Expert for Android,List([9, 46)))	I'm also a Google Developer Expert for Android.
0.5926659981335703		SimpleArgument(I,List({118}))	Relation('ve been working both professionally since,List([103, 128), [129, 154), [155, 169)))	TemporalArgument(Jan 2011,List([109, 117)))	I have over 15 years Java experience, 12 of those years were spent working with J2EE technologies and since Jan 2011 I've been working with Android both privately and professionally.
0.5926659981335703		SimpleArgument(I,List({118}))	Relation('ve been working both privately since,List([103, 128), [129, 154), [155, 164)))	TemporalArgument(Jan 2011,List([109, 117)))	I have over 15 years Java experience, 12 of those years were spent working with J2EE technologies and since Jan 2011 I've been working with Android both privately and professionally.
0.9314904193639496		SimpleArgument(12 of those years,List([39, 56)))	Relation(were spent,List([57, 67)))	SimpleArgument(working with J2EE technologies,List([68, 98)))	I have over 15 years Java experience, 12 of those years were spent working with J2EE technologies and since Jan 2011 I've been working with Android both privately and professionally.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(have over,List([2, 6), [7, 11)))	SimpleArgument(15 years Java experience,List([12, 36)))	I have over 15 years Java experience, 12 of those years were spent working with J2EE technologies and since Jan 2011 I've been working with Android both privately and professionally.
0.8906741941974339		SimpleArgument(highlights,List([144, 154)))	Relation(include,List([155, 162)))	SimpleArgument(TAB,List([163, 166)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.8906741941974339		SimpleArgument(highlights,List([144, 154)))	Relation(include,List([155, 162)))	SimpleArgument(Gumtree Australia,List([163, 180)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.8906741941974339		SimpleArgument(highlights,List([144, 154)))	Relation(include,List([155, 162)))	SimpleArgument(Moshcam,List([163, 170)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.8906741941974339		SimpleArgument(highlights,List([144, 154)))	Relation(include,List([155, 162)))	SimpleArgument(WillyWeather,List([163, 175)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.8906741941974339		SimpleArgument(highlights,List([144, 154)))	Relation(include,List([155, 162)))	SimpleArgument(Embark,List([163, 169)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.8906741941974339		SimpleArgument(highlights,List([144, 154)))	Relation(include,List([155, 162)))	SimpleArgument(BIG W,List([163, 168)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.8906741941974339		SimpleArgument(highlights,List([144, 154)))	Relation(include,List([155, 162)))	SimpleArgument(Sydney Opera House,List([163, 181)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.8983121881724837	Context(highlights include,List([144, 162)))	SimpleArgument(the Projects section below,List([75, 101)))	Relation(has,List([102, 105)))	SimpleArgument(a full list of apps I 've worked on,List([106, 141)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.8906741941974339		SimpleArgument(highlights,List([144, 154)))	Relation(include,List([155, 162)))	SimpleArgument(Commonwealth Bank,List([163, 180)))	Please contact me should you need any Android development work completed, the Projects section below has a full list of apps I've worked on; highlights include Commonwealth Bank, Sydney Opera House, BIG W, Embark, WillyWeather, Moshcam, Gumtree Australia and TAB.
0.4165289098892234		SimpleArgument(I,List({0}))	Relation('m,List([2, 4)))	SimpleArgument(a Google I,List([5, 15)))	I'm a Google Developer Group Organiser (Sydney) and attended Google I/O 2013, 2014, 2015 & 2016.
0.9382554258342916		SimpleArgument(a Google,List([5, 13)))	Relation(attended,List([14, 22)))	SimpleArgument(Google,List([23, 29)))	I'm a Google Developer Group Organiser (Sydney) and attended Google I/O 2013, 2014, 2015 & 2016.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation('m,List([2, 4)))	SimpleArgument(a Google,List([5, 13)))	I'm a Google Developer Group Organiser (Sydney) and attended Google I/O 2013, 2014, 2015 & 2016.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation('m,List([2, 4)))	SimpleArgument(a Google Developer Group Organiser,List([5, 39)))	I'm a Google Developer Group Organiser (Sydney) and attended Google I/O 2013, 2014, 2015 & 2016.
