0.9527410621066101		SimpleArgument(Radical Act (film),List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a feature-length documentary by Tex Clark,List([15, 56)))	Radical Act is a feature-length documentary by Tex Clark.
0.952945494449658		SimpleArgument(Radical Act (film),List([14, 25)))	Relation(documents,List([26, 35)))	SimpleArgument(the contributions of female artists to the 1990s indie rock scene,List([36, 101)))	Shot in 1995, Radical Act documents the contributions of female artists to the 1990s indie rock scene.
0.8764188202601679	Context(She Wrote,List([272, 281)))	SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(The Butchies , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 219)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8764188202601679	Context(She Wrote,List([267, 276)))	SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Vitapup , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 214)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8764188202601679	Context(She Wrote,List([271, 280)))	SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Team Dresch , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 218)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8764188202601679	Context(She Wrote,List([272, 281)))	SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Melissa York , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 219)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8764188202601679	Context(She Wrote,List([277, 286)))	SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Gretchen Phillips , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 224)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8764188202601679	Context(She Wrote,List([272, 281)))	SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Toshi Reagon , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 219)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8902982953122027	Context(She Wrote,List([261, 270)))	SimpleArgument(Women,List([273, 278)))	Relation(Write,List([279, 284)))	SimpleArgument(About Rock,List([285, 295)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	"SimpleArgument(The Butchies , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell ( "" Mamarama : A Memoir of Kids n Roll "" and "" Rock She Wrote : Women Write About Rock , Pop "" ) , author Victoria "" Vicky "" Starr ( "" KD Lang : All You Get Is Me "" ) and Dr. Kay Turner,List([21, 405)))"	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.5282623903843621	Context(She Wrote,List([267, 276)))	SimpleArgument(All You Get,List([360, 371)))	Relation(Is,List([372, 374)))	SimpleArgument(Me,List([375, 377)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
