0.9449993708870406		SimpleArgument(Edward Henry John Craufurd,List([0, 26)))	Relation(was,List([62, 65)))	SimpleArgument(a Scottish Radical politician,List([66, 95)))	Edward Henry John Craufurd (9 December 1816 – 29 August 1881) was a Scottish Radical politician.
0.38089450366724514		SimpleArgument(Ayr,List([67, 70)))	Relation([is] Treasurer General of,List([73, 93)))	SimpleArgument(Sophia Marianne Churchill,List([94, 119)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.6783685094789625		SimpleArgument(Edward Henry John Craufurd Edward Henry John Craufurd (9 December 1816 – 29 August 1881),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the eldest son of John Craufurd of Kerse in the counties of Ayr , Treasurer General of Sophia Marianne Churchill,List([7, 119)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.38089450366724514		SimpleArgument(Renfrewshire,List([67, 79)))	Relation([is] Treasurer General of,List([82, 102)))	SimpleArgument(Sophia Marianne Churchill,List([103, 128)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.6783685094789625		SimpleArgument(Edward Henry John Craufurd Edward Henry John Craufurd (9 December 1816 – 29 August 1881),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the eldest son of John Craufurd of Kerse in the counties of Renfrewshire , Treasurer General of Sophia Marianne Churchill,List([7, 128)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.38089450366724514		SimpleArgument(Auchenames,List([42, 52)))	Relation([is] Treasurer General of,List([55, 75)))	SimpleArgument(Sophia Marianne Churchill,List([76, 101)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.38089450366724514		SimpleArgument(Ayr,List([67, 70)))	Relation([is] Treasurer General of,List([73, 93)))	SimpleArgument(the Ionian Islands,List([94, 112)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.6783685094789625		SimpleArgument(Edward Henry John Craufurd Edward Henry John Craufurd (9 December 1816 – 29 August 1881),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the eldest son of John Craufurd of Kerse in the counties of Ayr,List([7, 70)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.38089450366724514		SimpleArgument(Renfrewshire,List([67, 79)))	Relation([is] Treasurer General of,List([82, 102)))	SimpleArgument(the Ionian Islands,List([103, 121)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.6783685094789625		SimpleArgument(Edward Henry John Craufurd Edward Henry John Craufurd (9 December 1816 – 29 August 1881),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the eldest son of John Craufurd of Kerse in the counties of Renfrewshire,List([7, 79)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.38089450366724514		SimpleArgument(Auchenames,List([42, 52)))	Relation([is] Treasurer General of,List([55, 75)))	SimpleArgument(the Ionian Islands,List([76, 94)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
