0.9726855614196764		SimpleArgument(Manzarek - Krieger,List([0, 18)))	Relation(was,List([19, 22)))	SimpleArgument(an American rock band formed by two former members of The Doors , Robby Krieger , in 2002,List([23, 112)))	Manzarek–Krieger was an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger, in 2002.
0.9314904193639496		SimpleArgument(an American rock band,List([23, 44)))	Relation(formed by,List([45, 51), [52, 54)))	SimpleArgument(two former members of The Doors,List([55, 86)))	Manzarek–Krieger was an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger, in 2002.
0.9726855614196764		SimpleArgument(Manzarek - Krieger,List([0, 18)))	Relation(was,List([19, 22)))	SimpleArgument(an American rock band formed by two former members of The Doors , Ray Manzarek , in 2002,List([23, 111)))	Manzarek–Krieger was an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger, in 2002.
0.6155020116081594		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(were also known as,List([5, 20), [21, 23)))	SimpleArgument(Riders on the Storm,List([24, 43)))	They were also known as The Doors of the 21st Century, D21C, and Riders on the Storm.
0.5110386281769846		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(were known as D21C on,List([5, 9), [15, 20), [21, 28), [29, 31)))	SpatialArgument(the Storm,List([32, 41)))	They were also known as The Doors of the 21st Century, D21C, and Riders on the Storm.
0.5570598774676798		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(were known as,List([5, 9), [15, 20), [21, 23)))	SimpleArgument(D21C,List([24, 28)))	They were also known as The Doors of the 21st Century, D21C, and Riders on the Storm.
0.5570598774676798		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(were known as,List([5, 9), [15, 20), [21, 23)))	SimpleArgument(The Doors of the 21 st Century,List([24, 54)))	They were also known as The Doors of the 21st Century, D21C, and Riders on the Storm.
0.6082557990549734		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Robby Krieger of The Doors for legal reasons after,List([5, 12), [13, 66), [69, 74)))	TemporalArgument(acrimonious court battles between the two Doors co-songwriter / drummer,List([75, 146)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5520449397565844	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Robby Krieger of The Doors for,List([5, 12), [13, 21), [22, 48), [49, 52)))	SimpleArgument(legal reasons,List([53, 66)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.4458627011997391		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Robby Krieger of The Doors for legal reasons after,List([5, 12), [13, 66), [69, 74)))	TemporalArgument(acrimonious court battles between the two musicians,List([75, 126)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5972483701400537		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on,List([5, 12), [13, 15)))	SimpleArgument(using Robby Krieger of The Doors for legal reasons,List([16, 66)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
