0.9324144673478683		SimpleArgument(Waldemar,List([0, 8)))	Relation(works in,List([9, 14), [15, 17)))	SpatialArgument(Lublin,List([18, 24)))	Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland, lives and works in Lublin, Poland.
0.8934644291176528		SimpleArgument(Waldemar Tatarczuk,List([0, 18)))	Relation(born in,List([21, 25), [34, 36)))	SpatialArgument(Siemiatycze,List([37, 48)))	Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland, lives and works in Lublin, Poland.
0.7900566639584307		SimpleArgument(Waldemar Tatarczuk,List([0, 18)))	Relation(born in,List([21, 25), [26, 28)))	TemporalArgument(1964,List([29, 33)))	Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland, lives and works in Lublin, Poland.
0.5222094630377523		SimpleArgument(Waldemar Tatarczuk Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a installation artist,List([6, 27)))	He is a performance and installation artist, art curator, was the founder and curator of Performance Art Centre in Lublin (1999–2010), director of Galeria Labirynt (Labyrinth Gallery) in Lublin (since 2010).
0.5264558301022617		SimpleArgument(Waldemar Tatarczuk Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland,List([0, 2)))	Relation(was,List([43, 46)))	SimpleArgument(curator of Performance Art Centre,List([47, 80)))	He is a performance and installation artist, art curator, was the founder and curator of Performance Art Centre in Lublin (1999–2010), director of Galeria Labirynt (Labyrinth Gallery) in Lublin (since 2010).
0.38089450366724514		SimpleArgument(Lublin ( 1999-2010 ),List([88, 108)))	Relation([is] director of,List([111, 122)))	SimpleArgument(Galeria Labirynt ( Labyrinth Gallery ),List([123, 161)))	He is a performance and installation artist, art curator, was the founder and curator of Performance Art Centre in Lublin (1999–2010), director of Galeria Labirynt (Labyrinth Gallery) in Lublin (since 2010).
0.5222094630377523		SimpleArgument(Waldemar Tatarczuk Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a performance artist,List([6, 26)))	He is a performance and installation artist, art curator, was the founder and curator of Performance Art Centre in Lublin (1999–2010), director of Galeria Labirynt (Labyrinth Gallery) in Lublin (since 2010).
0.22506131975927415		SimpleArgument(Waldemar Tatarczuk Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland,List([0, 2)))	Relation(has been active as a performance artist since,List([3, 11), [12, 42), [43, 48)))	TemporalArgument(1988,List([49, 53)))	He has been active as a performance artist since 1988.
0.45170382506656653		SimpleArgument(Waldemar Tatarczuk Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland,List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(active as a performance artist,List([12, 42)))	He has been active as a performance artist since 1988.
0.4978219019954182		SimpleArgument(Waldemar Tatarczuk Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland,List([0, 2)))	Relation(has taken part in,List([3, 12), [13, 17), [18, 20)))	SpatialArgument(performance art events throughout Asia,List([21, 59)))	He has taken part in performance art events throughout Europe, North America and Asia including: Infr'action (Paris/France), Navinki (Minsk/Belarus), Asiatopia (Bangkok/Thailand), Open (Beijing/China) KIPAF (Seoul/South Korea), undisclosed territories (Solo/Indonesia), 7a*11d (Toronto/Canada), Differences (Warsaw/Poland), Interakcje (Piotrkow Trybunalski/Poland).
0.4978219019954182		SimpleArgument(Waldemar Tatarczuk Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland,List([0, 2)))	Relation(has taken part in,List([3, 12), [13, 17), [18, 20)))	SpatialArgument(performance art events throughout North America,List([21, 68)))	He has taken part in performance art events throughout Europe, North America and Asia including: Infr'action (Paris/France), Navinki (Minsk/Belarus), Asiatopia (Bangkok/Thailand), Open (Beijing/China) KIPAF (Seoul/South Korea), undisclosed territories (Solo/Indonesia), 7a*11d (Toronto/Canada), Differences (Warsaw/Poland), Interakcje (Piotrkow Trybunalski/Poland).
0.4978219019954182		SimpleArgument(Waldemar Tatarczuk Waldemar Tatarczuk, born in 1964 in Siemiatycze, Poland,List([0, 2)))	Relation(has taken part in,List([3, 12), [13, 17), [18, 20)))	SpatialArgument(performance art events throughout Europe,List([21, 61)))	He has taken part in performance art events throughout Europe, North America and Asia including: Infr'action (Paris/France), Navinki (Minsk/Belarus), Asiatopia (Bangkok/Thailand), Open (Beijing/China) KIPAF (Seoul/South Korea), undisclosed territories (Solo/Indonesia), 7a*11d (Toronto/Canada), Differences (Warsaw/Poland), Interakcje (Piotrkow Trybunalski/Poland).
