0.9449993708870406		SimpleArgument(May 27, 1932,List([34, 46)))	Relation(was,List([48, 51)))	SimpleArgument(a German economist,List([52, 70)))	Heinrich Herkner (June 27, 1863 – May 27, 1932) was a German economist.
0.9210233335200773		SimpleArgument(Bohemia,List([2, 9)))	Relation(died in,List([14, 18), [19, 21)))	SpatialArgument(Berlin,List([22, 28)))	Herkner was born in Liberec (German: Reichenberg), Bohemia and died in Berlin, Germany.
0.9210233335200773		SimpleArgument(Herkner,List([0, 7)))	Relation(died in,List([65, 69), [70, 72)))	SpatialArgument(Berlin,List([73, 79)))	Herkner was born in Liberec (German: Reichenberg), Bohemia and died in Berlin, Germany.
0.9324144673478683		SimpleArgument(Herkner,List([0, 7)))	Relation(was born in,List([8, 16), [17, 19)))	SpatialArgument(Liberec,List([20, 27)))	Herkner was born in Liberec (German: Reichenberg), Bohemia and died in Berlin, Germany.
0.9199923855291322		SimpleArgument(Herkner,List([0, 7)))	Relation(taught,List([8, 14)))	TemporalArgument(Karlsruhe ( Zürich ( 1898-1907,List([78, 108)))	Herkner taught as a professor at the universities of Freiburg (1890-1892), Karlsruhe (1892-1898), and Zürich (1898-1907), as well as the Technical University (1907-1913) and Frederick William University (1913-1932) of Berlin.
0.9000738595917936		SimpleArgument(Herkner,List([0, 7)))	Relation(taught at,List([8, 14), [30, 32)))	SpatialArgument(the universities of Freiburg,List([33, 61)))	Herkner taught as a professor at the universities of Freiburg (1890-1892), Karlsruhe (1892-1898), and Zürich (1898-1907), as well as the Technical University (1907-1913) and Frederick William University (1913-1932) of Berlin.
0.8704999223335219		SimpleArgument(a Marxist,List([23, 32)))	Relation(evolved,List([43, 50)))	TemporalArgument(later,List([37, 42)))	Herkner was originally a Marxist who later evolved towards realist views.
0.9384817092932993		SimpleArgument(Herkner,List([0, 7)))	Relation(was,List([8, 11)))	SimpleArgument(a Marxist,List([23, 32)))	Herkner was originally a Marxist who later evolved towards realist views.
0.7971095979125887		SimpleArgument(Herkner,List([0, 7)))	Relation(was a Marxist,List([8, 11), [23, 32)))	TemporalArgument(originally,List([12, 22)))	Herkner was originally a Marxist who later evolved towards realist views.
0.3010306049122031	Context(Alexandra found,List([0, 15)))	SimpleArgument(Alexandra Kollontai,List([16, 18)))	Relation(had become spent at,List([19, 35), [53, 55)))	SpatialArgument(Frederick William University (1913-1932) of Berlin,List([56, 70)))	"Alexandra Kollontai went to Zürich to study under him, but found he had become a ""revisionist"" and spent much of her time at the university contesting his views."
0.263652756827333	Context(Alexandra found,List([0, 15)))	SimpleArgument(Alexandra Kollontai,List([16, 18)))	Relation(had become spent,List([19, 35)))	SimpleArgument(much of her time,List([36, 52)))	"Alexandra Kollontai went to Zürich to study under him, but found he had become a ""revisionist"" and spent much of her time at the university contesting his views."
0.8887798956645899		SimpleArgument(Alexandra,List([0, 9)))	Relation(found,List([10, 15)))	SimpleArgument(he had become spent much of her time at the university contesting his views,List([16, 91)))	"Alexandra Kollontai went to Zürich to study under him, but found he had become a ""revisionist"" and spent much of her time at the university contesting his views."
0.39746064682094406	Context(Alexandra found,List([0, 15)))	SimpleArgument(Alexandra Kollontai,List([16, 18)))	Relation(had become,List([19, 29)))	"SimpleArgument(a "" revisionist,List([30, 45)))"	"Alexandra Kollontai went to Zürich to study under him, but found he had become a ""revisionist"" and spent much of her time at the university contesting his views."
0.8328590624724563		SimpleArgument(Alexandra,List([0, 9)))	Relation(found,List([10, 15)))	"SimpleArgument(he had become a "" revisionist,List([16, 45)))"	"Alexandra Kollontai went to Zürich to study under him, but found he had become a ""revisionist"" and spent much of her time at the university contesting his views."
0.7750460536631456	Context(Alexandra Kollontai went,List([0, 24)))	SimpleArgument(Alexandra Kollontai,List([0, 19)))	Relation(went to study under,List([20, 24), [35, 43), [44, 49)))	SpatialArgument(Alexandra Kollontai,List([50, 53)))	"Alexandra Kollontai went to Zürich to study under him, but found he had become a ""revisionist"" and spent much of her time at the university contesting his views."
0.7750460536631456		SimpleArgument(Alexandra Kollontai,List([0, 19)))	Relation(went to,List([20, 24), [35, 37)))	SimpleArgument(study under him,List([38, 53)))	"Alexandra Kollontai went to Zürich to study under him, but found he had become a ""revisionist"" and spent much of her time at the university contesting his views."
0.9212499880074402		SimpleArgument(Alexandra Kollontai,List([0, 19)))	Relation(went to,List([20, 24), [25, 27)))	SimpleArgument(Zürich,List([28, 34)))	"Alexandra Kollontai went to Zürich to study under him, but found he had become a ""revisionist"" and spent much of her time at the university contesting his views."
0.6783685094789625		SimpleArgument(Alexandra Kollontai,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a founding member of the German Society along with Max Georg Simmel,List([7, 74)))	He was a founding member of the German Society for Sociology and along with Max Weber, Ferdinand Tönnies and Georg Simmel on its first board.
0.5337666212575038		SimpleArgument(Alexandra Kollontai,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a founding member of the German Society along with Max Ferdinand Tönnies on its first board,List([7, 98)))	He was a founding member of the German Society for Sociology and along with Max Weber, Ferdinand Tönnies and Georg Simmel on its first board.
0.6783685094789625		SimpleArgument(Alexandra Kollontai,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a founding member of the German Society along with Max Weber,List([7, 67)))	He was a founding member of the German Society for Sociology and along with Max Weber, Ferdinand Tönnies and Georg Simmel on its first board.
0.5680679595514976		SimpleArgument(Alexandra Kollontai,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a founding member of the German Society,List([7, 46)))	He was a founding member of the German Society for Sociology and along with Max Weber, Ferdinand Tönnies and Georg Simmel on its first board.
