0.3853208301752743		SimpleArgument(Chairman,List([72, 80)))	Relation([is] businessman [from],List([59, 70)))	SimpleArgument(United Kingdom,List([51, 58)))	Sir Roger Martyn Carr (born 22 December 1946) is a British businessman, Chairman of BAE Systems.
0.9653436384802597		SimpleArgument(Sir Roger Martyn Carr (born 22 December 1946,List([0, 44)))	Relation(is,List([46, 48)))	SimpleArgument(a British businessman,List([49, 70)))	Sir Roger Martyn Carr (born 22 December 1946) is a British businessman, Chairman of BAE Systems.
0.9538634956324158		SimpleArgument(Sir Roger Martyn Carr,List([0, 21)))	Relation(born,List([23, 27)))	TemporalArgument(22 December 1946,List([28, 44)))	Sir Roger Martyn Carr (born 22 December 1946) is a British businessman, Chairman of BAE Systems.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(graduated with,List([3, 12), [13, 17)))	SimpleArgument(a BA in Business Studies from Nottingham Polytechnic,List([18, 70)))	He attended Nottingham High School and graduated with a BA in Business Studies from Nottingham Polytechnic, now Nottingham Trent University.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(attended,List([3, 11)))	SimpleArgument(Nottingham High School,List([12, 34)))	He attended Nottingham High School and graduated with a BA in Business Studies from Nottingham Polytechnic, now Nottingham Trent University.
0.3880890333449538	Context(Carr 's first period on a company board began he became,List([45, 154)))	SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(has been on,List([3, 11), [12, 14)))	SimpleArgument(the board of eight companies,List([15, 43)))	He has been on the board of eight companies: Carr's first period on a company board began in 1994 when he became CEO of Williams Holdings, he later became chairman of Thames Water in 1998.
0.9043133481067825	Context(he became,List([139, 154)))	SimpleArgument(Carr's first period on a company board,List([45, 83)))	Relation(began,List([84, 89)))	TemporalArgument(when he became CEO of Williams Holdings,List([98, 137)))	He has been on the board of eight companies: Carr's first period on a company board began in 1994 when he became CEO of Williams Holdings, he later became chairman of Thames Water in 1998.
0.8595491352944353	Context(he became,List([139, 154)))	SimpleArgument(Carr's first period on a company board,List([45, 83)))	Relation(began in,List([84, 89), [90, 92)))	TemporalArgument(1994,List([93, 97)))	He has been on the board of eight companies: Carr's first period on a company board began in 1994 when he became CEO of Williams Holdings, he later became chairman of Thames Water in 1998.
0.25239008486941794		SimpleArgument(Roger Carr (businessman),List([139, 141)))	Relation(became chairman of Thames Water,List([148, 154), [155, 179)))	TemporalArgument(later,List([142, 147)))	He has been on the board of eight companies: Carr's first period on a company board began in 1994 when he became CEO of Williams Holdings, he later became chairman of Thames Water in 1998.
0.1589549125329566		SimpleArgument(Roger Carr (businessman),List([139, 141)))	Relation(became chairman of Thames Water in,List([148, 154), [155, 179), [180, 182)))	TemporalArgument(1998,List([183, 187)))	He has been on the board of eight companies: Carr's first period on a company board began in 1994 when he became CEO of Williams Holdings, he later became chairman of Thames Water in 1998.
0.39213989408341976		SimpleArgument(Roger Carr (businessman),List([139, 141)))	Relation(became,List([148, 154)))	SimpleArgument(chairman of Thames Water,List([155, 179)))	He has been on the board of eight companies: Carr's first period on a company board began in 1994 when he became CEO of Williams Holdings, he later became chairman of Thames Water in 1998.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([103, 105)))	Relation(became,List([106, 112)))	SimpleArgument(CEO of Williams Holdings,List([113, 137)))	He has been on the board of eight companies: Carr's first period on a company board began in 1994 when he became CEO of Williams Holdings, he later became chairman of Thames Water in 1998.
0.9124405450386827		SimpleArgument(Roger Carr (businessman),List([48, 52)))	Relation(became the chairman of Chubb In,List([0, 2), [53, 75), [76, 81)))	TemporalArgument(2000 Williams Holdings demerged into Kidde,List([3, 45)))	In 2000 Williams Holdings demerged into Chubb and Kidde, Carr became the chairman of Chubb.
0.8672693270989391		SimpleArgument(Williams Holdings,List([8, 25)))	Relation(demerged into Kidde In,List([0, 2), [26, 39), [40, 45)))	TemporalArgument(2000,List([3, 7)))	In 2000 Williams Holdings demerged into Chubb and Kidde, Carr became the chairman of Chubb.
0.9382554258342916		SimpleArgument(Williams Holdings,List([8, 25)))	Relation(demerged into,List([26, 34), [35, 39)))	SimpleArgument(Kidde,List([40, 45)))	In 2000 Williams Holdings demerged into Chubb and Kidde, Carr became the chairman of Chubb.
0.9124405450386827		SimpleArgument(Roger Carr (businessman),List([48, 52)))	Relation(became the chairman of Chubb In,List([0, 2), [53, 75), [76, 81)))	TemporalArgument(2000 Williams Holdings demerged into Chubb,List([3, 45)))	In 2000 Williams Holdings demerged into Chubb and Kidde, Carr became the chairman of Chubb.
0.876543225140763		SimpleArgument(Roger Carr (businessman),List([48, 52)))	Relation(became,List([53, 59)))	SimpleArgument(the chairman of Chubb,List([60, 81)))	In 2000 Williams Holdings demerged into Chubb and Kidde, Carr became the chairman of Chubb.
0.8672693270989391		SimpleArgument(Williams Holdings,List([8, 25)))	Relation(demerged into Chubb In,List([0, 2), [26, 39), [40, 45)))	TemporalArgument(2000,List([3, 7)))	In 2000 Williams Holdings demerged into Chubb and Kidde, Carr became the chairman of Chubb.
