0.8592111619294878		SimpleArgument(Urologist,List([41, 50)))	Relation(practicing,List([61, 71)))	TemporalArgument(currently,List([51, 60)))	Jorge Echenique, MD is a board certified Urologist currently practicing in Miami, Florida.
0.9210233335200773		SimpleArgument(Urologist,List([41, 50)))	Relation(practicing in,List([61, 71), [72, 74)))	SpatialArgument(Miami,List([75, 80)))	Jorge Echenique, MD is a board certified Urologist currently practicing in Miami, Florida.
0.9647009540301618		SimpleArgument(Jorge Echenique,List([0, 15)))	Relation(is,List([20, 22)))	SimpleArgument(a board certified Urologist currently practicing in Miami, Florida,List([23, 89)))	Jorge Echenique, MD is a board certified Urologist currently practicing in Miami, Florida.
0.6071243052299852		SimpleArgument(Dr. Echenique,List([0, 2)))	Relation(completed respectively at,List([3, 12), [25, 27), [110, 122)))	SpatialArgument(Emory University School of Medicine Affiliated Hospitals in General Adult in 1988,List([28, 109)))	He received his medical degree from the Emory University School of Medicine in 1982 and completed residencies at Emory University School of Medicine Affiliated Hospitals in General Surgery and Adult and Pediatric Urology in 1984 and 1988 respectively.
0.6138676038426771		SimpleArgument(Dr. Echenique,List([0, 2)))	Relation(completed residencies at,List([3, 12), [13, 24), [25, 27)))	SpatialArgument(Emory University School of Medicine Affiliated Hospitals in General Surgery in 1988 respectively,List([28, 124)))	He received his medical degree from the Emory University School of Medicine in 1982 and completed residencies at Emory University School of Medicine Affiliated Hospitals in General Surgery and Adult and Pediatric Urology in 1984 and 1988 respectively.
0.6071243052299852		SimpleArgument(Dr. Echenique,List([0, 2)))	Relation(completed respectively at,List([3, 12), [25, 27), [110, 122)))	SpatialArgument(Emory University School of Medicine Affiliated Hospitals in General Adult in 1984,List([28, 109)))	He received his medical degree from the Emory University School of Medicine in 1982 and completed residencies at Emory University School of Medicine Affiliated Hospitals in General Surgery and Adult and Pediatric Urology in 1984 and 1988 respectively.
0.6138676038426771		SimpleArgument(Dr. Echenique,List([0, 2)))	Relation(completed residencies at,List([3, 12), [13, 24), [25, 27)))	SpatialArgument(Emory University School of Medicine Affiliated Hospitals in General Surgery in 1984 respectively,List([28, 124)))	He received his medical degree from the Emory University School of Medicine in 1982 and completed residencies at Emory University School of Medicine Affiliated Hospitals in General Surgery and Adult and Pediatric Urology in 1984 and 1988 respectively.
0.45170382506656653		SimpleArgument(Dr. Echenique,List([0, 2)))	Relation(completed,List([3, 12)))	SimpleArgument(residencies,List([13, 24)))	He received his medical degree from the Emory University School of Medicine in 1982 and completed residencies at Emory University School of Medicine Affiliated Hospitals in General Surgery and Adult and Pediatric Urology in 1984 and 1988 respectively.
0.44469037867649003		SimpleArgument(Dr. Echenique,List([0, 2)))	Relation(completed respectively,List([3, 12), [90, 102)))	SimpleArgument(residencies,List([13, 24)))	He received his medical degree from the Emory University School of Medicine in 1982 and completed residencies at Emory University School of Medicine Affiliated Hospitals in General Surgery and Adult and Pediatric Urology in 1984 and 1988 respectively.
0.4978219019954182		SimpleArgument(Dr. Echenique,List([0, 2)))	Relation(received his medical degree from,List([3, 11), [12, 30), [31, 35)))	SimpleArgument(the Emory University School of Medicine in 1982,List([36, 83)))	He received his medical degree from the Emory University School of Medicine in 1982 and completed residencies at Emory University School of Medicine Affiliated Hospitals in General Surgery and Adult and Pediatric Urology in 1984 and 1988 respectively.
0.30899953469486874		SimpleArgument(Dr. Echenique,List([0, 2)))	Relation(received,List([3, 11)))	SimpleArgument(his medical degree,List([12, 30)))	He received his medical degree from the Emory University School of Medicine in 1982 and completed residencies at Emory University School of Medicine Affiliated Hospitals in General Surgery and Adult and Pediatric Urology in 1984 and 1988 respectively.
0.9277724913494431		SimpleArgument(Dr. Echenique,List([0, 13)))	Relation(served as Chief Resident in,List([19, 25), [26, 43), [44, 46)))	SpatialArgument(Urology,List([47, 54)))	Dr. Echenique also served as Chief Resident in Urology from 1987 to 1988.
0.9277724913494431		SimpleArgument(Dr. Echenique,List([0, 13)))	Relation(served as,List([19, 25), [26, 28)))	SimpleArgument(Chief Resident,List([29, 43)))	Dr. Echenique also served as Chief Resident in Urology from 1987 to 1988.
0.9161623033303347		SimpleArgument(Dr. Echenique,List([22, 41)))	Relation(has been in since,List([42, 50), [51, 53), [79, 84)))	TemporalArgument(August , 1988,List([85, 98)))	Licensed in Florida and Georgia, Dr. Jorge Echenique has been in Private Practice Urology since August, 1988.
0.9436221120476838		SimpleArgument(Dr. Echenique,List([22, 41)))	Relation(has been in,List([42, 50), [51, 53)))	TemporalArgument(Adult and Pediatric Urology,List([54, 78)))	Licensed in Florida and Georgia, Dr. Jorge Echenique has been in Private Practice Urology since August, 1988.
