0.9340463819568752		SimpleArgument(Stephen Warshall,List([0, 16)))	Relation(was,List([57, 60)))	SimpleArgument(an American computer scientist,List([61, 91)))	Stephen Warshall (November 15, 1935 – December 11, 2006) was an American computer scientist.
0.9013224092947626		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out development in operations research During,List([0, 36), [37, 66), [67, 75)))	TemporalArgument(his career,List([7, 17)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out,List([29, 40)))	SimpleArgument(development in operations research,List([41, 75)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out development in,List([29, 40), [41, 52), [53, 55)))	SpatialArgument(language design,List([56, 71)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9013224092947626		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out development During,List([0, 36), [37, 40), [41, 52)))	TemporalArgument(his career,List([7, 17)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out development in,List([29, 40), [41, 52), [53, 55)))	SpatialArgument(compiler design,List([56, 71)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out,List([29, 40)))	SimpleArgument(development,List([41, 52)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9013224092947626		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out development in operating systems During,List([0, 36), [37, 65), [66, 73)))	TemporalArgument(his career,List([7, 17)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out,List([29, 40)))	SimpleArgument(development in operating systems,List([41, 73)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9013224092947626		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out research in operations research During,List([0, 36), [37, 63), [64, 72)))	TemporalArgument(his career,List([7, 17)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out,List([29, 40)))	SimpleArgument(research in operations research,List([41, 72)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9013224092947626		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out research in language design During,List([0, 36), [37, 61), [62, 68)))	TemporalArgument(his career,List([7, 17)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out,List([29, 40)))	SimpleArgument(research in language design,List([41, 68)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9013224092947626		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out research in compiler design During,List([0, 36), [37, 61), [62, 68)))	TemporalArgument(his career,List([7, 17)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out,List([29, 40)))	SimpleArgument(research in compiler design,List([41, 68)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9013224092947626		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out research in operating systems During,List([0, 36), [37, 62), [63, 70)))	TemporalArgument(his career,List([7, 17)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9197759696552441		SimpleArgument(Stephen Warshall,List([20, 28)))	Relation(carried out,List([29, 40)))	SimpleArgument(research in operating systems,List([41, 70)))	During his career, Warshall carried out research and development in operating systems, compiler design, language design, and operations research.
0.9324144673478683		SimpleArgument(Stephen Warshall,List([0, 8)))	Relation(died on,List([9, 13), [14, 16)))	TemporalArgument(December 11,List([17, 28)))	Warshall died on December 11, 2006 of cancer at his home in Gloucester, Massachusetts.
0.3853208301752743		SimpleArgument(Sarah Dunlap,List([29, 41)))	Relation([is] wife [of],List([22, 26)))	SimpleArgument(him,List([18, 21)))	He is survived by his wife, Sarah Dunlap, and two children, Andrew D. Warshall and Sophia V. Z. Warshall.
0.30899953469486874		SimpleArgument(Stephen Warshall,List([0, 2)))	Relation(is survived by,List([3, 14), [15, 17)))	SimpleArgument(his wife,List([18, 26)))	He is survived by his wife, Sarah Dunlap, and two children, Andrew D. Warshall and Sophia V. Z. Warshall.
