0.8437742409533863		SimpleArgument(Metrowest 's Genesis dealership,List([0, 31)))	Relation(Established in,List([32, 43), [44, 46)))	TemporalArgument(1918,List([47, 51)))	Metrowest's Premier Hyundai and Genesis dealership Established in 1918.
0.8847999636040884		SimpleArgument(Hyundai dealership,List([21, 39)))	Relation([is] Premier [of],List([13, 20)))	SimpleArgument(Metrowest,List([0, 9)))	Metrowest's Premier Hyundai and Genesis dealership Established in 1918.
0.8560934582575079		SimpleArgument(Metrowest 's Premier Hyundai dealership,List([0, 39)))	Relation(Established in,List([40, 51), [52, 54)))	TemporalArgument(1918,List([55, 59)))	Metrowest's Premier Hyundai and Genesis dealership Established in 1918.
0.7107293693420784		SimpleArgument(Herb Connolly,List([49, 62)))	Relation(sold his first new car in,List([68, 72), [73, 90), [104, 106)))	TemporalArgument(1918,List([107, 111)))	We were established as a new car dealership when Herb Connolly, Sr. sold his first new car, a Chrysler, in 1918.
0.8848887142327476		SimpleArgument(Herb Connolly,List([49, 62)))	Relation(sold,List([68, 72)))	SimpleArgument(his first new car,List([73, 90)))	We were established as a new car dealership when Herb Connolly, Sr. sold his first new car, a Chrysler, in 1918.
0.46321337686369213		SimpleArgument(Herb Connolly Auto Group,List([0, 2)))	Relation(were established as a new car dealership,List([3, 19), [20, 43)))	TemporalArgument(when Herb Connolly, Sr. sold his first new car, a Chrysler, in 1918,List([44, 111)))	We were established as a new car dealership when Herb Connolly, Sr. sold his first new car, a Chrysler, in 1918.
0.45170382506656653		SimpleArgument(Herb Connolly Auto Group,List([0, 2)))	Relation(were established as,List([3, 19), [20, 22)))	SimpleArgument(a new car dealership,List([23, 43)))	We were established as a new car dealership when Herb Connolly, Sr. sold his first new car, a Chrysler, in 1918.
0.3853208301752743		SimpleArgument(Herb Connolly,List([105, 118)))	Relation([is] son [of],List([100, 103)))	SimpleArgument(Him,List([96, 99)))	Herb Connolly Automotive was founded in 1918 as Connolly's Aberdeen Garage by Herb Connolly Sr. His son, Herb Connolly, Jr. took over in 1940 when Herb Sr. died unexpectedly.
0.5991724806723348		SimpleArgument(His son,List([96, 103)))	Relation(took over,List([124, 133)))	TemporalArgument(when Herb Sr. died unexpectedly,List([142, 173)))	Herb Connolly Automotive was founded in 1918 as Connolly's Aberdeen Garage by Herb Connolly Sr. His son, Herb Connolly, Jr. took over in 1940 when Herb Sr. died unexpectedly.
0.3444466732705899		SimpleArgument(His son,List([96, 103)))	Relation(took over in,List([124, 133), [134, 136)))	TemporalArgument(1940,List([137, 141)))	Herb Connolly Automotive was founded in 1918 as Connolly's Aberdeen Garage by Herb Connolly Sr. His son, Herb Connolly, Jr. took over in 1940 when Herb Sr. died unexpectedly.
0.9048754629881668		SimpleArgument(Herb Connolly Auto Group,List([0, 24)))	Relation(was founded as,List([25, 36), [45, 47)))	TemporalArgument(Connolly's Aberdeen Garage by Herb Connolly Sr. His son, Herb Connolly, Jr. took over in 1940,List([48, 141)))	Herb Connolly Automotive was founded in 1918 as Connolly's Aberdeen Garage by Herb Connolly Sr. His son, Herb Connolly, Jr. took over in 1940 when Herb Sr. died unexpectedly.
