0.9383119524695255		SimpleArgument(Vicki,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(a licensed specialist in school psychology,List([9, 51)))	Vicki is a licensed specialist in school psychology.
0.5961061943937731		SimpleArgument(Vicki Thompson Vicki,List([90, 93)))	Relation(specializes in case management for students with disabilities,List([94, 105), [106, 155)))	SpatialArgument(the Grapevine - Colleyville Independent School District,List([28, 83)))	She has been in this role for over 20 years and is currently working in the Grapevine-Colleyville Independent School District where she specializes in educational assessments and case management for students with disabilities.
0.45170382506656653		SimpleArgument(Vicki Thompson Vicki,List([90, 93)))	Relation(specializes in,List([94, 105), [106, 108)))	SimpleArgument(case management for students with disabilities,List([109, 155)))	She has been in this role for over 20 years and is currently working in the Grapevine-Colleyville Independent School District where she specializes in educational assessments and case management for students with disabilities.
0.5961061943937731		SimpleArgument(Vicki Thompson Vicki,List([90, 93)))	Relation(specializes in educational assessments,List([94, 105), [106, 132)))	SpatialArgument(the Grapevine - Colleyville Independent School District,List([28, 83)))	She has been in this role for over 20 years and is currently working in the Grapevine-Colleyville Independent School District where she specializes in educational assessments and case management for students with disabilities.
0.45170382506656653		SimpleArgument(Vicki Thompson Vicki,List([90, 93)))	Relation(specializes in,List([94, 105), [106, 108)))	SimpleArgument(educational assessments,List([109, 132)))	She has been in this role for over 20 years and is currently working in the Grapevine-Colleyville Independent School District where she specializes in educational assessments and case management for students with disabilities.
0.22015391053105568		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(is working,List([4, 6), [17, 24)))	TemporalArgument(currently,List([7, 16)))	She has been in this role for over 20 years and is currently working in the Grapevine-Colleyville Independent School District where she specializes in educational assessments and case management for students with disabilities.
0.3929209860966329		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(is working in,List([4, 6), [17, 24), [25, 27)))	SpatialArgument(the Grapevine - Colleyville Independent School District,List([28, 83)))	She has been in this role for over 20 years and is currently working in the Grapevine-Colleyville Independent School District where she specializes in educational assessments and case management for students with disabilities.
0.45170382506656653		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(has been in this role for,List([4, 12), [13, 25), [26, 29)))	TemporalArgument(over 20 years,List([30, 43)))	She has been in this role for over 20 years and is currently working in the Grapevine-Colleyville Independent School District where she specializes in educational assessments and case management for students with disabilities.
0.45170382506656653		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(has been in,List([4, 12), [13, 15)))	SimpleArgument(this role,List([16, 25)))	She has been in this role for over 20 years and is currently working in the Grapevine-Colleyville Independent School District where she specializes in educational assessments and case management for students with disabilities.
0.928319312100383		SimpleArgument(Vicki 's life mission,List([0, 21)))	Relation(to help,List([31, 38)))	SimpleArgument(others,List([39, 45)))	Vicki's life mission has been to help others, especially children and adolescents in their life journey.
0.9387281236502384		SimpleArgument(Vicki 's life mission,List([0, 21)))	Relation(has been to,List([22, 30), [31, 33)))	SimpleArgument(help others,List([34, 45)))	Vicki's life mission has been to help others, especially children and adolescents in their life journey.
0.6381012045821894		SimpleArgument(Her experience,List([0, 14)))	Relation(includes,List([15, 23)))	SimpleArgument(working in counseling centers,List([24, 53)))	Her experience includes working in public schools, residential shelter and treatment facilities, psychiatric hospitals and counseling centers.
0.6381012045821894		SimpleArgument(Her experience,List([0, 14)))	Relation(includes,List([15, 23)))	SimpleArgument(working in psychiatric hospitals,List([24, 56)))	Her experience includes working in public schools, residential shelter and treatment facilities, psychiatric hospitals and counseling centers.
0.6381012045821894		SimpleArgument(Her experience,List([0, 14)))	Relation(includes,List([15, 23)))	SimpleArgument(working in facilities,List([24, 45)))	Her experience includes working in public schools, residential shelter and treatment facilities, psychiatric hospitals and counseling centers.
0.6381012045821894		SimpleArgument(Her experience,List([0, 14)))	Relation(includes,List([15, 23)))	SimpleArgument(working in treatment,List([24, 44)))	Her experience includes working in public schools, residential shelter and treatment facilities, psychiatric hospitals and counseling centers.
0.6381012045821894		SimpleArgument(Her experience,List([0, 14)))	Relation(includes,List([15, 23)))	SimpleArgument(working in residential shelter,List([24, 54)))	Her experience includes working in public schools, residential shelter and treatment facilities, psychiatric hospitals and counseling centers.
0.6381012045821894		SimpleArgument(Her experience,List([0, 14)))	Relation(includes,List([15, 23)))	SimpleArgument(working in public schools,List([24, 49)))	Her experience includes working in public schools, residential shelter and treatment facilities, psychiatric hospitals and counseling centers.
0.9485479188231729		SimpleArgument(Vicki's undergraduate degree,List([0, 28)))	Relation(is in,List([29, 31), [32, 34)))	SimpleArgument(Music Therapy,List([35, 48)))	Vicki's undergraduate degree is in Music Therapy from the University of Minnesota.
0.3929209860966329		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(received her master 's degree from,List([4, 12), [13, 32), [54, 58)))	SimpleArgument(the University of Wisconsin-River Falls,List([59, 98)))	She received her master's degree in School Psychology from the University of Wisconsin-River Falls.
0.4978219019954182		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(received her master 's degree in,List([4, 12), [13, 32), [33, 35)))	SpatialArgument(School Psychology,List([36, 53)))	She received her master's degree in School Psychology from the University of Wisconsin-River Falls.
0.30899953469486874		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(received,List([4, 12)))	SimpleArgument(her master's degree,List([13, 32)))	She received her master's degree in School Psychology from the University of Wisconsin-River Falls.
0.6783685094789625		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a licensed specialist in a licensed professional counselor in the state of Texas,List([7, 87)))	She is a licensed specialist in school psychology and a licensed professional counselor in the state of Texas.
0.5222094630377523		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a licensed specialist in school psychology,List([7, 49)))	She is a licensed specialist in school psychology and a licensed professional counselor in the state of Texas.
0.9324144673478683		SimpleArgument(Vicki Thompson Vicki,List([0, 5)))	Relation(serves on,List([6, 12), [13, 15)))	SimpleArgument(the advisory board of directors for Isaiah 's Place,List([16, 67)))	Vicki serves on the advisory board of directors for Isaiah's Place, Lilies of the Valley and Leadership Worth Following.
0.8103687806061152		SimpleArgument(a ministry,List([19, 29)))	Relation(focuses on,List([35, 42), [43, 45)))	SimpleArgument(enriching the lives of their families,List([46, 83)))	Isaiah's Place is a ministry that focuses on enriching the lives of the deaf community and their families.
0.8543915701693932		SimpleArgument(Isaiah's Place,List([0, 15)))	Relation(is,List([16, 18)))	SimpleArgument(a ministry that focuses on enriching the lives of their families,List([19, 83)))	Isaiah's Place is a ministry that focuses on enriching the lives of the deaf community and their families.
0.8872966301155124		SimpleArgument(a ministry,List([19, 29)))	Relation(focuses on,List([35, 42), [43, 45)))	SimpleArgument(enriching the lives of the deaf community,List([46, 87)))	Isaiah's Place is a ministry that focuses on enriching the lives of the deaf community and their families.
0.9153266745969415		SimpleArgument(Isaiah's Place,List([0, 15)))	Relation(is,List([16, 18)))	SimpleArgument(a ministry that focuses on enriching the lives of the deaf community,List([19, 87)))	Isaiah's Place is a ministry that focuses on enriching the lives of the deaf community and their families.
