0.9382554258342916		SimpleArgument(Hardware Store,List([35, 49)))	Relation(Located in,List([50, 57), [58, 60)))	SpatialArgument(Huntington,List([61, 71)))	Juergens Do-It Best Hardware is a Locally Owned Fourth Generation Full Service Paint and Hardware Store Located in Huntington, Indiana.
0.9112309152196717		SimpleArgument(Delivered Quality Service,List([35, 60)))	Relation(by Providing,List([78, 90)))	SimpleArgument(Color Window Repair , Re-Keying Lock - sets , Pond Chemicals , Propane Filling ( Including Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse,List([93, 255)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9125462839307745		SimpleArgument(Color Window Repair,List([93, 112)))	Relation(Re-Keying,List([115, 124)))	SimpleArgument(Lock - sets , Pond Chemicals , Propane Filling,List([125, 171)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9112309152196717		SimpleArgument(Delivered Quality Service,List([35, 60)))	Relation(by Providing,List([78, 90)))	SimpleArgument(Color Window Repair , Re-Keying Lock - sets , Pond Chemicals , Propane Filling ( UPS Shipping to Store on Any of the Over 70,000 items in Our Warehouse,List([93, 244)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9436110334354216		SimpleArgument(Color Window Repair,List([93, 112)))	Relation(Re-Keying,List([115, 124)))	SimpleArgument(Lock - sets , Pond Chemicals , Propane Filling ( Beekeeping Equipment to Store,List([125, 203)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9112309152196717		SimpleArgument(Delivered Quality Service,List([35, 60)))	Relation(by Providing,List([78, 90)))	SimpleArgument(Color Window Repair , Re-Keying Lock - sets , Pond Chemicals , Propane Filling ( Beekeeping Equipment to Store on Any of the Over 70,000 items in Our Warehouse,List([93, 252)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9008253265237032		SimpleArgument(Color Window Repair,List([93, 112)))	Relation(Re-Keying,List([115, 124)))	SimpleArgument(Lock - sets , Pond Chemicals , Propane Filling ( Canning to Store on Any of the Over 70,000 items in Our Warehouse,List([125, 239)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9112309152196717		SimpleArgument(Delivered Quality Service,List([35, 60)))	Relation(by Providing,List([78, 90)))	SimpleArgument(Color Window Repair , Re-Keying Lock - sets , Pond Chemicals , Propane Filling ( Canning to Store on Any of the Over 70,000 items in Our Warehouse,List([93, 239)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9008253265237032		SimpleArgument(Color Window Repair,List([93, 112)))	Relation(Re-Keying,List([115, 124)))	SimpleArgument(Lock - sets , Pond Chemicals , Propane Filling ( Rental to Store on Any of the Over 70,000 items in Our Warehouse,List([125, 238)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9112309152196717		SimpleArgument(Delivered Quality Service,List([35, 60)))	Relation(by Providing,List([78, 90)))	SimpleArgument(Color Window Repair , Re-Keying Lock - sets , Pond Chemicals , Propane Filling ( Rental to Store on Any of the Over 70,000 items in Our Warehouse,List([93, 238)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
0.9112309152196717		SimpleArgument(Delivered Quality Service,List([35, 60)))	Relation(by Providing,List([78, 90)))	SimpleArgument(Color Window Repair , Re-Keying Lock - sets , Pond Chemicals , Propane Filling ( Tool & Equipment to Store on Any of the Over 70,000 items in Our Warehouse,List([93, 248)))	Since 1946 The Juergens Family has Delivered Quality Service to the Community by Providing: Color Computer Paint Matching, Key Cutting, Pipe Threading, Blade Sharpening, Glass Cutting, Window Treatment Installation, Screen and Window Repair, Re-Keying Lock-sets, Pool and Pond Chemicals, Propane Filling (Including RVs), Tool & Equipment Rental, Canning and Food Preservation Supplies, Beekeeping Equipment, UPS Shipping, and Free Shipping to Store on Any of the Over 70,000 items in Our Warehouse.
