0.38089450366724514		SimpleArgument(LLP,List([55, 58)))	Relation([is] a founding member of,List([9, 29)))	SimpleArgument(Bolen Robinson & Ellis,List([30, 52)))	Chris is the managing partner and a founding member of Bolen Robinson & Ellis, LLP.
0.9040259452709256		SimpleArgument(Chris,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(a founding member of Bolen Robinson & Ellis,List([9, 52)))	Chris is the managing partner and a founding member of Bolen Robinson & Ellis, LLP.
0.8867237254315935		SimpleArgument(Chris,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(the managing partner,List([9, 29)))	Chris is the managing partner and a founding member of Bolen Robinson & Ellis, LLP.
0.4978219019954182		SimpleArgument(Christopher Ellis Chris,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(Georgetown University School of Law,List([18, 53)))	He graduated from Illinois Wesleyan University and Georgetown University School of Law.
0.4978219019954182		SimpleArgument(Christopher Ellis Chris,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(Illinois Wesleyan University,List([18, 46)))	He graduated from Illinois Wesleyan University and Georgetown University School of Law.
0.9489461080096143		SimpleArgument(One of Chris 's primary roles,List([0, 29)))	Relation(is to,List([30, 32), [33, 35)))	SimpleArgument(control the Firm 's high stakes litigation,List([36, 78)))	One of Chris's primary roles is to direct and control the Firm's high stakes litigation.
0.8675936798977921		SimpleArgument(One of Chris 's primary roles,List([0, 29)))	Relation(is to,List([30, 32), [33, 35)))	SimpleArgument(direct,List([36, 42)))	One of Chris's primary roles is to direct and control the Firm's high stakes litigation.
0.8550806581371961		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(has tried,List([6, 15)))	SimpleArgument(numerous cases,List([16, 30)))	Chris has tried numerous cases on behalf of both plaintiffs and defendants and argued multiple times before the appellate courts.
0.7939138237950305		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(argued before,List([6, 12), [28, 34)))	SpatialArgument(the appellate courts,List([35, 55)))	Chris has tried numerous cases on behalf of both plaintiffs and defendants and argued multiple times before the appellate courts.
0.8550806581371961		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(argued,List([6, 12)))	TemporalArgument(multiple times,List([13, 27)))	Chris has tried numerous cases on behalf of both plaintiffs and defendants and argued multiple times before the appellate courts.
0.8477538091726738		SimpleArgument(This unique experience,List([0, 22)))	Relation(gives Chris,List([23, 28), [29, 34)))	SimpleArgument(a unique perspective in his approach to litigation,List([35, 85)))	This unique experience gives Chris a unique perspective in his approach to litigation, allowing him to see all cases from both sides.
0.9250606141558615		SimpleArgument(This unique experience,List([0, 22)))	Relation(gives,List([23, 28)))	SimpleArgument(Christopher Ellis Chris,List([29, 34)))	This unique experience gives Chris a unique perspective in his approach to litigation, allowing him to see all cases from both sides.
0.5961061943937731		SimpleArgument(Christopher Ellis Chris,List([124, 126)))	Relation(has served as liaison counsel,List([127, 137), [138, 156)))	SpatialArgument(the United States,List([100, 117)))	Recently Chris has become actively involved in the prosecution of multiple class actions throughout the United States where he has served as lead counsel, liaison counsel and on various executive and steering committees.
0.45170382506656653		SimpleArgument(Christopher Ellis Chris,List([124, 126)))	Relation(has served as,List([127, 137), [138, 140)))	SimpleArgument(liaison counsel,List([141, 156)))	Recently Chris has become actively involved in the prosecution of multiple class actions throughout the United States where he has served as lead counsel, liaison counsel and on various executive and steering committees.
0.5961061943937731		SimpleArgument(Christopher Ellis Chris,List([124, 126)))	Relation(has served as lead counsel,List([127, 137), [138, 153)))	SpatialArgument(the United States,List([100, 117)))	Recently Chris has become actively involved in the prosecution of multiple class actions throughout the United States where he has served as lead counsel, liaison counsel and on various executive and steering committees.
0.45170382506656653		SimpleArgument(Christopher Ellis Chris,List([124, 126)))	Relation(has served as,List([127, 137), [138, 140)))	SimpleArgument(lead counsel,List([141, 153)))	Recently Chris has become actively involved in the prosecution of multiple class actions throughout the United States where he has served as lead counsel, liaison counsel and on various executive and steering committees.
