0.9413957910477321		SimpleArgument(Tom Gibbs Chevrolet,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(your one stop shop for all of your automotive needs,List([23, 74)))	Tom Gibbs Chevrolet is your one stop shop for all of your automotive needs.
0.263652756827333		SimpleArgument(we,List([39, 41)))	Relation(have,List([42, 46)))	SimpleArgument(you covered,List([47, 58)))	Whether it comes to new/used vehicle sales, automotive service or parts, or collision repair, we have you covered!
0.45170382506656653		SimpleArgument(it,List([8, 10)))	Relation(comes to,List([11, 16), [17, 19)))	SimpleArgument(new / used vehicle,List([20, 38)))	Whether it comes to new/used vehicle sales, automotive service or parts, or collision repair, we have you covered!
0.45170382506656653		SimpleArgument(it,List([8, 10)))	Relation(comes to,List([11, 16), [17, 19)))	SimpleArgument(new parts,List([20, 29)))	Whether it comes to new/used vehicle sales, automotive service or parts, or collision repair, we have you covered!
0.45170382506656653		SimpleArgument(it,List([8, 10)))	Relation(comes to,List([11, 16), [17, 19)))	SimpleArgument(new automotive service,List([20, 42)))	Whether it comes to new/used vehicle sales, automotive service or parts, or collision repair, we have you covered!
0.45170382506656653		SimpleArgument(it,List([8, 10)))	Relation(comes to,List([11, 16), [17, 19)))	SimpleArgument(new / used vehicle sales,List([20, 44)))	Whether it comes to new/used vehicle sales, automotive service or parts, or collision repair, we have you covered!
0.45170382506656653		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving the St. Johns County areas for,List([3, 28), [29, 55), [56, 59)))	TemporalArgument(over 35 years,List([60, 73)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.45170382506656653		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving the St. Johns County areas for,List([3, 28), [29, 55), [56, 59)))	TemporalArgument(over 35 years with high quality service,List([60, 99)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.4978219019954182		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving,List([3, 28)))	SimpleArgument(the St. Johns County areas,List([29, 55)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.45170382506656653		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving the Volusia County areas for,List([3, 28), [29, 53), [54, 57)))	TemporalArgument(over 35 years,List([58, 71)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.45170382506656653		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving the Volusia County areas for,List([3, 28), [29, 53), [54, 57)))	TemporalArgument(over 35 years with high quality service,List([58, 97)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.4978219019954182		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving,List([3, 28)))	SimpleArgument(the Volusia County areas,List([29, 53)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.45170382506656653		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving the Palm Coast areas for,List([3, 28), [29, 49), [50, 53)))	TemporalArgument(over 35 years,List([54, 67)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.45170382506656653		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving the Palm Coast areas for,List([3, 28), [29, 49), [50, 53)))	TemporalArgument(over 35 years with high quality service,List([54, 93)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.4978219019954182		SimpleArgument(we,List([0, 2)))	Relation(have been proudly serving,List([3, 28)))	SimpleArgument(the Palm Coast areas,List([29, 49)))	We have been proudly serving the Palm Coast, Volusia County, and St. Johns County areas for over 35 years with high quality service and a fine attention to customer satisfaction.
0.9329286852051247		SimpleArgument(The Gibbs family,List([0, 16)))	Relation(is deeply rooted in,List([17, 33), [34, 36)))	SimpleArgument(the automotive industry,List([37, 60)))	The Gibbs family is deeply rooted in the automotive industry.
0.8122899511540785		SimpleArgument(Tom Gibbs Chevrolet Tom Gibbs Chevrolet,List([0, 15)))	Relation(was established,List([16, 19), [31, 42)))	TemporalArgument(originally,List([20, 30)))	Gibbs Chevrolet was originally established in Adams, New York by Dennis Gibbs following the end of WWII.
0.8921158711221927		SimpleArgument(Tom Gibbs Chevrolet Tom Gibbs Chevrolet,List([0, 15)))	Relation(was established,List([16, 19), [31, 42)))	TemporalArgument(following the end of WWII,List([78, 103)))	Gibbs Chevrolet was originally established in Adams, New York by Dennis Gibbs following the end of WWII.
0.9084353254608957		SimpleArgument(Tom Gibbs Chevrolet Tom Gibbs Chevrolet,List([0, 15)))	Relation(was established by,List([16, 19), [31, 42), [62, 64)))	SimpleArgument(Dennis Gibbs,List([65, 77)))	Gibbs Chevrolet was originally established in Adams, New York by Dennis Gibbs following the end of WWII.
0.9084353254608957		SimpleArgument(Tom Gibbs Chevrolet Tom Gibbs Chevrolet,List([0, 15)))	Relation(was established in,List([16, 19), [31, 42), [43, 45)))	SpatialArgument(Adams, New York,List([46, 61)))	Gibbs Chevrolet was originally established in Adams, New York by Dennis Gibbs following the end of WWII.
0.9266232318014763		SimpleArgument(Dennis Gibbs,List([0, 10)))	Relation(continued,List([11, 20)))	SimpleArgument(the family business,List([21, 40)))	Sons Tom and Dave Gibbs moved to Palm Coast, FL. in 1979 and continued the family business (and to escape the snow!).
0.9143456855143793		SimpleArgument(Sons Tom,List([0, 8)))	Relation(to escape,List([45, 54)))	SimpleArgument(the snow,List([55, 63)))	Sons Tom and Dave Gibbs moved to Palm Coast, FL. in 1979 and continued the family business (and to escape the snow!).
0.9266232318014763		SimpleArgument(Sons Tom,List([0, 8)))	Relation(continued,List([9, 18)))	SimpleArgument(the family business,List([19, 38)))	Sons Tom and Dave Gibbs moved to Palm Coast, FL. in 1979 and continued the family business (and to escape the snow!).
0.9143456855143793		SimpleArgument(Dennis Gibbs,List([0, 10)))	Relation(to escape,List([50, 59)))	SimpleArgument(the snow,List([60, 68)))	Sons Tom and Dave Gibbs moved to Palm Coast, FL. in 1979 and continued the family business (and to escape the snow!).
0.8918329165024274		SimpleArgument(Dennis Gibbs,List([0, 10)))	Relation(moved to Palm Coast to,List([11, 16), [17, 30), [50, 52)))	SimpleArgument(escape the snow,List([53, 68)))	Sons Tom and Dave Gibbs moved to Palm Coast, FL. in 1979 and continued the family business (and to escape the snow!).
0.9382554258342916		SimpleArgument(Dennis Gibbs,List([0, 10)))	Relation(moved to,List([11, 16), [17, 19)))	SimpleArgument(Palm Coast,List([20, 30)))	Sons Tom and Dave Gibbs moved to Palm Coast, FL. in 1979 and continued the family business (and to escape the snow!).
0.7440220930148851		SimpleArgument(Sons Tom,List([0, 8)))	Relation(moved to Palm Coast in,List([9, 14), [15, 28), [36, 38)))	TemporalArgument(1979,List([39, 43)))	Sons Tom and Dave Gibbs moved to Palm Coast, FL. in 1979 and continued the family business (and to escape the snow!).
0.9382554258342916		SimpleArgument(Sons Tom,List([0, 8)))	Relation(moved to,List([9, 14), [15, 17)))	SimpleArgument(Palm Coast,List([18, 28)))	Sons Tom and Dave Gibbs moved to Palm Coast, FL. in 1979 and continued the family business (and to escape the snow!).
0.8734414717295694		SimpleArgument(Tom,List([29, 32)))	Relation(took aboard,List([33, 37), [68, 74)))	TemporalArgument(Following Dave 's retirement,List([0, 28)))	Following Dave's retirement Tom took his younger brother Bob Gibbs aboard, and the dealership has continued to grow!
