0.8437742409533863		SimpleArgument(Platform   About   Free Trial,List([0, 29)))	Relation(Need,List([33, 37)))	SimpleArgument(more,List([38, 42)))	Platform   About   Free Trial    Need more?
0.7614217007482424		SimpleArgument(This profile,List([86, 98)))	Relation(was updated,List([99, 102), [108, 115)))	TemporalArgument(last,List([103, 107)))	Try our Advanced Search (20+ criteria) »    Share   Tweet   Share   Email Last Update This profile was last updated on December 2, 2015 .
0.9046063563120077		SimpleArgument(This profile,List([86, 98)))	Relation(was updated,List([99, 102), [108, 115)))	TemporalArgument(Try our Advanced Search (20+ criteria) »    Share   Tweet   Share   Email Last Update,List([0, 85)))	Try our Advanced Search (20+ criteria) »    Share   Tweet   Share   Email Last Update This profile was last updated on December 2, 2015 .
0.8797652531099371		SimpleArgument(This profile,List([86, 98)))	Relation(was updated on,List([99, 102), [108, 115), [116, 118)))	TemporalArgument(December 2, 2015,List([119, 135)))	Try our Advanced Search (20+ criteria) »    Share   Tweet   Share   Email Last Update This profile was last updated on December 2, 2015 .
0.8847999636040884		SimpleArgument(HQ Phone,List([34, 42)))	Relation([is] Electric Company [of],List([17, 33)))	SimpleArgument(Lynette Bacolini,List([0, 16)))	Lynette Bacolini Safety Lead Pacific Gas And Electric Company HQ Phone: (415) 973-7000  Welcome to ZoomInfo Grow Sign Up For An Account + Get 5 more free contacts (one-time bonus) Have an account?
0.8847999636040884		SimpleArgument(Pacific Gas HQ Phone,List([29, 49)))	Relation([is] Safety Lead [of],List([17, 28)))	SimpleArgument(Lynette Bacolini,List([0, 16)))	Lynette Bacolini Safety Lead Pacific Gas And Electric Company HQ Phone: (415) 973-7000  Welcome to ZoomInfo Grow Sign Up For An Account + Get 5 more free contacts (one-time bonus) Have an account?
0.45170382506656653		SimpleArgument(It,List([0, 2)))	Relation(takes,List([3, 8)))	SimpleArgument(30 seconds,List([9, 19)))	Sign In  GET Lynette'S CONTACT INFO  It's free and takes 30 seconds!
0.27813615858960106		SimpleArgument(It,List([0, 2)))	Relation('s,List([3, 5)))	SimpleArgument(free,List([6, 10)))	Sign In  GET Lynette'S CONTACT INFO  It's free and takes 30 seconds!
0.9835874985114926		SimpleArgument(Electric Company 77 Beale StP O Box 770000 San Francisco , California 94177 United States Electric Company,List([0, 106)))	Relation(is,List([157, 159)))	SimpleArgument(one of the largest combined natural gas and electric energy companies in the United States,List([160, 250)))	Pacific Gas And Electric Company 77 Beale StP O Box 770000 San Francisco, California 94177 United States Company Description Pacific Gas and Electric Company, a subsidiary of PG&E Corporation (NYSE:PCG), is one of the largest combined natural gas and electric energy companies in the United States.
0.9876669292266653		SimpleArgument(Electric Company 77 Beale StP O Box 770000 San Francisco , California 94177 United States Company Description Pacific Gas Company,List([0, 129)))	Relation(is,List([180, 182)))	SimpleArgument(one of the largest combined natural gas and electric energy companies in the United States,List([183, 273)))	Pacific Gas And Electric Company 77 Beale StP O Box 770000 San Francisco, California 94177 United States Company Description Pacific Gas and Electric Company, a subsidiary of PG&E Corporation (NYSE:PCG), is one of the largest combined natural gas and electric energy companies in the United States.
0.38089450366724514		SimpleArgument(California 94177 United States Electric Company,List([54, 101)))	Relation([is] a subsidiary of,List([104, 119)))	SimpleArgument(PG&E Corporation ( NYSE:PCG ),List([120, 149)))	Pacific Gas And Electric Company 77 Beale StP O Box 770000 San Francisco, California 94177 United States Company Description Pacific Gas and Electric Company, a subsidiary of PG&E Corporation (NYSE:PCG), is one of the largest combined natural gas and electric energy companies in the United States.
0.9835874985114926		SimpleArgument(Pacific Gas 77 Beale StP O Box 770000 San Francisco , California 94177 United States Electric Company,List([0, 101)))	Relation(is,List([152, 154)))	SimpleArgument(one of the largest combined natural gas and electric energy companies in the United States,List([155, 245)))	Pacific Gas And Electric Company 77 Beale StP O Box 770000 San Francisco, California 94177 United States Company Description Pacific Gas and Electric Company, a subsidiary of PG&E Corporation (NYSE:PCG), is one of the largest combined natural gas and electric energy companies in the United States.
0.38089450366724514		SimpleArgument(Description Pacific Gas Company,List([93, 124)))	Relation([is] Company [from],List([85, 92)))	SimpleArgument(United States,List([71, 84)))	Pacific Gas And Electric Company 77 Beale StP O Box 770000 San Francisco, California 94177 United States Company Description Pacific Gas and Electric Company, a subsidiary of PG&E Corporation (NYSE:PCG), is one of the largest combined natural gas and electric energy companies in the United States.
0.38089450366724514		SimpleArgument(California 94177 United States Company Description Pacific Gas Company,List([54, 124)))	Relation([is] a subsidiary of,List([127, 142)))	SimpleArgument(PG&E Corporation ( NYSE:PCG ),List([143, 172)))	Pacific Gas And Electric Company 77 Beale StP O Box 770000 San Francisco, California 94177 United States Company Description Pacific Gas and Electric Company, a subsidiary of PG&E Corporation (NYSE:PCG), is one of the largest combined natural gas and electric energy companies in the United States.
0.9876669292266653		SimpleArgument(Pacific Gas 77 Beale StP O Box 770000 San Francisco , California 94177 United States Company Description Pacific Gas Company,List([0, 124)))	Relation(is,List([175, 177)))	SimpleArgument(one of the largest combined natural gas and electric energy companies in the United States,List([178, 268)))	Pacific Gas And Electric Company 77 Beale StP O Box 770000 San Francisco, California 94177 United States Company Description Pacific Gas and Electric Company, a subsidiary of PG&E Corporation (NYSE:PCG), is one of the largest combined natural gas and electric energy companies in the United States.
0.38089450366724514		SimpleArgument(Directory,List([471, 480)))	Relation([is] Business Contact [of],List([454, 470)))	SimpleArgument(ZoomInfo,List([443, 451)))	Based in San Francisco, with more than 20,000 employees, the company delivers som ... more  Find other employees at this company (13,538)  Similar Profiles Other People with this Name Other people with the name Bacolini Lisa Bacolini FibroGen Inc Tom Bacolini Bacolini Website Design Vincent Bacolini Dispenser Beverages , Inc. Raffaele Bacolini Consulente Informatico Andrea Bacolini Eden Viaggi Other People with this Title: (4,176)  Browse ZoomInfo's Business Contact Directory by City Boston | New York | Houston | Chicago | Los Angeles | Atlanta
0.9069399515483262	Context(the company delivers,List([57, 77)))	SimpleArgument(Other People with this Title,List([397, 425)))	Relation(Browse,List([436, 442)))	SimpleArgument(ZoomInfo's Business Contact Directory,List([443, 480)))	Based in San Francisco, with more than 20,000 employees, the company delivers som ... more  Find other employees at this company (13,538)  Similar Profiles Other People with this Name Other people with the name Bacolini Lisa Bacolini FibroGen Inc Tom Bacolini Bacolini Website Design Vincent Bacolini Dispenser Beverages , Inc. Raffaele Bacolini Consulente Informatico Andrea Bacolini Eden Viaggi Other People with this Title: (4,176)  Browse ZoomInfo's Business Contact Directory by City Boston | New York | Houston | Chicago | Los Angeles | Atlanta
0.8776011732811596		SimpleArgument(Electric Company,List([57, 68)))	Relation(delivers,List([69, 77)))	SimpleArgument(som,List([78, 81)))	Based in San Francisco, with more than 20,000 employees, the company delivers som ... more  Find other employees at this company (13,538)  Similar Profiles Other People with this Name Other people with the name Bacolini Lisa Bacolini FibroGen Inc Tom Bacolini Bacolini Website Design Vincent Bacolini Dispenser Beverages , Inc. Raffaele Bacolini Consulente Informatico Andrea Bacolini Eden Viaggi Other People with this Title: (4,176)  Browse ZoomInfo's Business Contact Directory by City Boston | New York | Houston | Chicago | Los Angeles | Atlanta
