0.9125462839307745		SimpleArgument(a Swedish neurophysiologist,List([81, 108)))	Relation(received his medical training at,List([113, 121), [122, 142), [143, 145)))	SpatialArgument(the Karolinska Institute,List([146, 170)))	Yngve Zotterman (20 September 1898 in Vadstena - 13 March 1982 in Stockholm) was a Swedish neurophysiologist who received his medical training at the Karolinska Institute.
0.8247751551634085		SimpleArgument(a Swedish neurophysiologist,List([81, 108)))	Relation(received,List([113, 121)))	SimpleArgument(his medical training,List([122, 142)))	Yngve Zotterman (20 September 1898 in Vadstena - 13 March 1982 in Stockholm) was a Swedish neurophysiologist who received his medical training at the Karolinska Institute.
0.9368464536095289		SimpleArgument(Yngve Zotterman,List([0, 15)))	Relation(was,List([77, 80)))	SimpleArgument(a Swedish neurophysiologist who received his medical training at the Karolinska Institute,List([81, 170)))	Yngve Zotterman (20 September 1898 in Vadstena - 13 March 1982 in Stockholm) was a Swedish neurophysiologist who received his medical training at the Karolinska Institute.
0.39746064682094406	Context(He conducted,List([0, 12)))	SimpleArgument(his,List([0, 2)))	Relation(conducted pioneering,List([3, 12), [13, 23)))	SimpleArgument(studies on nerve conduction,List([24, 51)))	He conducted pioneering studies on nerve conduction.
0.39746064682094406		SimpleArgument(his,List([0, 2)))	Relation(conducted,List([3, 12)))	SimpleArgument(pioneering studies on nerve conduction,List([13, 51)))	He conducted pioneering studies on nerve conduction.
0.9052256377408016		SimpleArgument(sensory function of skin,List([18, 42)))	Relation(particularly related to,List([45, 65), [66, 68)))	SimpleArgument(neurochemistry of taste buds,List([69, 97)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.3048426724432105		SimpleArgument(his,List([0, 2)))	Relation(worked on sensory function of skin , particularly related to neurochemistry of taste buds,List([8, 14), [15, 97)))	TemporalArgument(then,List([3, 7)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.5275899385541258		SimpleArgument(his,List([0, 2)))	Relation(worked on,List([8, 14), [15, 17)))	SimpleArgument(sensory function of skin , particularly related to neurochemistry of taste buds,List([18, 97)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.9052256377408016		SimpleArgument(sensory function of skin,List([18, 42)))	Relation(particularly related to,List([45, 65), [66, 68)))	SimpleArgument(heat of taste buds,List([69, 87)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.3048426724432105		SimpleArgument(his,List([0, 2)))	Relation(worked on sensory function of skin , particularly related to heat of taste buds,List([8, 14), [15, 87)))	TemporalArgument(then,List([3, 7)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.5275899385541258		SimpleArgument(his,List([0, 2)))	Relation(worked on,List([8, 14), [15, 17)))	SimpleArgument(sensory function of skin , particularly related to heat of taste buds,List([18, 87)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.9052256377408016		SimpleArgument(sensory function of skin,List([18, 42)))	Relation(particularly related to,List([45, 65), [66, 68)))	SimpleArgument(pain of taste buds,List([69, 87)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.3048426724432105		SimpleArgument(his,List([0, 2)))	Relation(worked on sensory function of skin , particularly related to pain of taste buds,List([8, 14), [15, 87)))	TemporalArgument(then,List([3, 7)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.5275899385541258		SimpleArgument(his,List([0, 2)))	Relation(worked on,List([8, 14), [15, 17)))	SimpleArgument(sensory function of skin , particularly related to pain of taste buds,List([18, 87)))	He then worked on sensory function of skin, particularly related to pain and heat and neurochemistry of taste buds.
0.22506131975927415		SimpleArgument(his,List([0, 2)))	Relation(was elected a member of the Royal Swedish Academy of Engineering Sciences in,List([3, 14), [15, 76), [77, 79)))	TemporalArgument(1949,List([80, 84)))	He was elected a member of the Royal Swedish Academy of Engineering Sciences in 1949, and of the Royal Swedish Academy of Sciences in 1953.
0.6138676038426771		SimpleArgument(his,List([0, 2)))	Relation(was elected,List([3, 14)))	SimpleArgument(a member of the Royal Swedish Academy of Engineering Sciences,List([15, 76)))	He was elected a member of the Royal Swedish Academy of Engineering Sciences in 1949, and of the Royal Swedish Academy of Sciences in 1953.
