0.9140899007493603		SimpleArgument(James Joseph Sylvester FRS,List([0, 26)))	Relation(was,List([62, 65)))	SimpleArgument(an English mathematician,List([66, 90)))	James Joseph Sylvester FRS (3 September 1814 – 15 March 1897) was an English mathematician.
0.45170382506656653		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([0, 2)))	Relation(made,List([3, 7)))	SimpleArgument(fundamental contributions to combinatorics,List([8, 50)))	He made fundamental contributions to matrix theory, invariant theory, number theory, partition theory and combinatorics.
0.45170382506656653		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([0, 2)))	Relation(made,List([3, 7)))	SimpleArgument(fundamental contributions to partition theory,List([8, 53)))	He made fundamental contributions to matrix theory, invariant theory, number theory, partition theory and combinatorics.
0.45170382506656653		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([0, 2)))	Relation(made,List([3, 7)))	SimpleArgument(fundamental contributions to number theory,List([8, 50)))	He made fundamental contributions to matrix theory, invariant theory, number theory, partition theory and combinatorics.
0.45170382506656653		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([0, 2)))	Relation(made,List([3, 7)))	SimpleArgument(fundamental contributions to invariant theory,List([8, 53)))	He made fundamental contributions to matrix theory, invariant theory, number theory, partition theory and combinatorics.
0.45170382506656653		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([0, 2)))	Relation(made,List([3, 7)))	SimpleArgument(fundamental contributions to matrix theory,List([8, 50)))	He made fundamental contributions to matrix theory, invariant theory, number theory, partition theory and combinatorics.
0.6138676038426771		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([0, 2)))	Relation(played,List([3, 9)))	SimpleArgument(a leadership role in American mathematics in the later half of the 19th century as a professor as founder of the American Journal of Mathematics,List([10, 154)))	He played a leadership role in American mathematics in the later half of the 19th century as a professor at the Johns Hopkins University and as founder of the American Journal of Mathematics.
0.6138676038426771		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([0, 2)))	Relation(played,List([3, 9)))	SimpleArgument(a leadership role in American mathematics in the later half of the 19th century as a professor at the Johns Hopkins University,List([10, 136)))	He played a leadership role in American mathematics in the later half of the 19th century as a professor at the Johns Hopkins University and as founder of the American Journal of Mathematics.
0.38089450366724514		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([14, 16)))	Relation(was professor at,List([17, 33)))	SimpleArgument(Oxford,List([34, 40)))	At his death, he was professor at Oxford.
0.39625576749130315		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([14, 16)))	Relation(was professor at Oxford At,List([0, 2), [17, 33), [34, 40)))	SpatialArgument(his death,List([3, 12)))	At his death, he was professor at Oxford.
0.5680679595514976		SimpleArgument(James Joseph Sylvester James Joseph Sylvester FRS (3 September 1814 –,List([14, 16)))	Relation(was,List([17, 20)))	SimpleArgument(professor at Oxford,List([21, 40)))	At his death, he was professor at Oxford.
