0.9286464928832516		SimpleArgument(Sir Leopold Halliday Savile, KCB, MICE,List([0, 38)))	Relation(was,List([61, 64)))	SimpleArgument(a British civil engineer,List([65, 89)))	Sir Leopold Halliday Savile, KCB, MICE (31 August 1870–1953) was a British civil engineer.
0.9324144673478683		SimpleArgument(Leopold Halliday Savile,List([0, 6)))	Relation(was born at,List([7, 15), [16, 18)))	SpatialArgument(Bridge of Earn,List([19, 33)))	Savile was born at Bridge of Earn, Perthshire, Scotland on 31 August 1870.
0.38089450366724514		SimpleArgument(Anne Plantagenet,List([35, 51)))	Relation([is] the sister of,List([54, 67)))	SimpleArgument(Edward IV,List([68, 77)))	Savile was a distant descendent of Anne Plantagenet, the sister of Richard III and Edward IV.
0.38089450366724514		SimpleArgument(Anne Plantagenet,List([35, 51)))	Relation([is] the sister of,List([54, 67)))	SimpleArgument(Richard III,List([68, 79)))	Savile was a distant descendent of Anne Plantagenet, the sister of Richard III and Edward IV.
0.9481947648689547		SimpleArgument(Leopold Halliday Savile,List([0, 6)))	Relation(was,List([7, 10)))	SimpleArgument(a distant descendent of Anne Plantagenet,List([11, 51)))	Savile was a distant descendent of Anne Plantagenet, the sister of Richard III and Edward IV.
0.9909999966621399		SimpleArgument(1904 savile,List([0, 0)))	Relation(married,List([0, 0)))	SimpleArgument(Evelyn Styleman,List(null))	In 1904 Savile married Evelyn Styleman.
0.8557456177405949		SimpleArgument(Leopold Halliday Savile,List([8, 14)))	Relation(married Evelyn Styleman In,List([0, 2), [15, 29), [30, 38)))	TemporalArgument(1904,List([3, 7)))	In 1904 Savile married Evelyn Styleman.
0.9324144673478683		SimpleArgument(Leopold Halliday Savile,List([8, 14)))	Relation(married,List([15, 22)))	SimpleArgument(Evelyn Styleman,List([23, 38)))	In 1904 Savile married Evelyn Styleman.
0.6138676038426771		SimpleArgument(Leopold Halliday Savile,List([0, 2)))	Relation(was appointed,List([3, 16)))	SimpleArgument(a Companion of the Order of the Bath on 1 January 1925,List([17, 71)))	He was appointed a Companion of the Order of the Bath on 1 January 1925.
0.6138676038426771		SimpleArgument(Leopold Halliday Savile,List([0, 2)))	Relation(was appointed,List([3, 16)))	SimpleArgument(a Knight Commander of the same order on 1 March 1929,List([17, 69)))	He was appointed a Knight Commander of the same order on 1 March 1929.
0.8557456177405949		SimpleArgument(Leopold Halliday Savile,List([8, 14)))	Relation(was their president In,List([0, 2), [15, 24), [25, 34)))	TemporalArgument(1931,List([3, 7)))	In 1931 Savile was elected a member of the Smeatonian Society of Civil Engineers and was their president in 1948.
0.8016573080327372		SimpleArgument(Leopold Halliday Savile,List([8, 14)))	Relation(was their president in,List([15, 18), [19, 34), [35, 37)))	TemporalArgument(1948,List([38, 42)))	In 1931 Savile was elected a member of the Smeatonian Society of Civil Engineers and was their president in 1948.
