0.9397554176335701		SimpleArgument(Jonas Carlsson Dryander,List([0, 23)))	Relation(was,List([57, 60)))	SimpleArgument(a Swedish botanist,List([61, 79)))	Jonas Carlsson Dryander (5 March 1748 – 19 October 1810) was a Swedish botanist.
0.9324144673478683		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([0, 8)))	Relation(was born in,List([9, 17), [18, 20)))	SpatialArgument(Gothenburg,List([21, 31)))	Dryander was born in Gothenburg.
0.8847999636040884		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([0, 2)))	Relation(was a pupil of,List([3, 17)))	SimpleArgument(Carl Linnaeus,List([18, 31)))	He was a pupil of Carl Linnaeus at Uppsala University.
0.5680679595514976		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a pupil of Carl Linnaeus at Uppsala University,List([7, 53)))	He was a pupil of Carl Linnaeus at Uppsala University.
0.3929209860966329		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([0, 2)))	Relation(arrived on,List([3, 10), [21, 23)))	TemporalArgument(10 July 1777,List([24, 36)))	He arrived in London on 10 July 1777.
0.4978219019954182		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([0, 2)))	Relation(arrived in,List([3, 10), [11, 13)))	SimpleArgument(London,List([14, 20)))	He arrived in London on 10 July 1777.
0.38089450366724514		SimpleArgument(Daniel Solander ),List([83, 100)))	Relation([is] librarian of,List([103, 115)))	SimpleArgument(Vice-President,List([116, 130)))	He was botanist/librarian to Sir Joseph Banks from 1782 (following the death of Daniel Solander), librarian of the Royal Society and Vice-President of the Linnean Society.
0.38089450366724514		SimpleArgument(Daniel Solander ),List([83, 100)))	Relation([is] librarian of,List([103, 115)))	SimpleArgument(the Royal Society,List([116, 133)))	He was botanist/librarian to Sir Joseph Banks from 1782 (following the death of Daniel Solander), librarian of the Royal Society and Vice-President of the Linnean Society.
0.15939332484157967		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([0, 2)))	Relation(was botanist from,List([3, 6), [7, 15), [48, 52)))	TemporalArgument(1782,List([53, 57)))	He was botanist/librarian to Sir Joseph Banks from 1782 (following the death of Daniel Solander), librarian of the Royal Society and Vice-President of the Linnean Society.
0.27813615858960106		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(botanist,List([7, 15)))	He was botanist/librarian to Sir Joseph Banks from 1782 (following the death of Daniel Solander), librarian of the Royal Society and Vice-President of the Linnean Society.
0.9008439278303834		SimpleArgument(Dryander's publications,List([0, 23)))	Relation(included,List([24, 32)))	SimpleArgument(Catalogus bibliothecae historico-naturalis Josephi Banks,List([33, 89)))	Dryander's publications included Catalogus bibliothecae historico-naturalis Josephi Banks (1796-1800).
0.29886655727758943		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([9, 11)))	Relation(was elected a foreign member of the Royal Swedish Academy of Sciences In,List([0, 15), [16, 72), [73, 81)))	TemporalArgument(1784,List([3, 7)))	In 1784, he was elected a foreign member of the Royal Swedish Academy of Sciences.
0.6138676038426771		SimpleArgument(Jonas Carlsson Dryander Jonas Carlsson Dryander (5 March 1748 – 19 October 1810),List([9, 11)))	Relation(was elected,List([12, 23)))	SimpleArgument(a foreign member of the Royal Swedish Academy of Sciences,List([24, 81)))	In 1784, he was elected a foreign member of the Royal Swedish Academy of Sciences.
0.3853208301752743		SimpleArgument(Swede Thunberg,List([57, 71)))	Relation([is] fellow [of],List([50, 56)))	SimpleArgument(him,List([46, 49)))	The genus Dryandra was named in his honour by his friend and fellow Swede Thunberg.
0.8557337772445347		SimpleArgument(The genus Dryandra,List([0, 18)))	Relation(was named by,List([19, 28), [43, 45)))	SimpleArgument(his fellow Swede Thunberg,List([46, 71)))	The genus Dryandra was named in his honour by his friend and fellow Swede Thunberg.
0.8313496054302396		SimpleArgument(The genus Dryandra,List([0, 18)))	Relation(was named by,List([19, 28), [43, 45)))	SimpleArgument(his friend,List([46, 56)))	The genus Dryandra was named in his honour by his friend and fellow Swede Thunberg.
0.883042269491254		SimpleArgument(The genus Dryandra,List([0, 18)))	Relation(was named in,List([19, 28), [29, 31)))	SpatialArgument(his honour,List([32, 42)))	The genus Dryandra was named in his honour by his friend and fellow Swede Thunberg.
