0.3853208301752743		SimpleArgument(Paul Myron Anthony Linebarger,List([88, 117)))	Relation([is] author [from],List([81, 87)))	SimpleArgument(United States,List([72, 80)))	Cordwainer Smith (/ˈkɔːrdweɪnər/, KORD-waynər) was the pen-name used by American author Paul Myron Anthony Linebarger (July 11, 1913 – August 6, 1966) for his science fiction works.
0.9223477815159065		SimpleArgument(Cordwainer Smith,List([0, 16)))	Relation(was,List([47, 50)))	SimpleArgument(the pen-name used by American author Paul Myron Anthony Linebarger (July 11, 1913 - August 6, 1966) for his science fiction works,List([51, 180)))	Cordwainer Smith (/ˈkɔːrdweɪnər/, KORD-waynər) was the pen-name used by American author Paul Myron Anthony Linebarger (July 11, 1913 – August 6, 1966) for his science fiction works.
0.9561493139640403		SimpleArgument(the pen-name,List([51, 63)))	Relation(used by,List([64, 68), [69, 71)))	SimpleArgument(American author Paul Myron Anthony Linebarger (July 11, 1913,List([72, 132)))	Cordwainer Smith (/ˈkɔːrdweɪnər/, KORD-waynər) was the pen-name used by American author Paul Myron Anthony Linebarger (July 11, 1913 – August 6, 1966) for his science fiction works.
0.9383119524695255		SimpleArgument(Linebarger,List([0, 10)))	Relation(was,List([11, 14)))	SimpleArgument(a noted expert in psychological warfare,List([15, 54)))	Linebarger was a noted East Asia scholar and expert in psychological warfare.
0.9481947648689547		SimpleArgument(Linebarger,List([0, 10)))	Relation(was,List([11, 14)))	SimpleArgument(a noted East Asia scholar in psychological warfare,List([15, 65)))	Linebarger was a noted East Asia scholar and expert in psychological warfare.
0.9428907853613914	"Context(a "" smith is esp Linebarger,List([73, 210)))"	SimpleArgument(Cordwainer,List([4, 14)))	Relation(is,List([17, 19)))	"SimpleArgument(an archaic word for "" a worker in cordovan leather,List([20, 70)))"	"(""Cordwainer"" is an archaic word for ""a worker in cordwain or cordovan leather; a shoemaker"", and a ""smith"" is ""one who works in iron or other metals; esp. a blacksmith or farrier"": two kinds of skilled workers with traditional materials.)Linebarger"
0.9428907853613914	"Context(a "" smith is esp Linebarger,List([73, 215)))"	SimpleArgument(Cordwainer,List([4, 14)))	Relation(is,List([17, 19)))	"SimpleArgument(an archaic word for "" a worker in cordovan leather,List([20, 70)))"	"(""Cordwainer"" is an archaic word for ""a worker in cordwain or cordovan leather; a shoemaker"", and a ""smith"" is ""one who works in iron or other metals; esp. a blacksmith or farrier"": two kinds of skilled workers with traditional materials.)Linebarger"
0.9428907853613914	"Context(a "" smith is Linebarger,List([73, 202)))"	SimpleArgument(Cordwainer,List([4, 14)))	Relation(is,List([17, 19)))	"SimpleArgument(an archaic word for "" a worker in cordovan leather,List([20, 70)))"	"(""Cordwainer"" is an archaic word for ""a worker in cordwain or cordovan leather; a shoemaker"", and a ""smith"" is ""one who works in iron or other metals; esp. a blacksmith or farrier"": two kinds of skilled workers with traditional materials.)Linebarger"
0.9428907853613914	"Context(a "" smith is,List([73, 87)))"	SimpleArgument(Cordwainer,List([4, 14)))	Relation(is,List([17, 19)))	"SimpleArgument(an archaic word for "" a worker in cordovan leather,List([20, 70)))"	"(""Cordwainer"" is an archaic word for ""a worker in cordwain or cordovan leather; a shoemaker"", and a ""smith"" is ""one who works in iron or other metals; esp. a blacksmith or farrier"": two kinds of skilled workers with traditional materials.)Linebarger"
0.9428907853613914	Context(a shoemaker is esp Linebarger,List([73, 212)))	SimpleArgument(Cordwainer,List([4, 14)))	Relation(is,List([17, 19)))	"SimpleArgument(an archaic word for "" a worker in cordovan leather,List([20, 70)))"	"(""Cordwainer"" is an archaic word for ""a worker in cordwain or cordovan leather; a shoemaker"", and a ""smith"" is ""one who works in iron or other metals; esp. a blacksmith or farrier"": two kinds of skilled workers with traditional materials.)Linebarger"
0.9428907853613914	Context(a shoemaker is esp Linebarger,List([73, 217)))	SimpleArgument(Cordwainer,List([4, 14)))	Relation(is,List([17, 19)))	"SimpleArgument(an archaic word for "" a worker in cordovan leather,List([20, 70)))"	"(""Cordwainer"" is an archaic word for ""a worker in cordwain or cordovan leather; a shoemaker"", and a ""smith"" is ""one who works in iron or other metals; esp. a blacksmith or farrier"": two kinds of skilled workers with traditional materials.)Linebarger"
