0.941557546380112	Context(Frank Frederick Borman , II ( born March 14 , 1928 ) , ( Col , USAF , Ret . ) , is NASA astronaut remembered,List([0, 115)))	SimpleArgument(Frank Frederick Borman , II ( born March 14 , 1928,List([0, 50)))	Relation(is,List([80, 82)))	SimpleArgument(NASA astronaut,List([83, 97)))	Frank Frederick Borman, II (born March 14, 1928), (Col, USAF, Ret.), is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so.
0.9761297871318921		SimpleArgument(Frank Frederick Borman , II ( born March 14 , 1928 ) , ( Col , USAF , Ret . ) , is NASA astronaut,List([0, 97)))	Relation(remembered as,List([105, 115), [116, 118)))	SimpleArgument(the Commander of Apollo 8 , the first mission to fly around the Moon , making him , along with crew mates,List([119, 224)))	Frank Frederick Borman, II (born March 14, 1928), (Col, USAF, Ret.), is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so.
0.9305013661494452	Context(Frank Frederick Borman , II ( born March 14 , 1928 ) , ( Col , USAF , Ret . ) , is test pilot remembered,List([0, 111)))	SimpleArgument(Frank Frederick Borman , II ( born March 14 , 1928,List([0, 50)))	Relation(is,List([80, 82)))	SimpleArgument(test pilot,List([83, 93)))	Frank Frederick Borman, II (born March 14, 1928), (Col, USAF, Ret.), is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so.
0.9761297871318921		SimpleArgument(Frank Frederick Borman , II ( born March 14 , 1928 ) , ( Col , USAF , Ret . ) , is test pilot,List([0, 93)))	Relation(remembered as,List([101, 111), [112, 114)))	SimpleArgument(the Commander of Apollo 8 , the first mission to fly around the Moon , making him , along with crew mates,List([115, 220)))	Frank Frederick Borman, II (born March 14, 1928), (Col, USAF, Ret.), is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so.
0.9305013661494452	Context(Frank Frederick Borman , II ( born March 14 , 1928 ) , ( Col , USAF , Ret . ) , is aeronautical engineer remembered,List([0, 122)))	SimpleArgument(Frank Frederick Borman , II ( born March 14 , 1928,List([0, 50)))	Relation(is,List([80, 82)))	SimpleArgument(aeronautical engineer,List([83, 104)))	Frank Frederick Borman, II (born March 14, 1928), (Col, USAF, Ret.), is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so.
0.9761297871318921		SimpleArgument(Frank Frederick Borman , II ( born March 14 , 1928 ) , ( Col , USAF , Ret . ) , is aeronautical engineer,List([0, 104)))	Relation(remembered as,List([112, 122), [123, 125)))	SimpleArgument(the Commander of Apollo 8 , the first mission to fly around the Moon , making him , along with crew mates,List([126, 231)))	Frank Frederick Borman, II (born March 14, 1928), (Col, USAF, Ret.), is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so.
0.941557546380112	Context(Frank Frederick Borman , II ( born March 14 , 1928 ) , ( Col , USAF , Ret . ) , is a retired United States Air Force pilot remembered,List([0, 140)))	SimpleArgument(Frank Frederick Borman , II ( born March 14 , 1928,List([0, 50)))	Relation(is,List([80, 82)))	SimpleArgument(a retired United States Air Force pilot,List([83, 122)))	Frank Frederick Borman, II (born March 14, 1928), (Col, USAF, Ret.), is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so.
0.985140244087344		SimpleArgument(Frank Frederick Borman , II ( born March 14 , 1928 ) , ( Col , USAF , Ret . ) , is a retired United States Air Force pilot,List([0, 122)))	Relation(remembered as,List([130, 140), [141, 143)))	SimpleArgument(the Commander of Apollo 8 , the first mission to fly around the Moon , making him , along with crew mates,List([144, 249)))	Frank Frederick Borman, II (born March 14, 1928), (Col, USAF, Ret.), is a retired United States Air Force pilot, aeronautical engineer, test pilot, and NASA astronaut, best remembered as the Commander of Apollo 8, the first mission to fly around the Moon, making him, along with crew mates Jim Lovell and Bill Anders, the first of only 24 humans to do so.
0.9397001286877047		SimpleArgument(the NASA review board,List([15, 36)))	Relation(investigated,List([43, 55)))	SimpleArgument(the Apollo 1 fire,List([56, 73)))	Before flying on Apollo, he set a fourteen-day spaceflight endurance record on Gemini 7, and also served on the NASA review board which investigated the Apollo 1 fire.
0.5926659981335703		SimpleArgument(him,List([26, 28)))	Relation(set a fourteen - day spaceflight endurance record Before,List([0, 6), [29, 71), [72, 78)))	TemporalArgument(flying on Apollo,List([7, 23)))	Before flying on Apollo, he set a fourteen-day spaceflight endurance record on Gemini 7, and also served on the NASA review board which investigated the Apollo 1 fire.
0.5222094630377523		SimpleArgument(him,List([26, 28)))	Relation(set,List([29, 32)))	SimpleArgument(a fourteen - day spaceflight endurance record,List([33, 78)))	Before flying on Apollo, he set a fourteen-day spaceflight endurance record on Gemini 7, and also served on the NASA review board which investigated the Apollo 1 fire.
