0.9653436384802597		SimpleArgument(Robert Endre Tarjan ( born April 30 , 1948,List([0, 42)))	Relation(is,List([45, 47)))	SimpleArgument(mathematician,List([48, 61)))	Robert Endre Tarjan (born April 30, 1948) is an American computer scientist and mathematician.
0.9653436384802597		SimpleArgument(Robert Endre Tarjan ( born April 30 , 1948,List([0, 42)))	Relation(is,List([45, 47)))	SimpleArgument(an American computer scientist,List([48, 78)))	Robert Endre Tarjan (born April 30, 1948) is an American computer scientist and mathematician.
0.949419443712137		SimpleArgument(Robert Endre Tarjan,List([0, 19)))	Relation(born,List([22, 26)))	TemporalArgument(April 30 , 1948,List([27, 42)))	Robert Endre Tarjan (born April 30, 1948) is an American computer scientist and mathematician.
0.6783685094789625		SimpleArgument(Robert Tarjan Robert Endre Tarjan (born April 30, 1948),List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the discoverer of several graph algorithms , including co-inventor of Fibonacci heaps,List([6, 91)))	He is the discoverer of several graph algorithms, including Tarjan's off-line lowest common ancestors algorithm, and co-inventor of both splay trees and Fibonacci heaps.
0.6367319478431899		SimpleArgument(Robert Tarjan Robert Endre Tarjan (born April 30, 1948),List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the discoverer of several graph algorithms , including co-inventor of both splay trees,List([6, 92)))	He is the discoverer of several graph algorithms, including Tarjan's off-line lowest common ancestors algorithm, and co-inventor of both splay trees and Fibonacci heaps.
0.886695286966665		SimpleArgument(Robert Tarjan Robert Endre Tarjan (born April 30, 1948),List([0, 2)))	Relation(is the discoverer of,List([3, 23)))	SimpleArgument(several graph algorithms,List([24, 48)))	He is the discoverer of several graph algorithms, including Tarjan's off-line lowest common ancestors algorithm, and co-inventor of both splay trees and Fibonacci heaps.
0.6783685094789625		SimpleArgument(Robert Tarjan Robert Endre Tarjan (born April 30, 1948),List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(the discoverer of several graph algorithms , including Tarjan 's off - line lowest common ancestors algorithm,List([6, 115)))	He is the discoverer of several graph algorithms, including Tarjan's off-line lowest common ancestors algorithm, and co-inventor of both splay trees and Fibonacci heaps.
0.9384817092932993		SimpleArgument(Tarjan,List([0, 6)))	Relation(is,List([7, 9)))	SimpleArgument(the Chief Scientist at Intertrust Technologies,List([20, 66)))	Tarjan is currently the James S. McDonnell Distinguished University Professor of Computer Science at Princeton University, and the Chief Scientist at Intertrust Technologies.
0.7971095979125887		SimpleArgument(Tarjan,List([0, 6)))	Relation(is the Chief Scientist at Intertrust Technologies,List([7, 9), [20, 66)))	TemporalArgument(currently,List([10, 19)))	Tarjan is currently the James S. McDonnell Distinguished University Professor of Computer Science at Princeton University, and the Chief Scientist at Intertrust Technologies.
0.9607302904934463		SimpleArgument(Tarjan,List([0, 6)))	Relation(is,List([7, 9)))	SimpleArgument(the James S. McDonnell Distinguished University Professor of Computer Science at Princeton University,List([20, 121)))	Tarjan is currently the James S. McDonnell Distinguished University Professor of Computer Science at Princeton University, and the Chief Scientist at Intertrust Technologies.
0.8390277085252895		SimpleArgument(Tarjan,List([0, 6)))	Relation(is the James S. McDonnell Distinguished University Professor of Computer Science at Princeton University,List([7, 9), [20, 121)))	TemporalArgument(currently,List([10, 19)))	Tarjan is currently the James S. McDonnell Distinguished University Professor of Computer Science at Princeton University, and the Chief Scientist at Intertrust Technologies.
