0.886660024554648		SimpleArgument(Totoro,List([12, 18)))	Relation([is] Neighbor [of],List([3, 11)))	SimpleArgument(Mine,List([0, 2)))	My Neighbor Totoro
0.9428419046403852		SimpleArgument(a 1988 Japanese animated fantasy film,List([72, 109)))	Relation(produced by,List([110, 118), [119, 121)))	SimpleArgument(Studio Ghibli,List([122, 135)))	My Neighbor Totoro (Japanese: となりのトトロ Hepburn: Tonari no Totoro) is a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli.
0.8507196532578907		SimpleArgument(My Neighbor Totoro,List([0, 18)))	Relation(is,List([69, 71)))	SimpleArgument(a 1988 Japanese animated fantasy film produced by Studio Ghibli,List([72, 135)))	My Neighbor Totoro (Japanese: となりのトトロ Hepburn: Tonari no Totoro) is a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli.
0.9428419046403852		SimpleArgument(a 1988 Japanese animated fantasy film,List([72, 109)))	Relation(directed by,List([110, 118), [119, 121)))	SimpleArgument(Hayao Miyazaki,List([122, 136)))	My Neighbor Totoro (Japanese: となりのトトロ Hepburn: Tonari no Totoro) is a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli.
0.8507196532578907		SimpleArgument(My Neighbor Totoro,List([0, 18)))	Relation(is,List([69, 71)))	SimpleArgument(a 1988 Japanese animated fantasy film directed by Hayao Miyazaki,List([72, 136)))	My Neighbor Totoro (Japanese: となりのトトロ Hepburn: Tonari no Totoro) is a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli.
0.886695286966665		SimpleArgument(Totoro,List([12, 18)))	Relation([is] Neighbor [of],List([3, 11)))	SimpleArgument(Mine,List([0, 2)))	My Neighbor Totoro (Japanese: となりのトトロ Hepburn: Tonari no Totoro) is a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli.
0.7470364773860735		SimpleArgument(My Neighbor Totoro,List([0, 18)))	Relation(is,List([69, 71)))	SimpleArgument(a 1988 Japanese animated fantasy film written,List([72, 117)))	My Neighbor Totoro (Japanese: となりのトトロ Hepburn: Tonari no Totoro) is a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli.
0.9698223554430607		SimpleArgument(The film - which stars the voice actors Hitoshi Takagi,List([0, 54)))	Relation(tells,List([57, 62)))	SimpleArgument(the story of the two young daughters ( Mei ) of their interactions with friendly wood spirits in postwar rural Japan,List([63, 179)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.9833903671936411		SimpleArgument(The film - which stars the voice actors Hitoshi Takagi,List([0, 54)))	Relation(tells,List([57, 62)))	SimpleArgument(the story of the two young daughters ( Mei ) of a professor,List([63, 122)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.9698223554430607		SimpleArgument(The film - which stars the voice actors Hitoshi Takagi,List([0, 54)))	Relation(tells,List([57, 62)))	SimpleArgument(the story of the two young daughters ( Satsuki ) of their interactions with friendly wood spirits in postwar rural Japan,List([63, 183)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.9833903671936411		SimpleArgument(The film - which stars the voice actors Hitoshi Takagi,List([0, 54)))	Relation(tells,List([57, 62)))	SimpleArgument(the story of the two young daughters ( Satsuki ) of a professor,List([63, 126)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
