0.9340463819568752		SimpleArgument(Fernand Collin,List([0, 14)))	Relation(was,List([63, 66)))	SimpleArgument(a Belgian businessman,List([67, 88)))	Fernand Collin (Antwerp, 18 December 1897 – 11 December 1990), was a Belgian businessman.
0.4978219019954182		SimpleArgument(a Belgian businessman,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(a professor at the Catholic University of Leuven,List([12, 60)))	He was president of the Kredietbank from 1938 to 1973 and was also a professor at the Catholic University of Leuven.
0.8847999636040884		SimpleArgument(a Belgian businessman,List([0, 2)))	Relation(was president of,List([3, 19)))	SimpleArgument(the Kredietbank,List([20, 35)))	He was president of the Kredietbank from 1938 to 1973 and was also a professor at the Catholic University of Leuven.
0.5680679595514976		SimpleArgument(a Belgian businessman,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(president of the Kredietbank,List([7, 35)))	He was president of the Kredietbank from 1938 to 1973 and was also a professor at the Catholic University of Leuven.
0.9777117345660675		SimpleArgument(Fernand Collin , together with Max - Léo Gérard,List([31, 78)))	Relation(were given At,List([0, 107), [108, 113)))	SpatialArgument(the start of World War II,List([3, 28)))	At the start of World War II, Fernand Collin, together with Alexandre Galopin (Société Générale de Belgique) and Max-Léo Gérard (Banque de Bruxelles) were given a mandate to manage the Belgian economy during the war.
0.9711572295805895		SimpleArgument(Fernand Collin , together with Max - Léo Gérard,List([31, 78)))	Relation(were given,List([103, 113)))	SimpleArgument(a mandate to manage the Belgian economy during the war,List([114, 168)))	At the start of World War II, Fernand Collin, together with Alexandre Galopin (Société Générale de Belgique) and Max-Léo Gérard (Banque de Bruxelles) were given a mandate to manage the Belgian economy during the war.
0.9730876604585693		SimpleArgument(Fernand Collin , together with Alexandre Galopin,List([31, 79)))	Relation(were given At,List([0, 117), [118, 123)))	SpatialArgument(the start of World War II,List([3, 28)))	At the start of World War II, Fernand Collin, together with Alexandre Galopin (Société Générale de Belgique) and Max-Léo Gérard (Banque de Bruxelles) were given a mandate to manage the Belgian economy during the war.
0.9652216847101374		SimpleArgument(Fernand Collin , together with Alexandre Galopin,List([31, 79)))	Relation(were given,List([113, 123)))	SimpleArgument(a mandate to manage the Belgian economy during the war,List([124, 178)))	At the start of World War II, Fernand Collin, together with Alexandre Galopin (Société Générale de Belgique) and Max-Léo Gérard (Banque de Bruxelles) were given a mandate to manage the Belgian economy during the war.
0.9341783327172131		SimpleArgument(Paul-Henri Spaak,List([0, 16)))	Relation(told them in,List([17, 21), [22, 26), [27, 29)))	TemporalArgument(May 1940,List([30, 38)))	Paul-Henri Spaak told them in May 1940 Nous vous confions la Belgique (E: We trust you with Belgium).
0.8946660975118186		SimpleArgument(Paul-Henri Spaak,List([0, 16)))	Relation(told,List([17, 21)))	SimpleArgument(Fernand Collin, together with Alexandre Galopin (Société Générale de Belgique) and Max-Léo Gérard (Banque de Bruxelles),List([22, 26)))	Paul-Henri Spaak told them in May 1940 Nous vous confions la Belgique (E: We trust you with Belgium).
0.8847999636040884		SimpleArgument(Paul-Henri Spaak,List([0, 2)))	Relation(was CEO of,List([3, 13)))	SimpleArgument(the pudding producing company Imperial Products,List([14, 61)))	He was CEO of the pudding producing company Imperial Products, which merged in 1968 with Devos Lemmens into Continental Foods (it was sold to Campbell Soup in 1985).
