0.9397554176335701		SimpleArgument(Stephen A. Love,List([0, 15)))	Relation(is,List([70, 72)))	SimpleArgument(a professional musician,List([73, 96)))	Stephen A. Love (born on May 19, 1950 in Crawfordsville, Indiana) is a professional musician, lead singer, songwriter, producer, entertainment business promoter, CEO of the James Allen Promotions and Blue Jeans Music BMI.
0.9339862216393666		SimpleArgument(Stephen A. Love,List([0, 15)))	Relation(born on,List([18, 22), [23, 25)))	TemporalArgument(May 19 , 1950 in Crawfordsville,List([26, 57)))	Stephen A. Love (born on May 19, 1950 in Crawfordsville, Indiana) is a professional musician, lead singer, songwriter, producer, entertainment business promoter, CEO of the James Allen Promotions and Blue Jeans Music BMI.
0.4978219019954182		SimpleArgument(Stephen A. Love Stephen A. Love (born on May 19, 1950 in Crawfordsville, Indiana),List([0, 2)))	Relation(lives in,List([3, 8), [9, 11)))	SpatialArgument(Puerto Vallarta , Jalisco,List([12, 37)))	He lives in New Jersey and Puerto Vallarta, Jalisco, Mexico.
0.4978219019954182		SimpleArgument(Stephen A. Love Stephen A. Love (born on May 19, 1950 in Crawfordsville, Indiana),List([0, 2)))	Relation(lives in,List([3, 8), [9, 11)))	SpatialArgument(New Jersey,List([12, 22)))	He lives in New Jersey and Puerto Vallarta, Jalisco, Mexico.
0.9181538107823964		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in many other physical publications,List([9, 64)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.9181538107823964		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in many other online publications,List([9, 62)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.9558459053893512		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in the new Rolling Stone Encyclopedia of Rock & Roll,List([9, 81)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.9558459053893512		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in the old Rolling Stone Encyclopedia of Rock & Roll,List([9, 81)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.931028700145368		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in Relix magazine,List([9, 46)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.931028700145368		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in BAM,List([9, 35)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.9558459053893512		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in San Francisco Rock by Jack McDonough with the NRPS,List([9, 82)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.38089450366724514		SimpleArgument(Journal,List([63, 70)))	Relation([is] Rock [from],List([58, 62)))	SimpleArgument(San Francisco,List([44, 57)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.9558459053893512		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in Cuts from a San Francisco Rock Journal by Debora Hill,List([9, 85)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
0.9558459053893512		SimpleArgument(Stephen A. Love,List([0, 4)))	Relation(has,List([5, 8)))	SimpleArgument(multiple references in The Great Rock Discography by Martin C. Strong,List([9, 78)))	Love has multiple references in the old and new Rolling Stone Encyclopedia of Rock & Roll, The Great Rock Discography by Martin C. Strong, Cuts from a San Francisco Rock Journal by Debora Hill, San Francisco Rock by Jack McDonough with the NRPS, BAM, Relix magazine, and many other online or physical publications.
