0.9397554176335701		SimpleArgument(The Federalist Party,List([0, 20)))	Relation(was,List([43, 46)))	SimpleArgument(a federalist Italian political party,List([47, 83)))	The Federalist Party (Partito Federalista) was a federalist Italian political party.
0.9045207649554154		SimpleArgument(political scientist,List([77, 96)))	Relation(left Lega Nord in,List([101, 105), [106, 115), [116, 118)))	TemporalArgument(May,List([119, 122)))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.9262990687352972		SimpleArgument(political scientist,List([77, 96)))	Relation(left,List([101, 105)))	SimpleArgument(Lega Nord,List([106, 115)))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.3497525988439521		SimpleArgument(Federalist Party (Italy),List([0, 2)))	Relation(was launched by,List([3, 15), [74, 76)))	SimpleArgument(political scientist,List([77, 96)))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.9929999709129333		SimpleArgument(Federalist Party (Italy),List([0, 0)))	Relation(was launched on,List([0, 0)))	SimpleArgument(1 june 1994,List(null))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.38089450366724514		SimpleArgument(Gianfranco Miglio,List([77, 94)))	Relation([is],List([77, 94)))	SimpleArgument(an influent Senator,List([97, 116)))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.9045207649554154		SimpleArgument(an ex-Socialist,List([141, 156)))	Relation(was at,List([161, 164), [165, 167)))	SimpleArgument(the time member of Forza Italia,List([168, 199)))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.50931417287027		SimpleArgument(Federalist Party (Italy),List([0, 2)))	Relation(was launched by,List([3, 15), [74, 76)))	SimpleArgument(Gianfranco Miglio , an influent Senator , and Umberto Giovine,List([77, 138)))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.3929209860966329		SimpleArgument(Federalist Party (Italy),List([0, 2)))	Relation(was launched on,List([3, 15), [59, 61)))	TemporalArgument(1 June 1994,List([62, 73)))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.4978219019954182		SimpleArgument(Federalist Party (Italy),List([0, 2)))	Relation(was launched as,List([3, 15), [16, 18)))	SimpleArgument(Federalist Union,List([19, 35)))	It was launched as Federalist Union (Unione Federalista) on 1 June 1994 by Gianfranco Miglio, an influent Senator and political scientist who left Lega Nord in May over disagreements with Umberto Bossi, and Umberto Giovine, an ex-Socialist who was at the time member of Forza Italia.
0.7853141995911036		SimpleArgument(Lega Nord,List([98, 107)))	Relation(had joined the Liberal Democrats,List([114, 117), [129, 135), [136, 157)))	TemporalArgument(previously,List([118, 128)))	In July 1995 the group was strengthened by the joining of eleven deputies: all former members of Lega Nord, who had previously joined the Federalist Italian League and the Federalists and Liberal Democrats.
